,company_name,notice_date,layoff_date,employees_affected
87,GAP Solutions,9/15/16,9/28/16,85
88,Double Tree Hotel,8/23/16,10/24/16,67
89,BAE Systems,6/1/16,7/29/16,56
90,BAE Systems,4/29/16,6/30/16,13
91,Cessation of Restaurant Associates of National Gallery,6/20/16,9/30/16,71
92,AECOM,6/17/16,8/2/16,52
93,Sodexo,4/26/16,7/31/16,30
94,AECOM,4/12/16,6/14/16,120
95,Living Social,3/16/16,5/16/16,88
96,"AL Jazeera, LLC",1/16/16,4/30/16,67
97,Holiday Inn- Georgetown,8/14/15,11/20/15,72
98,Restaurant Associates at the US House of Representatives,6/7/15,8/7/15,All
99,Centerra Group,4/13/15,4/30/15,66
100,General Dynamics Information Technology,1/28/15,5/31/15,96
101,"The Washington Newspaper Publishing Company, LLC (dba The Washington Examiner)","March 19, 2013","June 15, 2013",20
102,Howard Road Academy,"May 9, 2013","June 23,2013",50
103,"Chimes, Inc.","June 13, 2013","June 30, 2013",50
104,AARP,August 2013,"December 31, 2013",73
105,Davidson Hotels and Resorts/L’Enfant Plaza,October 2013,"December 3, 2013",200
106,Dewey & Le Boeuf,"May 7,14 & 31, 2012","May 31, 2012 June 15, 2012",29
107,IAP World Services,"June 4, 2012","June 18, 2012",99
108,IAP World Services,"June 4, 2012","June 29, 2012 & August 3, 2012",185
109,Interstate Hotels and Resorts,"July 13, 2012","September 13, 2012",114
110,Lockheed Martin Electronic Systems,"July 24, 2012","July 31, 2012",103
111,G4S Government Solutions,"August 2, 2012","February 8, 2013",143
112,Democratic National Committee,"September 10, 2012","November 30, 2012",83
113,American Geophysical Union,"September 14, 2012","December 14, 2012",61
