,company_name,location,notice_date,layoff_date,employees_affected
55,Christmas Tree Shops  -  Location  5,Deptford,July,7/7/23 - 8/2023,33
56,Christmas Tree Shops  -  Location  6,Freehold,July,7/7/23 - 8/2023,51
57,Christmas Tree Shops  -  Location  7,Square Mays Landing,July,7/7/23 - 8/2023,20
58,Christmas Tree Shops  -  Location  8,Paramus,July,7/7/23 - 8/2023,48
59,Christmas Tree Shops  -  Location  9,Rockaway,July,7/723 -  8/2023,40
60,Christmas Tree Shops  -  Location  10,Woodland,July,7/7/23 - 8/2023,58
61,JP Morgan Chase Bank,Jersey City,July,2023-09-25 00:00:00,63
62,Accesso LLC,Jackson,July,2023-09-24 00:00:00,133
63,PVH Corp,Bridgewater,July,2023-08-01 00:00:00,13
64,Ahold eCommerce Sales Company LLC located,Lakewood,July,2023-10-13 00:00:00,47
65,Intercept Pharmaceuticals Inc.,Morristown,July,2023-09-22 00:00:00,49
66,TD Bank,Various locations throughout NJ,July,10/23/2023 - 12/15/2023,88
67,Prudential Financial Inc.,Newark,July,9/15/2023 - 12/06/2023,46
68,Novembal USA Inc,Edison,August,9/30/2023 - 12/31/2023,100
69,Ag-Mart Produce Inc,Cedarville,August,2023-10-31 00:00:00,15
70,Transform KM LLC dba Kmart Store,Westwood,August,2023-10-29 00:00:00,27
71,Transdev Services Inc.,Neptune,August,2023-09-30 00:00:00,50
72,Bristol Myers Squibb,"Lawrence, Princeton, Berkeley Heights, Pennington, New Brunswick",August,2023-11-02 00:00:00,108
73,Nestle USA Inc.,Freehold,August,2023-11-17 00:00:00,210
74,Labcorp Early Development Laboratories Inc.,Somerset,August,11/17/2023 - 12/01/2023,78
75,KeHE Distributors Inc.,Remote Workers in NJ,August,2023-11-15 00:00:00,13
76,CVS Health,Various locations throughout NJ,August,11/15/2023 - 12/31/2023,207
77,Hotel Mahwah dba Sheraton Mahwah,Mahwah,August,2023-12-15 00:00:00,91
78,Novartis Pharmaceuticals,Hanover,August,2023-11-24 00:00:00,103
79,Premier Glass USA LLC,Williamstown,August,2023-09-29 00:00:00,48
80,T Mobile USA Inc.,Various locations throughout NJ,August,2023-11-23 00:00:00,50
81,AT&T,Middletown,August,2023-11-23 00:00:00,12
82,AT&T,Bedminister,August,2023-11-23 00:00:00,29
83,AT&T,Paramus,August,2023-11-23 00:00:00,20
84,AT&T,Trenton,August,2023-11-23 00:00:00,1
85,Hunterdon Brewing Company LLC,White House Station,September,2023-12-01 00:00:00,143
86,Mayo4Sam LLC DBA P.J. Sweeney’s Restaurant & Pub,Brick,September,2023-08-23 00:00:00,35
87,Ingram Micro Inc.,Fairfield,September,2023-09-29 00:00:00,73
88,Divvy Homes,Remote Locations Throughout NJ,September,2023-11-07 00:00:00,53
89,PVH Corp.,Bridgewater,September,"10/1/2023,10/31/2023,11/05/2023, 1/31/2024,1/1/2024,3/1/2024, 4/1/2024",56
90,"Becton, Dickinson, and Company",Lakes,September,2023-09-22 00:00:00,57
91,PTC Therapeutics Inc.,Plainfield,September,2023-12-27 00:00:00,308
92,Educational Testing Service,"Ewing, Princeton",October,2023-01-04 00:00:00,126
93,Cenlar FSB,Ewing,October,2023-10-02 00:00:00,85
94,Elementis Global LLC,East Windsor,October,2023-12-31 00:00:00,58
95,Qualcomm Inc.,Bridgewater,October,2024-01-11 00:00:00,91
96,ID Logistics,Avenel,October,2024-01-11 00:00:00,108
97,Geico,Cherry Hill,October,2024-01-17 00:00:00,93
98,GEO Reentry Service LLC,Newark,October,2024-01-18 00:00:00,107
99,Novelis ALR Rolled Products Inc.,Clayton,October,2024-01-02 00:00:00,104
100,Pfizer Inc,Gladstone,October,2024-02-12 00:00:00,791
101,CVS Health,several locations within NJ,October,2024-01-27 00:00:00,90
102,Ahold eCommerce Sales Company LLC,Jersey City,November,2024-03-01 00:00:00,454
103,Siemens Healthcare Diagnostics Inc.,Morris,November,"12/31/24, 9/27/24, 8/30/24, 5/31/24, 1/31/24, 12/13/2023, 10/25/2023, 9/27/2023, 9/20/2023, 9/18/2023,9/7/2023, 4/13/23, 3/30/23",300
104,NY Daily News,Jersey City,January,2022-03-12 00:00:00,224
105,Lakeside Book Company,Cranbury,January,2022-03-04 00:00:00,164
106,Marvin and Associates PC,Pemberton,January,2022-01-12 00:00:00,3
107,"Gateway Logistics Technologies, LLC",Carteret,January,2022-03-15 00:00:00,41
108,"Disposable Hygiene, LLC",Clifton,January,2022-03-23 00:00:00,115
109,"Congoleum Acquistion, LLC",Trenton,January,2022-02-01 00:00:00,29
110,DHL Supply Chain,Keasbey,February,2022-04-01 00:00:00,69
111,"Peloton Interactive, Inc.",Avenel,February,2022-05-09 00:00:00,64
112,"Peloton Interactive, Inc.",Secaucus,February,2022-05-09 00:00:00,91
113,"Gilead Sciences, Inc",Morris Plains,March,"04/22/2022, 09/30/2022, 12/21/22",114
114,"Aurolife Pharma, LLC",Dayton,March,2022-04-26 00:00:00,99
115,Starplast USA,Bridgewater,March,2022-03-31 00:00:00,23
116,"Belden, Inc.",Elizabeth,March,2022-05-09 00:00:00,54
117,NEAS - Power Contractors,Gloucester,March,2022-06-01 00:00:00,59
118,Daughters of Miriam,Clifton,March,2022-05-23 00:00:00,216
119,"BioReference Health, LLC,",Elmwood Park,May,2022-07-01 00:00:00,111
120,GEO Reentry Services,Trenton,May,2022-06-30 00:00:00,124
121,Akorn Operating Company,Somerset,May,2022-07-31 00:00:00,240
122,Woodland Behavioral/Nursing Center,Andover,June,2022-08-08 00:00:00,250
123,Coram/CVS SPECIALTY,Totowa,July,2022-09-18 00:00:00,58
124,Bed Bath & Beyond Inc.,Port Reading,July,2022-09-18 00:00:00,328
125,Celsius,Hoboken,July,2022-09-30 00:00:00,55
126,Hapag-Lloyd America LLC,Piscataway,August,2022-09-30 00:00:00,149
127,"Sivantos, Inc.",Piscataway,August,2022-10-31 00:00:00,189
128,VC Brands LLC,Burlington,September,2022-11-18 00:00:00,102
129,Thayer Distribution,Gibbstown,September,2022-11-21 00:00:00,128
130,"Adorama Shipping, Inc.",Elizabeth,October,2022-11-28 00:00:00,146
131,Pearson,Hoboken,October,2022-10-12 00:00:00,107
132,"Argo AI, LLC",Cranbury,October,2022-11-01 00:00:00,64
133,Chep Services LLC,Barrington,October,2023-01-14 00:00:00,74
134,Novartis Corporation,East Hanover,November,2023-01-28 00:00:00,60
135,Atlantice Coast Fibers LLC,Passaic,November,2023-01-31 00:00:00,29
136,Atlantic Coast Recycling Ocean LLC,Lakewood,November,2023-01-31 00:00:00,73
137,Accurate Diagnostic Laboratories,South Plainfield,November,2023-01-06 00:00:00,38
138,Reverse Mortgage Funding LLC,Bloomfield,November,2022-11-29 00:00:00,65
139,Novartis Services Inc,East Hanover,November,2023-01-28 00:00:00,4
140,Novartis Pharmaceuticals,East Hanover,November,2023-01-28 00:00:00,221
141,Accurate Diagnostics Laboratories,South Plainfield,December,2023-02-12 00:00:00,94
142,Audiology Services Company USA LLC,Somerset,December,2023-02-03 00:00:00,23
143,Reverse Mortgage Funding LLC,Bloomfield,December,2023-02-20 00:00:00,65
144,Pegasus Home Fashions Inc,Elizabeth,December,2023-02-15 00:00:00,42
145,Bacharach Institute for Rehabilitation Inc.,Pomona,December,2023-03-31 00:00:00,325
146,"Envision Physician Services, LLC",Parsippany,January,2021-02-27 00:00:00,240
147,"Horizon Group USA, Inc.",Cranburry,January,2021-02-26 00:00:00,32
148,"United Airlines, Inc.",Newark,January,2021-04-01 00:00:00,3899
149,GEODIS,Monroe Township,February,2021-05-18 00:00:00,363
150,Saddle Brook Marriott,Saddle Brook,February,2021-06-30 00:00:00,67
151,"The Hain Celestial Group, Inc",Moonachie,February,2021-04-24 00:00:00,143
152,VX Sport LLC,Kansas City,March,2020-01-01 00:00:00,0
153,"Apex Xpress, Inc.",Secaucus,March,2021-05-31 00:00:00,49
154,"Hain Celestial Group, Inc.",Moonachie,March,2021-04-24 00:00:00,143
155,Mondelez Global LLC,Fair Lawn,March,2021-07-09 00:00:00,593
156,Scholastic Book Fairs,Robbinsville,March,2021-03-29 00:00:00,70
157,Donnelley Financial Solutions (DFIN),Secaucus,April,2021-06-30 00:00:00,143
158,MEGAPONE LLC,ALPHARETTA,April,2020-12-31 00:00:00,0
159,Medline Industries,Neptune,April,2021-06-28 00:00:00,146
160,Mondelez Global LLC,Fair Lawn,April,2021-07-29 00:00:00,593
161,New Road Pharmacy and Surgical,Parsippany,April,2021-04-09 00:00:00,1
162,Corin USA,Tampa,May,2019-12-31 00:00:00,2
163,Mott's LLP (Keurig/Dr. Pepper),Carteret,May,2021-06-09 00:00:00,137
164,Pacon Manufacturing Corporation,Somerset,May,2021-07-30 00:00:00,150
165,"Pratt Retail Specialties, LLC",Dayton,May,2021-09-30 00:00:00,76
166,Academy,Haboken,June,2021-06-25 00:00:00,0
167,Accureference medical,Linden,June,2021-06-24 00:00:00,0
168,Comprehensive Decommissioning Intenational (Oyster Creek),Forked River,June,2021-08-01 00:00:00,92
169,"Cosette Pharmaceuticals, Inc.",South Plainfield,June,2021-10-08 00:00:00,94
170,"Kampack, Inc.",Newark,June,2021-08-31 00:00:00,97
171,Katerra Inc.,Jersey City,June,2021-06-04 00:00:00,169
172,Mott's LLP,Avenel,June,2021-10-01 00:00:00,51
173,Novartis Pharmaceuticals Corporation,East Hanover,June,2021-09-10 00:00:00,186
174,PSEG Power,Newark,June,2021-09-13 00:00:00,6
175,"Publishers Circulation Fulfillment, Inc.",Perth Amboy,June,2021-08-28 00:00:00,148
176,Staples Contract & Commercial LLC,Secaucus,June,2021-08-13 00:00:00,194
177,AbbVie Inc,North Brunswick,July,2021-10-08 00:00:00,16
178,AbbVie Inc,Madison,July,2021-10-08 00:00:00,10
179,Embassy Suites Employer D/B/A Embassy Suites by Hilton Secaucus Meadowlands,Secaucus,July,2021-10-31 00:00:00,49
180,"United Airlines, Inc.",Newark,July,2021-10-01 00:00:00,796
181,"Wells Enterpries, Inc.",Lakewood,July,2021-08-27 00:00:00,82
182,IDEXX Laboratories,Totowa,August,2021-11-01 00:00:00,68
183,Bed Bath & Beyond Inc.,Burlington,August,2021-10-29 00:00:00,124
184,Green Beans Coffee,Newark,August,2021-08-27 00:00:00,8
185,Lambertville Hospitality,Lambertville,September,2021-09-10 00:00:00,39
186,Targa Investments Inc,Lambertville,September,2021-09-10 00:00:00,182
187,Rab Lighting,,September,2021-09-10 00:00:00,1
188,Nordson EFD LLC,Robbinsville,October,2022-01-07 00:00:00,121
189,"Teligent, Inc.",Buena,October,2021-12-17 00:00:00,133
190,United Chelsea Kitchen,Newark,October,2021-11-29 00:00:00,103
191,Your Event & Party Corp,Vineland,October,2021-10-02 00:00:00,3
192,Compass Group dba: Chartwells,Woodbridge,November,2021-11-28 00:00:00,103
193,Wyndham Hotels & Resorts,Parsippany,December,2022-02-16 00:00:00,46
194,Readington Farms,Whitehouse Station,December,2022-02-23 00:00:00,203
195,A. C. Moore Incorporated,Berlin,January,2020-02-09 00:00:00,383
196,"Beacon Health Options, Inc,",Boston,January,2019-12-29 00:00:00,175
197,Darby Development LLC,Oceanport,January,2020-02-15 00:00:00,80
198,"Event Solutions International, Inc.*dba Motus One*",Somerset,January,2019-12-20 00:00:00,30
199,Horizon America Supply Chain Solutions Inc.,Hamilton Township,January,2020-04-30 00:00:00,108
200,"Kline Construction Co., Inc.",Galloway,January,2019-12-19 00:00:00,73
201,QVR International LLC,Edison,January,2020-01-17 00:00:00,2
202,Sbar's Incorporated,Moorestown,January,2020-02-13 00:00:00,82
203,"Barney's, Inc.",Lyndhurst,February,2020-02-13 00:00:00,23
204,"Barneys, Inc.",Lyndhurst,February,2020-03-06 00:00:00,21
205,Berry Global,Phillipsburg,February,2020-04-22 00:00:00,150
206,"FedEX Ground Package System, Inc.",Edison,February,2020-02-03 00:00:00,0
207,International Vitamin Corportion,Irvington,February,2020-06-01 00:00:00,110
208,Keurig Dr Pepper Inc.,Plano,February,2020-04-30 00:00:00,73
209,"LogMeIn USA, Inc.",Jersey City,February,2020-02-13 00:00:00,20
210,MONOC - Monmouth Ocean Hospital Services Corp.,Wall,February,2020-04-01 00:00:00,320
211,Manufacturers & Trust Company (dba) M&T Bank,Buffalo,February,2020-05-08 00:00:00,149
212,PharMEDium Healthcare Corporation,Dayton,February,2020-04-20 00:00:00,287
213,Transform SR LLC,New Brunswick,February,2020-04-12 00:00:00,48
214,1230 Rt 22 Restaurant LLC,Mountainside,March,2020-03-20 00:00:00,51
215,986 Restaurant Corp,Parlin,March,2020-03-20 00:00:00,35
216,A-plus,wyckoff,March,2020-03-20 00:00:00,1
217,AHG Montclair Beverage LLC,Montclair,March,2020-03-21 00:00:00,123
218,Abilities in Action,Shrewsbury,March,2020-03-16 00:00:00,48
219,"Alko Distributors, Inc",ESSEX,March,2020-03-17 00:00:00,26
220,American Bread Company LLC,Cleveland,March,2020-03-20 00:00:00,550
221,Arrowhead Health & Racquet Club LLC,Princeton JCT,March,2020-03-15 00:00:00,5
222,BOM CORP d.b.a. apexx fashion,Palisades Park,March,2020-03-20 00:00:00,3
223,"Back Thru The Future Computer Recycling, Inc.",Franklin,March,2020-04-03 00:00:00,15
224,"Bed, Bath & Beyond",Union,March,2020-05-29 00:00:00,58
225,Carmine's Atlantic City LLC,ATLANTIC CITY,March,2020-03-16 00:00:00,181
226,DeRossi & Son Co.,Vineland,March,2020-05-05 00:00:00,175
227,"Empire International, Ltd.",Secaucus,March,2020-03-15 00:00:00,273
228,"Euromarket Designs, Inc. dba Crate and Barrel and CB2",Cranbury,March,2020-03-09 00:00:00,103
229,Garden State Diner,Newark,March,2020-03-17 00:00:00,1
230,Imagine Screen Printing & production LLC,Dayton,March,2020-03-19 00:00:00,25
231,Indochino Apparel (US) Inc,Seattle,March,2020-03-25 00:00:00,23
232,JACK DANIELS MOTORS,UPPER SADDLE RIVER,March,2020-03-26 00:00:00,101
233,JACK DANIELS MOTORS INC,upper saddle River,March,2020-03-31 00:00:00,90
234,JACK DANIELS MOTORS K,upper saddle River,March,2020-03-31 00:00:00,15
235,JACK DANIELS OF USR,UPPER SADDLE RIVER,March,2020-03-26 00:00:00,26
236,KNY 26671 LLC dba Cooperative Laundry,Kearny,March,2020-03-21 00:00:00,102
237,Little Servant Sisters St. Joseph's Home Assisted Living and Nursing Center,Woodbridge,March,2020-03-26 00:00:00,107
238,MACYS,Woodbridge,March,2020-03-18 00:00:00,1
239,My unique thrift,watchung,March,2020-03-21 00:00:00,0
240,Njswim Florham Park,Brielle,March,2020-03-14 00:00:00,19
241,"Njswim Lakeside, LLC",Brielle,March,2020-03-14 00:00:00,21
242,Njswim Sparta,Brielle,March,2020-03-14 00:00:00,18
243,"Njswim Warren, LLC",Brielle,March,2020-03-14 00:00:00,16
244,OTTO HOME GOODS INC.,saddle brook,March,2020-03-20 00:00:00,1
245,Paper Source,Summit,March,2020-03-29 00:00:00,0
246,Pendry Natirar LLC,Peapack,March,2020-03-27 00:00:00,122
247,"Prestige Maintenance USA, LP",Plano,March,2020-03-19 00:00:00,49
248,"Quixote Studios, LLC",Carlstadt,March,2020-03-20 00:00:00,3
249,R&R AUTO GROUP,Pitman,March,2020-03-18 00:00:00,2
250,"Sheppard Bus Service, Inc",Bridgeton,March,2020-03-19 00:00:00,672
251,Squeezed,East Rutherford,March,2020-03-09 00:00:00,0
252,Stockton University compass group,Egg Harbor Township,March,2020-03-11 00:00:00,4
253,Sunoco,Bloomfield,March,2020-03-18 00:00:00,1
254,"WRDH Mt. Laurel Operations, LLC (The ML Hotel)",Mt. Laurel,March,2020-03-16 00:00:00,178
255,Willowbrook chicken LLC,Edisom,March,2020-03-17 00:00:00,1
256,Willowbrook chicken llc,Edison,March,2020-03-17 00:00:00,1
257,force transfer,jersey city,March,2020-03-13 00:00:00,0
258,metrofuser,elizabeth,March,2020-03-23 00:00:00,15
259,stockton compass group,Galloway,March,2020-03-11 00:00:00,4
260,"usi services group , inc.",chattanooga,March,2020-03-20 00:00:00,23695
261,A Step Above Health Management Systems LLC,West Creek,April,2020-04-17 00:00:00,3
262,Aldo US INC,Lake Saint Louis,April,2020-03-31 00:00:00,189
263,Alpha Entertainment,Stamford,April,2020-04-10 00:00:00,99
264,Anthony Robert Salon LLC,Verona,April,2020-03-23 00:00:00,9
265,Barneys New York,Lyndhurst,April,2020-04-17 00:00:00,6
266,Bergen Shippers,North Bergen,April,2020-03-23 00:00:00,93
267,Boston Medical Group New Jersey Professional Association,Lundhurst,April,2020-02-27 00:00:00,2
268,Brodrick Baptiste,Hackensack,April,2020-02-16 00:00:00,500
269,Certified Dermatology Of New Jersey LLC,Toms River,April,2020-03-16 00:00:00,56
270,"Drs Zunger and James, LLP",Manalapan,April,2020-03-29 00:00:00,10
271,Edward J Dooley DMD PC,Spring Lake,April,2020-03-24 00:00:00,6
272,Havana Central NJ1.LLC,EDISON,April,2020-03-15 00:00:00,74
273,Highway Enterprises Inc.,Rockaway,April,2020-04-03 00:00:00,2
274,Loreal,EAST ORANGE,April,2020-03-20 00:00:00,0
275,NJ Certified Dermatology PC,Toms River,April,2020-03-16 00:00:00,82
276,"NJ EYE PROFESSIONALS, LLC",South Plainfield,April,2020-03-22 00:00:00,5
277,New Road Pharmacy & Surgical,PARSIPPANY,April,2020-04-13 00:00:00,6
278,Nirvana Nails,Fair Haven,April,2020-03-13 00:00:00,1
279,"OS Restaurant Services, LLC",Tampa,April,2020-03-15 00:00:00,0
280,Party Rental Ltd,Teterboro,April,2020-03-14 00:00:00,825
281,Peserico USA Inc,hackensack,April,2020-04-01 00:00:00,2
282,Phelan Hallinan Diamond & Jones,Philadelphia,April,2020-03-27 00:00:00,50
283,"Prospect Airport Services, Inc.",Des Plaines,April,2020-03-24 00:00:00,255
284,"SHOPRITE OF OAKLAND, INC.",Oakland,April,2020-06-22 00:00:00,352
285,Sodexo,Matawan,April,2020-06-30 00:00:00,71
286,Sodexo,Lakewood,April,2020-06-30 00:00:00,53
287,"Specialty MD, Inc.",South Plainfield,April,2020-03-22 00:00:00,28
288,TREESDALE PARTNERS LIMITED LIABILITY COMPANY,New York,April,2019-11-18 00:00:00,1
289,Teleperformance USA,Mahwah,April,2020-07-31 00:00:00,72
290,The Brunswick School,Jersey City,April,2020-03-31 00:00:00,123
291,Tropicana Atlantic City Corp.,Atlantic City,April,2020-04-11 00:00:00,2704
292,Universal Technical Institute,Bloomfield,April,2020-04-24 00:00:00,35
293,"Vu enterprise, inc",Egg Harbor Twp,April,2019-07-01 00:00:00,0
294,ePATHUSA Inc,West Des Moines,April,2019-01-10 00:00:00,1
295,east rutherford me llc,edison,April,2020-03-15 00:00:00,20
296,"AC Ocean Walk, LLC",Atlantic City,May,2020-03-27 00:00:00,2948
297,Artistic Products LLC,Rahway,May,2020-04-21 00:00:00,10
298,Augie and Caarmine's Professional Hairstyle,Hillsdale,May,2020-03-22 00:00:00,2
299,Boardakan Restaurant Partners,Atlantic City,May,2020-03-23 00:00:00,143
300,COLMINEX USA LLC,ATLANTIC CITY,May,2020-03-22 00:00:00,1
301,DGMG Casino d/b/a Resorts Casino Hotel,Atlantic City,May,2020-03-16 00:00:00,0
302,Electro Rent Corporation,West Hills,May,2020-05-13 00:00:00,1
303,Fairway Market,Woodland Park,May,2020-06-05 00:00:00,107
304,Heritage Bag,Logan Township,May,2020-05-18 00:00:00,0
305,Hertz Corporation,Newark,May,2020-05-20 00:00:00,66
306,Nordstrom,Freehold,May,2020-06-01 00:00:00,252
307,Omega Engineering,Swedesboro,May,2020-05-26 00:00:00,263
308,RevIgnition,Temecula,May,2020-04-01 00:00:00,1
309,Senneca / Thermoseal,Gloucester City,May,2020-06-30 00:00:00,47
310,"VSM-Rostra, LLC",Newark,May,2020-07-15 00:00:00,87
311,Wolfgang's Steakhouse Grill,Somerville,May,2020-03-16 00:00:00,55
312,1961,Princeton junction,June,2020-03-20 00:00:00,0
313,ADESA/automative Finance Corporation,Manville,June,2020-08-01 00:00:00,76
314,"AJS Supermarkets, LLC",Hillside,June,2020-08-21 00:00:00,172
315,Bed Bath & Beyonf Inc.,Totowa,June,2020-08-22 00:00:00,148
316,Best of Princeton Inc,Princeton,June,2019-10-12 00:00:00,6
317,Boardwalk 1000 LLC,Atlantic City,June,2020-03-30 00:00:00,0
318,Destination Maternity Corporation,Moorestown,June,2020-06-30 00:00:00,111
319,Hard Rock Cafe,Atlantic City,June,2020-03-30 00:00:00,200
320,Horizon Group USA,WARREN,June,2020-08-16 00:00:00,37
321,Keurig Dr Pepper Inc.,Plano,June,2020-07-31 00:00:00,69
322,Linear Holdings LLC,pennsville,June,2020-03-07 00:00:00,3
323,Love & Care Non-Emergency Medical Trensportation llc,Trenton,June,2020-06-25 00:00:00,0
324,Marshall Retail Group,Las Vegas,June,2020-03-18 00:00:00,158
325,SWISSPORT CARGO L.P,NEWARK,June,2020-03-17 00:00:00,189
326,Stanley Black & Decker,Kennilworth,June,2020-08-28 00:00:00,119
327,Your Chiropractor Inc.,Margate,June,2020-05-28 00:00:00,1
328,Airport Management Services and Hudson Group,East Rutherford,July,2020-07-31 00:00:00,80
329,Cinepolis USA,Hackettstown,July,2020-07-31 00:00:00,0
330,"Gaming Laboratories International, LLC",Lakewood,July,2020-07-24 00:00:00,56
331,"Golden Touch Transportation of NY, Inc.",Newark,July,2020-09-30 00:00:00,150
332,Meritex LLC dba Park Hotels and Resorts,Piscataway,July,2020-09-21 00:00:00,99
333,Prime EFS LLC,Bellmawr,July,2020-10-03 00:00:00,115
334,Prime EFS LLC,Elizabeth,July,2020-10-03 00:00:00,96
335,Prime EFS LLC,Monachie,July,2020-10-03 00:00:00,63
336,Simmons Pet Food,Pennsauken,July,2020-08-24 00:00:00,176
337,Spirit Airlines Inc.,Egg Harbor Township,July,2020-10-01 00:00:00,59
338,"United Airlines, Inc.",Newark,July,2020-10-01 00:00:00,7264
339,Walmart Inc. Store #2171,Princeton,July,2020-07-22 00:00:00,205
340,AL=MIGHTY GREEN TEAM,scranton,August,2020-04-17 00:00:00,400
341,Airport Management Services and Hudson Group,East Rutherford,August,2020-08-31 00:00:00,87
342,"Certech, Inc.",Wood-Ridge,August,2021-12-31 00:00:00,267
343,"Compass Group, dba Chartwells Higher Education at Montclair State University",Montclair,August,2020-08-21 00:00:00,105
344,European Gourmet Foods Inc.,Woodland Park,August,2020-09-30 00:00:00,29
345,Freeport-McMoRan (DBA Phelps Dodge Industries),Elizabeth,August,2020-10-16 00:00:00,48
346,"Frontier Airlines, Inc.",Denver,August,2020-10-01 00:00:00,138
347,Grand Lux Cafe,Cherry Hill,August,2020-08-31 00:00:00,117
348,HMSHost - Elwood,Elwood,August,2020-10-15 00:00:00,2
349,HMSHost - Galloway,Galloway,August,2020-10-15 00:00:00,36
350,HMSHost - Milltown,Milltown,August,2020-10-15 00:00:00,4
351,HMSHost - Mt. Laurel,Mt. Laurel,August,2020-10-15 00:00:00,10
352,HMSHost - Pennsgrove,Pennsgrove,August,2020-10-15 00:00:00,4
353,HMSHost - Penssgrove,Pennsgrove,August,2020-10-15 00:00:00,7
354,HMSHost - Pomona,Pomona,August,2020-10-15 00:00:00,36
355,HMSHost - Secaucus,Secaucus,August,2020-10-15 00:00:00,2
356,HMSHost - South Amboy,South Amboy,August,2020-10-15 00:00:00,53
357,HMSHost - Trenton,Trenton,August,2020-10-15 00:00:00,4
358,HMSHost - Trenton,Trenton,August,2020-10-15 00:00:00,0
359,HMSHost - Wall Township,Wall Township,August,2020-10-15 00:00:00,8
360,HMSHost - Woodbridge,Woodbridge,August,2020-10-15 00:00:00,15
