,company_name,location,layoff_date,employees_affected,Phone Number,Zip Code,Address,Contact Name,Layoff Type,Union Representation
29,"WestRock Services, LLC",Fulton County,08/12/2023,89,(770) 448-2102,30337,"1000 Abernathy Rd NE suite 125, Sandy Springs, Georgia",Viviana Silva,Permanent Layoff / Reduction in Force,No
30,"GXO LOGISTICS SUPPLY CHAIN, INC.",,08/23/2023,77,(331) 452-7739,30213,"4035 Piedmont Pkwy, High Point, North Carolina",Carmen Martinez,Permanent Layoff / Reduction in Force,No
31,"Pinova, Inc.",Glynn County,09/15/2023,125,(912) 223-2114,31520,"2801 Cook St, Brunswick, Georgia",Tracye Carico,Permanent Closure,Yes
32,"Anthony, Inc.",Rockdale County,09/29/2023,136,(470) 363-5531,30013,"709 Sigman Rd, Conyers, Georgia",Karla Bonzie,Permanent Closure,No
33,East Lake Golf CLub,Fulton County,09/05/2023,48,(678) 520-6110,30317,"2575 Alston Dr SE, Atlanta, Georgia",Kelly Summers,Permanent Layoff / Reduction in Force,No
34,Novembal USA Inc,,09/30/2023,100,(732) 343-1139,8817,"8606 W Ludlow Dr, Peoria, Arizona",Asif Rahman,Permanent Closure,No
35,Omni Corporation,,09/30/2023,139,(469) 540-4960,31524,"PO Box 2040, chickasha, Oklahoma",Anthony Parrish,Permanent Closure,Yes
36,"BPA Facility Services, Inc.",,09/30/2023,72,(412) 427-8066,31524,"11127 Shady Trail ste 105, Dallas, Texas",Jonnathan Park,Permanent Closure,Yes
37,Service Management Systems,Chatham County,10/14/2023,155,(615) 478-9735,60073,"4700 Waters Ave, Savannah, Georgia",David Shultis,Permanent Layoff / Reduction in Force,No
38,"Matheson Flight Extenders, Inc.",,10/15/2023,335,(682) 688-4008,30336,"9785 Goethe Road, Sacramento, California",Arlisa Cunningham,Permanent Closure,No
39,"A.L.P. Lighting Components, Inc.",Douglas County,11/02/2023,55,(770) 819-7880,30122,"1401 Blairs Bridge Rd, Lithia Springs, Georgia",Kimberlee Hicks,Permanent Closure,No
40,Crown Castle USA Inc.,,10/24/2023,81,(614) 269-5793,30009,"8020 Katy Fwy, Houston, Texas",Michael Hudanick,Permanent Layoff / Reduction in Force,No
41,Saddle Creek Logistics Services,,11/06/2023,225,(863) 668-4487,30336,"3010 Saddle Creek Rd, Lakeland, Florida",Stacey Loyd,Permanent Layoff / Reduction in Force,No
42,"Hood Industries, Inc.",,11/10/2023,105,(601) 296-4821,31792,"1978 Hood Blvd, Ste. 100, Hattiesburg, Mississippi",Christine Alford,Permanent Closure,No
43,"Thriveworks Administrative Services, LLC",,11/30/2023,78,(855) 505-2880,24504,"1000 Jefferson St, Suite 2C, Lynchburg, Virginia",Dagen Weaver,Permanent Layoff / Reduction in Force,No
44,Tacomac,DeKalb County,09/20/2023,25,(140) 457-3134,30030,"W Ponce de Leon Ave, Decatur, Georgia",Brandy Kuder,Permanent Closure,No
45,First Savings Bank,,11/30/2023,3,(812) 218-6857,47130,"702 North Shore Drive, Jeffersonville, Indiana",Julie Bleich,Permanent Layoff / Reduction in Force,No
46,Excalibur Homes LLC,Fulton County,12/15/2023,120,(678) 825-0433,30005,"2855 Marconi Drive STE 310, Alpharetta, Georgia",Mary Nelson,Permanent Layoff / Reduction in Force,No
47,"Packers Sanitation Services, Inc.",,10/15/2023,47,(608) 568-2139,30567,"3681 Prism Lane, Kieler, Wisconsin",Abbie Hall,Permanent Layoff / Reduction in Force,No
48,"Summit Hill Foods, Inc.",Floyd County,12/31/2023,80,(706) 378-6500,30161,"100 East First Avenue, Rome, Georgia",Jason Marion,Permanent Layoff / Reduction in Force,No
49,"GXO LOGISTICS SUPPLY CHAIN, INC.",,12/30/2023,85,(404) 851-4266,30213,"4035 Piedmont Pkwy, High Point, North Carolina",Abbey Carey,Permanent Layoff / Reduction in Force,No
50,"All FAB Precision Sheetmetal, Inc.",Fulton County,12/31/2023,50,(408) 200-4460,30213,"4635 Coates Dr, Fairburn, Georgia",Melissa Mendez,Permanent Closure,No
51,"Wallin Drilling, LLC",Dade,12/31/2021,8,,30752,,,,
52,Boyd Corporation,Fulton,04/01/2022,101,,30213,,,,
53,Evans Food Group Ltd,Upson,03/23/2022,44,,30286,,,,
54,Kyungshin Lear,Troup,02/28/2022,8,,31833,,,,
55,BAE Systems Technology Solutions & Services,Richmond,04/18/2022,70,,30905,,,,
56,Harvest Sherwood Food Distributors,Fulton,04/25/2022,151,,30336,,,,
57,Management and Training Corporation,Dougherty,03/31/2022,264,,31705,,,,
58,"XOTech, LLC",Dougherty,05/06/2022,80,,31704,,,,
59,Ready Responders Inc.,Orleans,02/16/2022,1,,70130,,,,
60,PAC Worldwide,Fulton,05/22/2022,165,,30349,,,,
61,"CWU, INC.-Augusta",Richmond,04/01/2022,68,,30909,,,,
62,"CWU, Inc.-Savannah",Chatham,04/01/2022,75,,31405,,,,
63,"Southern Architecture & Design, Inc.",Haralson,07/01/2021,2,,30110,,,,
64,BAE Systems,Richmond,05/30/2022,10,,30905,,,,
65,Management & Training Corporation,Glynn,06/30/2022,151,,31525,,,,
66,US Genomix Management LLC,Hall,03/05/2022,9,,30501,,,,
67,Greydale Global Logistics,Cobb,05/14/2022,30,,30080,,,,
68,Atlanta Evergreen Marriott Conference Resort,Dekalb,07/31/2022,221,,30083,,,,
69,Stone Mountain Inn,Dekalb,07/31/2022,5,,30083,,,,
70,"Guardian of Georgia, LLC",Gwinnett,08/05/2022,181,,30093,,,,
71,"Silver Dollar City Stone Mountain Park, LLC.",Dekalb,07/31/2022,601,,30083,,,,
72,North Georgia Tire and Auto Care Center,White,01/01/2022,5,,30528,,,,
73,Radial a bpost Company,Gwinnett,09/30/2022,91,,30518,,,,
74,"Freshly, Inc",Cobb,09/10/2022,59,,30168,,,,
75,Milliken Longleaf,Screven,09/12/2022,203,,30467,,,,
76,"Eclipse Advantage, LLC",Clayton,08/24/2022,86,,30297,,,,
77,Shippers Group Three,Clayton,10/10/2022,73,,30236,,,,
78,Radical Creations,McIntosh,08/15/2022,10,,31331,,,,
79,CHEP Services,Dougherty,10/10/2022,82,,31705,,,,
80,DRTY Brand,Paulding,08/22/2022,2,,30141,,,,
81,Community Development Institute Head Start-RDCDI,Rockdale,09/30/2022,29,,30094,,,,
82,Community Development Institute-RD,Rockdale,09/30/2022,10,,30013,,,,
83,Community Development Institute-Rock,Rockdale,09/30/2022,13,,30012,,,,
84,Morrison Healthcare,Fulton,10/31/2022,68,,30312,,,,
85,First Vehicle Services,Thomas,09/30/2022,4,,31792,,,,
86,The Recon Group,Fulton,11/23/2022,119,,30268,,,,
87,Deluxe Corporation,Fulton,12/16/2022,87,,30349,,,,
88,Americold Logistics LLC,Clayton,10/29/2022,1032,,30297,,,,
89,Melgar Facility Maintenance,Muscogee,09/30/2022,88,,31904,,,,
90,CJ Logistics America LLC,Jackson,12/31/2022,57,,30549,,,,
91,Wellstar Atlanta Medical Center,Fulton,11/01/2022,124,,30312,,,,
92,Walmart Facility #4030,Fulton,12/02/2022,1458,,30349,,,,
93,Management & Training Corporation,Dougherty,10/31/2022,320,,31705,,,,
94,EmployBridge LLC,Gwinnett,12/07/2022,171,,30097,,,,
95,Bethanie Ross,Cobb,06/30/2022,1,,30075,,,,
96,Savannah Morning News-Gannett,Chatham,01/22/2023,44,,31405,,,,
97,Latexco,Franklin,11/11/2022,29,,30553,,,,
98,HD Supply,Cobb,01/02/2023,57,,30062,,,,
99,CoreCivic-McRae Correctional Facility,Telfair,11/30/2022,252,,31055,,,,
100,Authobell Car Wash,Gwinnett,10/12/2022,12,,30024,,,,
101,Autobell Car Wash-Lilburn,Gwinnett,10/08/2022,17,,30047,,,,
102,Autobell Car Wash-Alpharetta,Fulton,10/12/2022,28,,30005,,,,
103,"LifeSouth Community Blood Centers, Inc.",Dekalb,01/08/2023,60,,30083,,,,
104,"Okabashi Brands, Inc",Hall,11/03/2022,142,,30518,,,,
105,"Twitter, Inc.",Fulton,01/04/2023,62,,30308,,,,
106,J Tiffany Solutions LLC,Gwinnett,05/22/2022,1,,30092,,,,
107,"Athas Capital Group, Inc.",Fulton,01/03/2023,25,,30004,,,,
108,RUME HEALTH LLC,Orange,01/20/2023,5,,92648,,,,
109,Gildan Yarns,Polk,02/04/2023,107,,30125,,,,
110,Kerry,Chatham,01/31/2022,204,,31408,,,,
111,Amazon-ATL5,Cobb,04/01/2023,219,,30144,,,,
112,"The Stockstill Group, LLC",Henry,11/30/2022,13,,30253,,,,
113,"Stradis Medical,LLC-HenrySchein",Gwinnett,02/14/2023,56,,30071,,,,
114,Omaze,Los Angeles,02/07/2023,103,,90066,,,,
115,"Sunik, LLC",Liberty,02/17/2023,64,,31314,,,,
116,Handyman Of Villarica LLC,Carroll,02/28/2020,15,,30180,,,,
117,The Coca-Cola Company,Fulton,03/31/2021,828,,30313,,,,
118,Tosca ltd,Laurens,03/12/2021,51,,31021,,,,
119,Tattoos by Craig Hammonds,Henry,03/13/2021,1,,30253,,,,
120,The Gift Wrap Company,Liberty,03/30/2021,22,,31320,,,,
121,Expert Repair Group Inc.,Gwinnett,03/31/2020,2,,30046,,,,
122,Quest Diagnostics Inc,Dekalb,03/13/2021,71,,30084,,,,
123,Ink On Me Tattoos,Pickens,10/31/2018,1,,30143,,,,
124,"Selective Products, Inc.",Oconee,01/01/2021,1,,30622,,,,
125,"DS Services of America, Inc. (Primo Water)",Cobb,02/09/2021,66,,30126,,,,
126,Busy Bees Cleaning Services,Carroll,02/08/2020,1,,30170,,,,
127,"Aptim Federal Services, LLC (Ft. Benning)",Chattahoochee,02/23/2022,148,,31905,,,,
128,"Dwarf House Group, LLC (Woodstock)",Cherokee,03/19/2021,137,,30188,,,,
129,Country Home Bakery,Fulton,02/08/2021,200,,30310,,,,
130,Kick Doe Entertainment,Hall,01/01/2021,5,,30517,,,,
131,New Generation Learning Center,Dekalb,06/23/2020,1,,30038,,,,
132,Arise/Datum Tech,Gwinnett,11/12/2020,4,,30087,,,,
133,Arise/Datum Tech,Gwinnett,02/18/2021,4,,30087,,,,
134,"Association of Veterans United for Success, Inc",Muscogee,06/01/2020,3,,31904,,,,
135,Sensormatic Electronics LLC,Douglas,05/02/2021,158,,30122,,,,
136,"Dwarf House Group, LLC",Fulton,04/30/2021,107,,30354,,,,
137,Kings Bay Support Services,Camden,05/17/2021,207,,31547,,,,
138,"Aptim Federal Services, LLC (Kings Bay)",Camden,05/17/2021,30,,31547,,,,
139,"MV Transportation, Inc.",Fulton,05/17/2021,262,,30317,,,,
140,"Durham School Services, L.P.",Peach,05/22/2021,55,,31030,,,,
141,Renaissance Concourse Atlanta Airport,Clayton,01/12/2021,78,,30354,,,,
142,"Rent-A-Center, Inc.",Fulton,06/01/2021,130,,30328,,,,
143,High Speed Service of Atlanta Enterprises,Hall,04/28/2021,40,,30518,,,,
144,"Mixon Reporting Service, Inc.",Tift,04/05/2021,4,,31794,,,,
145,Mondelez Global LLC,Fulton,06/04/2021,381,,30310,,,,
146,Aramark(Georgia Tech),Fulton,06/30/2021,169,,30318,,,,
147,Waye Blessed Trucking,Newton,04/04/2020,10,,30016,,,,
148,Superior Consulting LLC,Newton,04/04/2020,10,,30016,,,,
149,"Snyder's-Lance, Inc",Muscogee,06/20/2021,294,,31902,,,,
150,BAE Systems,Richmond,06/30/2021,65,,30905,,,,
151,BrightSpring Health Services,Taylor,06/30/2021,63,,31076,,,,
152,CORE Community Organized Relief Effort,Los Angeles,05/18/2021,164,,90028,,,,
153,CORE Community Organized Relief Effort,Los Angeles,06/19/2021,69,,90028,,,,
154,Katerra Inc.,Fulton,07/08/2021,91,,30361,,,,
155,ByoPlanet International LLC,Clarke,06/03/2021,69,,30606,,,,
156,"CEVA Logistics US, Inc",Henry,08/31/2021,45,,30253,,,,
157,Radial,Glynn,08/28/2021,70,,31520,,,,
158,Dematic,Spalding,10/01/2021,51,,30224,,,,
159,The Logistics Company,Chattahoochee,03/09/2022,170,,31995,,,,
160,Showa Group (Best Glove),Chattooga,09/22/2021,80,,30731,,,,
161,Aliera Companies,Fulton,05/03/2021,85,,30328,,,,
162,Brown Industries Inc,Whitfield,08/09/2021,433,,30720,,,,
163,"Viracon, Inc",Bulloch,12/08/2021,178,,30458,,,,
164,"FirstKey Homes, LLC",Cobb,10/18/2021,95,,30067,,,,
165,"Just Eat Restaurants, LLC",Fulton,07/15/2021,20,,30312,,,,
166,"SFC Global Supply Chain, Inc.",Fulton,11/24/2021,223,,30307,,,,
167,Gate Gourmet,Fulton,11/19/2021,112,,30354,,,,
168,Beacon Health Options,Pulaski,12/31/2021,387,,72211,,,,
169,"The Corner Foggery, LLC",Thomas,08/29/2021,2,,31792,,,,
170,"KUNKES EAR, NOSE & THROAT",Clayton,09/17/2021,3,,30274,,,,
171,VSE Corporation,Chattahoochee,03/09/2022,471,,31905,,,,
172,Shear Perfections Academy,Whitfield,10/15/2021,2,,30721,,,,
173,R. JULIAN SALON,Fulton,09/22/2021,3,,30075,,,,
174,Coats & Clark,Dougherty,02/01/2021,230,,31705,,,,
175,"TighitCo, Inc.",Fulton,12/31/2021,93,,30318,,,,
176,"XOtech, LLC",Dougherty,11/05/2021,53,,31704,,,,
177,G2 Secure Staff,Dallas,11/18/2021,67,,75039,,,,
178,"Encounter Medical Associates, LLC",Forsyth,11/03/2021,7,,30023,,,,
179,"Zillow Group, Inc.",Dekalb,01/03/2022,88,,30346,,,,
180,Food Technology Corp,Loudoun,10/31/2020,1,,20166,,,,
181,Watsonville Community Hospital,Santa Cruz,03/18/2022,658,,95076,,,,
182,Atlanta Journal-Constitution,Gwinnett,02/12/2021,211,,30071,,,,
183,Central Freight Lines,Clayton,12/13/2021,113,,30288,,,,
184,"The Step2 Company, LLC",Dekalb,02/16/2022,162,,30034,,,,
185,"Conduent Business Services, LLC",Clayton,02/28/2022,72,,30281,,,,
186,"St. Partners, LLC",Hall,12/21/2019,220,,30504,,,,
187,"Mount Vernon Mills, Inc.",Banks,03/09/2020,600,,30510,,,,
188,Scandinavian Tobacco Group Lane Limited,Dekalb,03/17/2020,113,,30084,,,,
189,"Mahogany Interiors, LLC",Fulton,02/01/2020,2,,30318,,,,
190,Cox Corporate Service,Fulton,03/31/2020,81,,30326,,,,
191,"Shaw Industries Group, Inc. Plant 23",Whitfield,04/04/2020,275,,30721,,,,
192,Kindred Specialty Hospital LLC,Floyd,04/06/2020,78,,30165,,,,
193,Express Parcel Service LLC,Cobb,04/12/2020,74,,30082,,,,
194,Pacific Architects & Engineers (PAE),Dougherty,03/10/2020,200,,31704,,,,
195,"ACTS-Aviation Security, Inc.",Clayton,04/30/2020,90,,30320,,,,
196,Concentrix,Chatham,05/04/2020,139,,31419,,,,
197,Cincuenta llc,Dekalb,03/19/2020,38,,30317,,,,
198,The Beginning Learning Center Inc.,Peach,03/16/2020,13,,31030,,,,
199,"Terri Woodward, Inc",Columbia,03/23/2020,14,,30907,,,,
200,"Global Concessions, Inc.",Fulton,03/16/2020,100,,30337,,,,
201,"Global Concessions, II",Fulton,03/16/2020,100,,30337,,,,
202,"Pot Likker Creations, LLC",Fulton,03/16/2020,100,,30337,,,,
203,Firestone LLC,Coweta,03/17/2020,36,,30263,,,,
204,Nails Creation & Spa,Hall,03/19/2020,5,,30518,,,,
205,Piolax Corporation,Cherokee,03/23/2020,359,,30114,,,,
206,"RB Jackson III, PC",Liberty,03/23/2020,25,,31320,,,,
207,Kale Me Crazy,Fulton,03/19/2020,15,,30305,,,,
208,Concord Cafe Inc,Pike,03/14/2020,6,,30206,,,,
209,All Kids First,Gwinnett,03/18/2020,31,,30071,,,,
210,"Dockside Fish, inc.",Chatham,03/23/2020,20,,31401,,,,
211,The Peachtree Club,Fulton,03/13/2020,9,,30309,,,,
212,"Phoenix Art Projects,Inc.",Fulton,03/20/2020,6,,30076,,,,
213,37th St Cooking Inc,Chatham,03/22/2020,45,,31401,,,,
214,"Ranson, Inc",Bibb,03/19/2020,18,,31210,,,,
215,"Monikey, LLC",Houston,03/19/2020,24,,31005,,,,
216,G. C. of Albany Inc.,Dougherty,03/19/2020,71,,31707,,,,
217,"Black Diamond Grill and Grill, Inc",Forsyth,03/23/2020,38,,30041,,,,
218,Punch Bowl Social,Fulton,03/16/2020,173,,30339,,,,
219,Razor Sharp Recoreds South Inc.,Dekalb,03/17/2020,1,,30340,,,,
220,Haven Manufacturing Corp,Glynn,03/30/2020,14,,31525,,,,
221,Crestline Hotels & Resorts,Fulton,03/20/2020,113,,30308,,,,
222,Crestline Hotels & Resorts,Dekalb,03/20/2020,114,,30329,,,,
223,"Ramineni & Shepard, LLC",Cobb,03/25/2020,21,,30067,,,,
224,XPO Logistics Supply Chain Headquarters,Fulton,05/31/2020,226,,30213,,,,
225,Airport Retail Management (ARM),Clayton,03/13/2020,196,,30349,,,,
226,Pinnacle Orthopaedics & Sports Medicine Specialists,Cobb,03/25/2020,50,,30060,,,,
227,BJS ROASTERS,Fulton,03/19/2020,10,,30324,,,,
228,"Golden Gate America East, LLC",Fulton,03/22/2020,378,,30337,,,,
229,R&J LUNCH BOX,Camden,03/21/2020,15,,31548,,,,
230,"Gate Gourmet, Inc.",Clayton,03/25/2020,500,,30354,,,,
231,"Master Creations, Inc.",Fulton,03/17/2020,4,,30331,,,,
232,Old Town Trolley Tours,Chatham,03/25/2020,168,,31415,,,,
233,The Krimson Kafe,Oconee,03/21/2020,4,,30677,,,,
234,Salon de la Vie,Fulton,03/21/2020,8,,30075,,,,
235,AJs Payroll Inc,Coweta,03/18/2020,80,,30263,,,,
236,Baily International Inc,Ware,03/23/2020,148,,31502,,,,
237,"Divine Home Nursing, LLC",Forsyth,03/02/2020,9,,30041,,,,
238,"Absolute Entertainment, Inc",Fulton,03/09/2020,2,,30004,,,,
239,MAXIMUM SOLUTIONS GROUP LLC,Chatham,03/18/2020,10,,31322,,,,
240,"Quixote Studios, LLC",Cobb,03/20/2020,10,,30168,,,,
241,"Quixote Studios, LLC",Fulton,03/20/2020,13,,30316,,,,
242,Personal Touch Salon,Hall,03/19/2020,1,,30506,,,,
243,KAYBEE OF MACON INC,Bibb,03/30/2020,9,,31201,,,,
244,Hunt Enterprises LLC,Lumpkin,03/19/2020,2,,30533,,,,
245,"America's Auto Auction Atlanta, Inc.",Bartow,03/17/2020,65,,30120,,,,
246,Carol's Pampered Pets,Chatham,03/25/2020,4,,31406,,,,
247,"Wencor Group, LLC",Fayette,03/27/2020,176,,30269,,,,
248,CTC FAM LLC,Dekalb,03/24/2020,1,,30338,,,,
249,new nails Salon,Toombs,03/27/2020,3,,30474,,,,
250,"Drive Time Car Sales Company, LLC",Henry,03/30/2020,128,,30281,,,,
251,PEG Smyrna Property LLC,Cobb,03/23/2020,10,,30080,,,,
252,Paper Source,Fulton,03/29/2020,10,,30009,,,,
253,Paper Source,Fulton,03/29/2020,11,,30306,,,,
254,Paper Source,Fulton,03/29/2020,8,,30326,,,,
255,"Ritchey Enterprises, Inc.",Clarke,04/01/2020,1,,30606,,,,
256,River Street Tavern Inc,Gilmer,03/24/2020,29,,30540,,,,
257,Marriott Hotels & Resorts,Dekalb,03/16/2020,107,,30345,,,,
258,M.D. Whitest Medical Institute,Crisp,03/25/2020,7,,31015,,,,
259,NDC Family Care Inc,Gwinnett,03/30/2020,3,,30052,,,,
260,GPC Renovations,Walton,02/29/2020,20,,30655,,,,
261,Gigis Place Inc.,Newton,03/27/2020,17,,30016,,,,
262,Jim n Nicks,Cobb,03/16/2020,41,,30080,,,,
263,Jim n Nick's,Cobb,03/16/2020,38,,30141,,,,
264,"DAL Global Services, LLC",Fulton,03/23/2020,39,,30354,,,,
265,"Focus Brands, LLC",Fulton,03/27/2020,136,,30342,,,,
266,Gifted Creations Salon,Liberty,03/25/2020,2,,31320,,,,
267,Daniel DeReuter,Whitfield,03/22/2020,4,,30720,,,,
268,Prohibition,Chatham,03/18/2020,42,,31401,,,,
269,Alsco,Dekalb,03/25/2020,117,,30340,,,,
270,Gutterglove South & Home Renovation,Cobb,04/03/2020,22,,30066,,,,
271,"MEAT DONE RIGHT, LLC",Gwinnett,03/24/2020,24,,30017,,,,
272,Barteca,Dekalb,03/21/2020,84,,30342,,,,
273,Barteca,Dekalb,03/21/2020,86,,30307,,,,
274,Barteca,Dekalb,03/21/2020,58,,30318,,,,
275,"J ALLEN HENSON JR.,. DDS",Cobb,04/01/2020,4,,30064,,,,
276,Carestream Dental LLC,Cobb,04/06/2020,196,,30339,,,,
277,Kai Kare LLC,Fulton,03/16/2020,34,,30305,,,,
278,nhtllc,Greene,03/30/2020,6,,30642,,,,
279,Crestline Hotels & Resorts,Gwinnett,03/27/2020,48,,30092,,,,
280,"St Joseph Clinic, P.C.",Whitfield,04/06/2020,13,,30720,,,,
281,Emergency Dental Service LLC,Chatham,04/01/2020,5,,31406,,,,
282,"G2 Secure Staff, LLC",Clayton,03/27/2020,122,,30354,,,,
283,Straight Line Roofing,Carroll,04/02/2020,14,,30180,,,,
284,A Book Nook Inc,Dekalb,04/01/2020,17,,30033,,,,
285,IMP Mechanical LLC,Fayette,03/12/2020,16,,30214,,,,
286,"The Martin-Brower Company, L.L.C.",Fulton,04/07/2020,84,,30349,,,,
287,"Austrian Motors, Ltd",Fulton,03/02/2020,5,,30318,,,,
288,Arizona's at Stonecrest,Dekalb,03/23/2020,60,,30038,,,,
289,Coastal Center for Developmental Services,Chatham,04/02/2020,132,,31406,,,,
290,Complete Preservation Services INC (CPS INC),Troup,03/20/2020,1,,30241,,,,
291,Daiohs First Choice Coffee Service,Gwinnett,03/26/2020,5,,30071,,,,
292,hyacinta llc,Gwinnett,03/10/2020,1,,30047,,,,
293,Alert Limited Partnership,Glynn,03/13/2020,1,,31521,,,,
294,handyman of villarica llc,Carroll,03/31/2020,10,,30180,,,,
295,Walmart,Fulton,01/03/2020,20,,30349,,,,
296,RA Sushi Atlanta Midtown Corp.,Fulton,04/02/2020,94,,30309,,,,
297,Asbury Automotive,Fulton,04/03/2020,5,,30009,,,,
298,Asbury Automotive,Fulton,04/03/2020,16,,30009,,,,
299,Accounting & Tax Service of Rome,Floyd,02/28/2020,1,,30161,,,,
300,IH Services,Chattooga,03/27/2020,46,,30753,,,,
301,Asbury Automotive,Fulton,04/03/2020,16,,30350,,,,
302,Asbury Automotive,Fulton,04/03/2020,26,,30360,,,,
303,Asbury Automotive,Forsyth,04/03/2020,13,,30041,,,,
304,Asbury Automotive,Dekalb,04/03/2020,59,,30033,,,,
305,Asbury Automotive,Dekalb,04/03/2020,21,,30038,,,,
306,Asbury Automotive,Dekalb,04/03/2020,19,,30038,,,,
307,Asbury Automotive,Dekalb,04/03/2020,49,,30038,,,,
