,company_name,location,notice_date,layoff_date,employees_affected
Georgia-Pacific Consumer Operations LLC,Greeny Bay,55,CL,Managing Officers,10/29/2019
Richter Foods-Burlington Inc.,Burlington,70,CL,Supermarkets & Other Grocery Stores,9/3/2019
Nestle USA Inc.,Medford,32,WR,Frozen Specialty Food Mfg,9/6/2019
Nestle USA Inc.,Appleton,32,WR,General Warehousing & Storage,9/6/2019
Nestle USA Inc.,Delavan,31,CL,General Warehousing & Storage,9/6/2019
Nestle USA Inc.,Sussex,31,CL,Frozen Specialty Food Mfg,9/6/2019
Transform KM LLC,Racine,47,CL,Department Stores,9/9/2019
Schneider National Carriers Inc.,Green Bay,85,WR,General Freight Trucking Long Distance TL,8/2/2019
Forrer Business Interiors,Milwaukee,58,CL,Furn Merch Whls,8/2/2019
Forrer Business Interiors - Revision 1,Milwaukee,58,LS,Furn Merch Whls,8/9/2019
Hi-Crush Services LLC,Whitehall,40,WR,Description: Ind. Sand Mining,8/12/2019
C&D Technologies,Milwaukee,158,CL,Storage Battery Mfg,8/15/2019
Transform KM LLC,Waupaca,41,CL,Department Stores,8/23/2019
Silgan Containers Manufacturing Corporation,Waupun,70,CL,Metal Can Manufacturing,7/1/2019
Silgan Containers Manufacturing Corporation - Revision 1,Waupun,70,LS,Metal Can Manufacturing,11/4/2019
Arvato Digital Services,Pleasant Prairie,95,WR,General Warehousing & Storage,7/3/2019
Tramontina US Cookware,Manitowoc,145,CL,Mtl Kichn Cookware Utensil Exc Precious Mfg,7/9/2019
US Bank,Eau Claire,43,WR,Commercial Banking,7/10/2019
"Bonton Department Store [aka Saks 5th Avenue, aka Saks 5th Avenue OFF 5TH]",Wauwatosa,39,CL,Department Stores,7/12/2019
Community Development Institution - Head Start,Milwaukee,74,CL,Other Individual & Family Services,7/23/2019
Flambeau River Papers,Park Falls,65,WR,Paper exc Newsprint Mills,7/25/2019
Flambeau River Papers - Revision 1,Park Falls,108,"AW, LS",Paper exc Newsprint Mills,9/16/2019
ResCare Workforce Services,Milwaukee,99,WR,Vocational rehabilitation services,7/29/2019
Beauty Systems Group,Marinette,84,CL,Service Estab Equip Merch Whls,6/3/2019
Intel Corporation,Eau Claire,62,CL,Computer & Software Merch Whls,6/14/2019
Lee Enterprises,La Crosse,20,WR,Newspaper Publishers,6/17/2019
Piggly Wiggly,Kenosha,59,CL,Supermarkets & Other Grocery Stores,6/24/2019
Alliance Industries,Marinette,22,CL,Ind Pattern Mfg,6/25/2019
Mayo Clinic Health System - Franciscan,La Crosse,Unknown,WR,Offices of Physicians exc Mental Health,5/8/2019
Covia Corporation,Maiden Rock,52,WR,Ind Sand Mining,5/9/2019
The Journal Times,Racine,39,WR,Newspaper Publishers,5/13/2019
Merit Gear,Antigo,80,CL,Speed Changer Drive & Gear Mfg,5/20/2019
BMO Harris,Brown Deer,51,WR,Commercial Banking,5/30/2019
F+W Media Inc.,Stevens Point,66,CL,Periodical Publishers,4/1/2019
Iron Mountain Trap Rock Co.,Bloomer,32,CL,Crushed & Broken Limestone Mining,4/1/2019
Shopko,"Manitowoc,
Plover",99,CL,Department Stores,4/8/2019
Inmar,Milwaukee,265,CL,Pharmaceutical Preparation Mfg,4/11/2019
Sodexo Services,Oshkosh,87,CL,Facilities Support Services,4/15/2019
Silver Star Brands,Oshkosh,62,WR,Electronic Shopping and Mail-Order Houses,4/22/2019
Durham School Services,Racine,211,CL,School & Employee Bus Trans,4/23/2019
Backyard Products,Janesville,23,CL,Misc Wood Product Mfg,4/23/2019
Saputo Cheese USA,Dresser,49,CL,Cheese Mfg,4/25/2019
"LifeCare Management Services, LLC",Pewaukee,171,CL,Managing Offices,4/25/2019
Post Acute Medical Specialty Hospital of Milwaukee,Milwaukee,172,CL,Other hospitals,3/7/2019
Heidel House Resort & Spa,Green Lake,111,CL,Hotels & Motels exc. Casino Hotels,3/11/2019
Motor Castings Company,Milwaukee,113,CL,Iron Foundries,3/20/2019
CasTech,West Allis,4,CL,Misc Fabricated Metal Product Mfg,3/20/2019
Radial,Eau Claire,142,cl,Telemarketing & Other Contact Centers,3/26/2019
Dentsply Sirona,Racine,49,CL,Whls Trade Agents & Brokers,3/27/2019
"D.E.N. Services, Inc.",Clintonville,101,CL,Vocational Rehabilitation Services,3/27/2019
SHOPKO,"Abbotsford, Adams, Appleton, Arcadia, Ashwaubenon, Beaver Dam, Chippewa Falls, Clintonville, De Pere, Eagle River, Eau Claire, Fond du Lac, Fort Atkinson, Green Bay, Janesville, La Crosse, Lancaster, Marshfield, Mequon, Monroe, Neillsville, Oconto, Onalaska, Oshkosh, Park Falls, Reedsburg, Rice Lake, River Falls, Rothschild, Sister Bay, Spooner, Stanley, Suamico, Tomahawk, Waukesha, Wausau, Wautoma, Wisconsin Rapids",1715,CL,Department Stores,3/28/2019
Zalk Josephs Fabricators LLC,Stoughton,Unknown,WR,Fabricated Structural Metal Mfg,3/28/2019
"Spectrum Transportation Services, LLC",De Pere,9,CL,General Freight Trucking Long Distance,3/28/2019
Spectrum America Supply Chain Solutions Inc.,De Pere,216,CL,General Warehousing & Storage,3/28/2019
US Bank,Brookfield,40,WR,Commercial Banking,2/5/2019
Covia Corp.,Tomah,29,WR,Ind Sand Mining,2/11/2019
Armor Correctional Health Service Inc.,Milwaukee,100,CL,Facilities Support Services,2/11/2019
ShopKo,"De Pere, Watertown, Beloit, Racine, Kimberly, Kenosha, Monona, Marinette, Sheboygan, Delavan, Rhinelander",578,CL,Department Stores,2/13/2019
Wellspring of Milwaukee,Milwaukee,160,CL,Nursing Care Facilities (Skilled Nursing),2/13/2019
Shopko Store Support Center,Green Bay,140,WR,Managing Offices,2/18/2019
ABQC Corporation,Milwaukee,35,CL,Electroplating Anodizing & Coloring Metal,2/18/2019
"Figi's Companies, Inc.","Marshfield, Stevens Point, Neillsville",279,CL,Electronic Shopping and Mail-Order Houses,1/07/2019
Petco - Drs. Foster & Smith,Rhinelander,289,CL,Electronic Shopping and Mail-Order Houses,1/10/2019
Kimberly-Clark Corp.,Neenah,74,CL,Nonwoven Fabric Mills,1/10/2019
Kimberly-Clark Corp. - Revision 1,Neenah,65,"LS, AW",Nonwoven Fabric Mills,3/22/2019
Compass Minerals America Inc.,Kenosha,38,CL,Other Chemicals Merch Whls,1/14/2019
"Becton, Dickinson and Company",Franklin,2,CL,Pharmaceutical Preparation Mfg,1/18/2019
Shopko Stores,Madison,63,CL,Department Stores,1/18/2019
Unison (formerly known as: Interfaith Older Adult Programs Inc.),"Milwaukee, Cudahy, Brown Deer",53,CL,Services for the Elderly & Disabled,1/18/2019
Lacrosse Hardwood Flooring,Westby,65,CL,Misc Wood Product Mfg,1/22/2019
Pepin Health and Rehab,Pepin,54,CL,Continuing Care Retirement Communities,1/22/2019
Alkar-Rapid Pak Inc,Lodi,30,WR,Food Product Machinery Mfg,1/28/2019
Prinsco,Appleton,33,CL,Plastics Pipe & Pipe Fitting Mfg,12/5/2018
GE Global Operations,Wauwatosa,63,WR,Electromedical Apparatus Mfg,11/26/2018
Kmart Corporation,Cudahy,75,CL,Department Stores,11/13/2018
Intercontinental Milwaukee,Milwaukee,115,CL,Hotels & Motels exc Casino Hotels,11/9/2018
Beechworth Windows,Ladysmith,80,CL,All Other Plastics Product Mfg,11/8/2018
Target Corporation,Greenfield,138,CL,Department Stores,10/30/2018
"Sunlite Plastics, Inc.",Germantown,58,WR,Unlaminated Plastics Profile Shape Mfg,10/29/2018
Milwaukee Athletic Club,Milwaukee,97,CL,Civic & Social Organizations,10/25/2018
Bimbo Bakeries USA,Madison,159,CL,Commercial Bakeries,10/23/2018
"Black Horse Carriers, Inc.",Kenosha,107,CL,General Freight Trucking Long Distance TL,10/19/2018
Home Owners Bargain Outlet,"Milwaukee, West Allis",104,CL,Home Centers,10/17/2018
Southwire/Coleman Cable,Pleasant Prairie,65,CL,Whls Trade Agents & Brokers,10/5/2018
Hi-Crush,Whitehall,37,WR,Description: Ind Sand Mining,10/2/2018
Silgan Containers,Plover,30,WR,Metal Can Mfg,9/20/2018
Marshfield Clinic Health System,Marshfield,25,WR,HMO â Medical Centers,9/17/2018
Midwest Senior Living,Thiensville,30,CL,Assisted Living Facilities for the Elderly,9/1/2018
P.F. Chang's,Middleton,36,CL,Full-service restaurants,8/31/2018
"ACCO Brands USA, LLC",Pleasant Prairie,54,CL,Office Supplies Merch Whls,8/28/2018
"Com-Tec Security, LLC",Greenville,23,CL,Computer Systems Design Services,8/9/2018
OneTouchPoint,Green Bay,30,WR,Commercial Gravure Printing,8/8/2018
Best Buy,Grafton,68,CL,Electronics Stores,8/8/2018
Midwest Senior Living,Appleton,54,CL,Managing Offices,8/6/2018
West Corporation,Middleton,112,WR,Telemarketing & Other Contact Centers,8/2/2018
West Corporation,Green Bay,36,WR,Telemarketing & Other Contact Centers,8/2/2018
Schuman Cheese,Fall Creek,51,WR,Cheese Mfg,7/16/2018
"The Fresh Market, Inc.","Brookfield, Fox Point",102,CL,Supermarkets and Other Grocery Stores,7/10/2018
Mayline (DBA Safco Products Co.),Sheboygan,127,CL,Office Furn exc Wood Mfg,7/2/2018
Mayline (DBA Safco Products Co.) - Revision 1,Sheboygan,127,LS,Office Furn exc Wood Mfg,9/4/2018
Mayline (DBA Safco Products Co.) - Revision 2,Sheboygan,127,LS,Office Furn exc Wood Mfg,10/1/2018
GE Energy,Waukesha,236,CL,Other Engine Equip Mfg,6/29/2018
Cooper Power Systems,Waukesha,52,WR,Elect Power & Specialty Transformer Mfg,6/29/2018
Ariens Company,Janesville,141,CL,Lawn & Garden Equip Mfg,6/19/2018
"Roche Nimblegen, Inc.",Madison,79,CL,Research & Dvlp in Biotech (except Nanobio),6/19/2018
"Daniels of Janesville, LLC",Janesville,49,CL,Supermarkets & Other Grocery Stores,6/19/2018
DHL Supply Chain,Mequon,59,CL,General Freight Trucking Long Distance TL,6/18/2018
Piggly Wiggly #24,Menasha,69,CL,Supermarkets and Other Grocery Stores,6/18/2018
Wells Fargo,Menomonee Falls,46,CL,Portfolio Management,6/7/2018
BMO Harris Bradley Center,Milwaukee,651,CL,Other Spectator Sports,5/24/2018
"Western Industries, Inc.",Watertown,85,CL,Major Household Appliance Manufacturing,5/18/2018
M.G. Design Associates Corporation,Pleasant Prairie,46,CL,Marketing Consulting Services,5/15/2018
Degen-Berglund Inc,La Crosse,30,WR,Home Health Equipment Rental,5/9/2018
Concentrix,Milwaukee,77,WR,Marketing Consulting Services,5/8/2018
American Girl,Wilmot,185,CL,Doll and Stuffed Toy Mfg,4/19/2018
First Citizens Bank,Brown Deer and Glendale,100,WR,Commercial Banking,4/9/2018
First Citizens Bank - Revision 1,Brown Deer and Glendale,100,AW,Commercial Banking,5/2/2018
First Citizens Bank - Revision 2,Brown Deer and Glendale,111,AW,Commercial Banking,6/8/2018
"Bon Ton Stores (Younkers, Boston Store, BonTon)","Brookfield, Eau Claire, Glendale, Greendale, Janesville, Madison, Marshfield, Milwaukee, Racine, Wauwatosa",2255,CL,Department Stores Managing Offices,4/6/2018
Sitel Group,Unknown,1,WR,All Other Business Support Services,4/2/2018
JC Penny,Wauwatosa,520,CL,Electronic Shopping and Mail-Order Houses,3/28/2018
"Hubbell Lighting, Inc.",Hudson,54,CL,Elect Equip & Wiring Merch Whls,3/26/2018
Syverson Lutheran Home,Eau Claire,80,CL,Nursing Care Facilities (Skilled Nursing),3/26/2018
"Toys ""R"" Us, Inc.","Appleton,
Brookfield,
Green Bay,
Madison,
Onalaska,
Milwaukee,
Racine, and 
Janesville",326,CL,Hobby Toy & Game Stores,3/15/2018
"Toys ""R"" Us, Inc. - Revision 1","Appleton,
Brookfield,
Green Bay,
Madison,
Onalaska,
Milwaukee,
Racine, and 
Janesville",326,LS,Hobby Toy & Game Stores,5/30/2018
"ALKAR-RapidPak, Inc.",Lodi,30,WR,Food Product Machinery Mfg,3/8/2018
Foremost Farms USA,Rothschild,110,CL,Dry Condensed & Evaporated Dairy Products,3/5/2018
Care and Rehab - Dallas,Dallas,49,CL,Nursing Care Facilities (Skilled Nursing),3/5/2018
"Cordstrap USA, Inc.",Sturtevant,36,WR,Rope Cordage & Twine Mills,2/26/2018
"Uniek, Inc.",Waunakee,58,WR,All Other Plastics Product Mfg,2/23/2018
Gannett Publishing Services,Appleton,137,CL,Commercial Gravure Printing,2/13/2018
Gannett Publishing Services - Revision 1,Appleton,137,LS,Commercial Gravure Printing,3/23/2018
Gannett Publishing Services - Revision 2,Appleton,137,LS,Commercial Gravure Printing,5/18/2018
Gannett Publishing Services - Revision 3,Appleton,137,LS,Commercial Gravure Printing,6/8/2018
"Mike Flint Enterprises, Inc. (dba Interim Healthcare of Wisconsin; dba Mallatt's Homecare Pharmacy)",Madison and Menomonee Falls,168,CL,"Temporary Help Services, Other Direct Selling Estab",2/7/2018
Interim Healthcare of Wisconsin - Revision 1,Madison,98,LS,Temporary Help Services,5/29/2018
Compass Group,Hudson,3,CL,Janitorial Services,2/1/2018
Younkers,Appleton,75,CL,Department Stores exc Discount,1/31/2018
Younkers,Wausau,63,CL,Department Stores exc Discount,1/31/2018
"Saputo Cheese USA, Inc.",Fond du Lac,120,CL,Cheese Mfg,1/30/2018
"Saputo Cheese USA, Inc. - Revision 1",Fond du Lac,120,LS,Cheese Mfg,3/30/2018
ACCO Brands,Pleasant Prairie,26,CL,Stationery Product Mfg,1/22/2018
Sam's Club,Madison,129,CL,Warehouse Clubs and Supercenters,1/16/2018
"Lake Country Foods, Inc.",Oconomowoc,91,CL,Dry Condensed & Evaporated Dairy Products,1/12/2018
Sam's Club,West Allis,165,CL,Warehouse Clubs and Supercenters,1/11/2018
Sears Holdings,Brookfield,59,WR,Department Stores,1/10/2018
Sears Holdings,Green Bay,43,WR,Department Stores,1/10/2018
F + W Media,Iola,41,WR,Periodical Publishers,12/22/2017
F + W Media - Revision 1,Iola,0,RN,Periodical Publishers,1/29/2018
Centro Hispano Milwaukee,Milwaukee,88,WR,Other Individual & Family Services,11/17/2017
K-Mart,Stevens Point,45,CL,Discount Department Stores,11/13/2017
"Authenticom, Inc.",La Crosse,55,WR,Data Processing Hosting & Related Services,11/8/2017
"Bosch Packaging Technology, Inc.",Shell Lake and New Richmond,35,CL,Ind Machinery Merch Whls,11/6/2017
Ryder Integrated Logistics Inc,Greenville,159,CL,General Freight Trucking Long Distance TL,10/30/2017
"U.S. Paper Converters, Inc.",Appleton,52,CL,All Other Converted Paper Product Mfg.,10/23/2017
"U.S. Paper Converters, Inc. - Revision 1",Appleton,52,LS,All Other Converted Paper Product Mfg.,11/15/2017
Molina Healthcare Inc.,Milwaukee,53,WR,Managing Offices,10/17/2017
Molina Healthcare Inc. - Revision 1,Milwaukee,59,"AW, LS",Managing Offices,12/11/2017
Molina Healthcare Inc. - Revision 2,Milwaukee,78,AW,Managing Offices,12/12/2017
Spartech Packaging,Ripon,70,CL,Nonpackaging Plastics Film & Sheet Mfg,10/5/2017
Webcrafters,Waunakee,258,CL,Books Printing,10/2/2017
Mad Design and Marketing,Madison,2,WR,Marketing Consulting Services,9/29/2017
Mad Design and Marketing - Revision 1,Madison,2,LS,Marketing Consulting Services,10/9/2017
Appvion,Appleton,61,CL,Paper Bag & Coated & Treated Paper Mfg,9/18/2017
Ryder,Beaver Dam,100,CL,Refrigerated Warehousing & Storage,9/14/2017
"Pioneer Metal Finishing, LLC",Oshkosh,52,CL,Metal Coating & Nonprecious Engraving,9/13/2017
"Mega Mart, LLC. (dba Pick 'n Save)",Janesville,71,CL,Supermarkets & Other Grocery Stores,9/6/2017
Jackson National Life Insurance,Appleton,11,CL,Direct Life Insurance Carriers,9/1/2017
Jackson National Life Insurance - Revision 1,Appleton,34,"AW, LS",Direct Life Insurance Carriers,12/18/2017
Jackson National Life Insurance - Revision 2,Appleton,115,"AW, LS",Direct Life Insurance Carriers,1/29/2018
Jackson National Life Insurance - Revision 3,Appleton,145,"AW, LS",Direct Life Insurance Carriers,1/30/2018
"Gordy's Chippewa Foods, Inc.","Arcadia, Augusta, Barron, Black River Falls, Chetek, Chippewa Falls, Cornell, Eau Claire, Galesville, Hayward, La Crosse, Ladysmith, Neillsville, Rice Lake, Richland Center, Shell Lake, Spencer, Stanley, Tomah, Whitehall",1008,CL,Supermarkets & Other Grocery Stores,8/29/2017
Fortis Management Group LLC,Milwaukee,225,CL,Managing Offices,8/22/2017
Appleton Coated LLC,Combined Locks,620,CL,Paper exc Newsprint Mills,8/21/2017
"PDQ Food Stores, Inc.","Fitchburg, Kenosha, Madison, Middleton, Waukesha",313,CL,Gasoline Stations with Convenience Stores,8/7/2017
"Thunder Pallet, Inc.",Theresa,42,CL,Wood Container & Pallet Mfg,8/2/2017
"Marobo, LLC",Mayville,4,CL,Wood Container & Pallet Mfg,8/2/2017
Brennan's Market,"Brookfield, Madison, Monroe, New Glarus, & Oconomowoc",139,CL,All Other Specialty Food Stores,8/1/2017
"The Carlson Company, Inc.",Madison,49,CL,Custom Architectural Woodwork & Millwork,7/25/2017
Black Bear Bottling Group LLC,Oak Creek,76,CL,Soft Drink Mfg,7/19/2017
Sears Auto Center,Greendale,8,CL,Automotive Parts & Accessories,7/10/2017
Sears Store,Greendale,88,CL,Department Stores exc Discount,7/10/2017
Gander Mountain,"Deforest, Franklin, Green Bay, Janesville, Kenosha, Onalaska, Rothschild, Waukesha, West Baraboo",371,CL,Sporting Goods Stores,7/3/2017
Imperial Laundry Systems LLC,Racine,121,CL,Drycleaning & Laundry Services,6/23/2017
Kmart,La Crosse,68,CL,Discount Department Stores,6/13/2017
Kmart,Medford,57,CL,Discount Department Stores,6/13/2017
Kmart,West Allis,114,CL,Discount Department Stores,6/13/2017
SaintA,Milwaukee,82,WR,Residential Mental & Substance,6/7/2017
ADSEA Wisconsin,Portage,58,CL,Motor Vehicle Merch Whls,6/5/2017
Goetz Companies (dba Petro of Portage Travel Center),Portage,104,CL,Gasoline Stations with Convenience Stores,5/30/2017
"Zalk Josephs Fabricators, LLC",Stoughton,55,WR,Fabricated Structural Metal Mfg,5/30/2017
"Colony Brands, Inc.",Madison,103,CL,Mail Order Houses,5/23/2017
Modern Equipment Company LLC,Port Washington,59,CL,Other Industrial Machinery Mfg,5/4/2017
Babcock and Wilcox Universal,Beloit,55,WR,Misc General Purpose Machinery Mfg,4/5/2017
"VF Outdoor, LLC",Appleton,380,WR,Commercial Screen Printing,4/4/2017
"Compass Group USA, Inc. dba Chartwells",Whitewater,302,CL,Food Service Contractors,4/4/2017
Dollar Express,"Appleton, Eau Claire, Milwaukee, St. Francis",50,CL,All Other General Merchandise Stores,4/3/2017
"The Garvey Group, LLC","Franklin, Sturtevant, Milwaukee",66,CL,Commercial Gravure Printing,4/3/2017
The Garvey Group LLC - Revision 1,"Franklin, Milwaukee",66,LS,Commercial Gravure Printing,7/21/2017
Tulip Molded Plastics Corp.,Milwaukee,136,CL,All Other Plastics Product Mfg,3/31/2017
"Alorica, Inc.",La Crosse,137,WR,Telemarketing & Other Contact Centers,3/27/2017
SP Plus Corporation,Milwaukee,60,CL,Parking Lots & Garages,3/27/2017
Gannett Consumer Solutions Center,Milwaukee,24,CL,Newspaper Publishers,3/14/2017
River Steel,West Salem,20,CL,Fabricated Structural Metal Mfg,3/7/2017
Spredfast Inc.,Madison,47,CL,Marketing Consulting Services,2/7/2017
"Promotions Unlimited (Roosevelt Capital, LLC)",Racine,77,CL,Other Nondurable Goods Merch Whls,2/6/2017
Gannett Publishing Services,Wausau,30,CL,Commercial Gravure Printing,2/3/2017
"River City Distributing Co., Inc.",Watertown,107,CL,Beer & Ale Merch Whls,1/23/2017
McKesson Corporation,La Crosse,67,CL,Druggists Goods Merch Whls,1/17/2017
"BMR NO. 1, LLC dba Arrow Hyundai",West Allis,57,CL,New Car Dealers,12/22/2016
"Walter USA, LLC.",Waukesha,39,WR,Cutting Tool & Machine Tool Accessory Mfg,12/12/2016
The Lutheran Home: River Falls,River Falls,62,CL,Nursing Care Facilities (Skilled Nursing),12/8/2016
Clearwater Paper,Neenah,91,WR,Paper exc Newsprint Mills,11/30/2016
Masonite Corporation,Algoma,180,CL,Wood Window & Door Mfg,11/9/2016
Terex Utilities,Waukesha,92,CL,Motor Vehicle Body Mfg,11/9/2016
Milwaukee Center for Independence,Milwaukee,1062,WR,Other Individual & Family Services,11/2/2016
Gossen Corporation,Glendale,92,CL,Unlaminated Plastics Profile Shape Mfg,11/1/2016
Cumberland Healthcare,Cumberland,76,CL,General Medical & Surgical Hospitals,10/31/2016
"TreeHouse Private Brands, Inc.",Ripon,51,CL,Cookie & Cracker Mfg,10/10/2016
Home Security of America (HSA),Cross Plains,121,CL,Appliance Repair & Maint,10/7/2016
Owens Corning,Ladysmith,71,CL,Custom Architectural Woodwork & Millwork,10/3/2016
Gannett Publishing Services,Waupaca,52,CL,Commercial Gravure Printing,10/3/2016
UTi,Sturtevant,200,CL,General Warehousing & Storage,9/20/2016
"Brillion Iron Works, Inc.",Brillion,340,CL,Iron Foundries,9/19/2016
Graebel Moving Services,Wausau,50,WR,Managing Offices,9/14/2016
Spirit Manufacturing Inc.,New Berlin,60,CL,Machine Shops,9/1/2016
Manitowoc Cranes,Manitowoc,528,CL,Construction Machinery Mfg,8/10/2016
Manitowoc Cranes - Revision 1,Manitowoc,528,LS,Construction Machinery Mfg,10/14/2016
Sentry,Waukesha,37,CL,Supermarkets & Other Grocery Stores,8/3/2016
Caterpillar Inc.,Prentice,152,CL,All Other Ind Machinery Mfg,8/2/2016
Southern Wisconsin Foods,Reedsburg,22,CL,Limited-service restaurants,7/13/2016
"Piggly Wiggly Midwest, LLC.",Sheboygan,83,CL,Supermarkets & Other Grocery Stores,7/13/2016
"Cascade Purchase Holdings, Inc. (d/b/a New Hampshire Industries, Inc.)",Horicon,39,CL,Hardware Mfg,7/1/2016
HUSCO International,Waukesha,97,WR,Managing Offices,7/1/2016
Sports Authority,Greenfield,46,CL,Sporting Goods Stores,6/27/2016
Sports Authority - Revision 1,Greenfield,46,LS,Sporting Goods Stores,7/15/2016
CompuCom,Waukesha,16,CL,Computer & Software Merch Whls,6/27/2016
Southern Wisconsin Foods dba Burger King,Milton,20,CL,Limited-service restaurants,6/20/2016
Global Industrial Services Inc.,Milwaukee,27,CL,Ind Machinery Merch Whls,6/20/2016
Air Wisconsin Airlines,Milwaukee,53,CL,Scheduled Passenger Air Trans,6/6/2016
Ameridrives International,Green Bay,37,CL,Mechanical Power Transmission Equip Manufacturing,6/6/2016
"Foster Needle Co., Inc.",Manitowoc,64,CL,Fastener Button Needle & Pin Mfg,6/1/2016
"Experience Works, Inc.",West Bend,5,CL,Vocational Rehabilitation Services,5/31/2016
Anchor Bank FSB - Main Street,Madison,46,WR,Savings Institutions,5/19/2016
Anchor Bank FSB - East Towne Blvd.,Madison,46,WR,Savings Institutions,5/19/2016
Anchor Bank FSB - City View Dr.,Madison,46,WR,Savings Institutions,5/19/2016
Anchor Bank FSB - Holiday Drive,Janesville,1,WR,Savings Institutions,5/19/2016
Anchor Bank FSB - Division Street,Stevens Point,1,WR,Savings Institutions,5/19/2016
"Graphic Packaging International, Inc.",Menasha,230,CL,Coated & Laminated Packaging Paper Mfg,5/18/2016
Sodexo,Waukesha,78,CL,Food Service Contractors,5/18/2016
Sears Holding Company,Wausau,33,CL,Department Stores exc Discount,5/16/2016
Sears Holding Company,Wausau,3,CL,Automotive Parts & Accessories Stores,5/16/2016
Monsanto Company,Middleton,30,CL,Other Chemicals Merch Whls,5/12/2016
"Tyson Foods, Inc.",Jefferson,248,CL,Meat Processed from Carcasses,5/9/2016
"Joy Global, Inc.",Milwaukee,130,"CL, AW",Overhead Cranes Hoists and Monorail Systems,5/11/2016
Kraft Heinz Foods Company,Madison,561,WR,Meat Processed from Carcasses,4/25/2016
"United Solutions, Inc.",Pleasant Prairie,161,CL,Packaging & Labeling Services,4/19/2016
Fairmont Santrol,Hagar City,3,WR,Ind Sand Mining,4/14/2016
Fairmont Santrol,Maiden Rock,39,WR,Ind Sand Mining,4/14/2016
Fairmont Santrol,Menomonie,13,WR,Ind Sand Mining,4/14/2016
"Kohl's Department Stores, Inc.",Brown Deer,83,CL,Office Admin Services,4/8/2016
Rock-Walworth Comprehensive Family Services Inc.-Janesville Community Kids,Janesville,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Walworth Co. RWCFS,Delavan,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Janesville Head Start,Janesville,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Lake Geneva,Lake Geneva,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Delavan,Delavan,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Beloit,Beloit,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Sharon,Sharon,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Whitewater,Whitewater,10,WR,Child Day Care Services,3/24/2016
Rock-Walworth Comprehensive Family Services Inc.-Beloit Hackett Head Start,Beloit,10,WR,Child Day Care Services,3/24/2016
Superior Silica Sands,New Auburn,9,WR,Construction Sand & Gravel Mining,3/24/2016
Superior Silica Sands,Prairie Farm,10,WR,Construction Sand & Gravel Mining,3/24/2016
Superior Silica Sands,Chetek,10,WR,Construction Sand & Gravel Mining,3/24/2016
Superior Silica Sands,Barron,10,WR,Construction Sand & Gravel Mining,3/24/2016
Superior Silica Sands-Arland Facility,Clayton,10,WR,Construction Sand & Gravel Mining,3/24/2016
Superior Silica Sands-CRM Facility,Clayton,10,WR,Construction Sand & Gravel Mining,3/24/2016
Superior Silica Sands-FLS Facility,Clayton,10,WR,Construction Sand & Gravel Mining,3/24/2016
