,company_name,location,notice_date,layoff_date,employees_affected,Formal Name,City,State,Zip
1968,J C PENNEY STORE NO. 3019,6445 W. DIVERSEY AVENUE ,3/19/2001,,238,JCPENNEY COMPANY CREDIT SERVICE CENTER,CHICAGO,IL,60707
1969,TNT LOGISTICS,1515 EAST 98TH STREET ,3/16/2001,,56,"ASSEMBLY PLANT MATERIALS SERVICES, INC.",CHICAGO,IL,60628
1970,Virden Nursing & Rehabilitation Center,402 West Loud Street ,3/12/2001,,55,Virden Nursing & Rehabilitation Center,Virden,IL,62690
1971,"SUPERIOR BANK, FSB",RETAIL DIVISION 5600 NORTH RIVER ROAD,2/22/2001,,78,"SUPERIOR BANK, FSB",ROSEMONT,IL,60018
1972,WEST GROUP,155 PFINGSTEN ,4/3/2001,,193,WEST GROUP,DEERFIELD,IL,60015
1973,ZENITH ELECTRONICS CORPORATION,431 LAKEVIEW COURT SUITE A ,2/26/2001,,125,ZENITH ELECTRONICS CORP,MOUNT PROSPECT,IL,60056
1974,SCIENT CORPORATION,303 EAST WACKER DRIVE 27TH FLOOR,4/12/2001,,60,SCIENT CORPORATION,CHICAGO,IL,60606
1975,THREE (3) COM CORPORATION,1800 W CENTRAL ,4/10/2001,,865,THREE (3) COM CORPORATION,MOUNT PROSPECT,IL,60056
1976,DAIMLER CHRYSLER CORP,3000 W CHRYSLER DRIVE ,4/12/2001,,1420,DAIMLER CHRYSLER CORP,BELVIDERE,IL,61008
1977,KOZMO.COM,2100 NORTH SOUTHPORT ,4/11/2001,,0,KOZMO.COM,CHICAGO,IL,60614
1978,"Medallion Cabinetry, Inc.",105 North Rochester Street ,4/16/2001,,163,Medallion Cabinetry,Lanark,IL,61046
1979,"Medallion Cabinetry, Inc.",105 North Rochester Street ,11/11/2008,,133,Medallion Cabinetry,Lanark,IL,61046
1980,COVA FINANCIAL LIFE INSURANCE CO,ONE TOWER LANE SUITE 3000 ,4/19/2001,,64,COVA FINANCIAL LIFE INSURANCE CO,OAKBROOK TERRACE,IL,60181
1981,FORSHEDA ENGINEERED SEALS,815 PAYNE DRIVE RT 51,4/25/2001,2000-08-24 00:00:00,50,FORSHEDA ENGINEERED SEALS,VANDALIA,IL,62471
1982,Exide Corporation,P.O. Box 03930 3400 West Avenue,4/20/2001,,239,Exide Corporation,Burlington,IA,50322-3930
1983,FANSTEEL INTERCAST,21 N. CHURCH STREET ,4/25/2001,2000-05-16 00:00:00,69,FANSTEEL INTERCAST,ADDISON,IL,60101
1984,REO DIRECT PACKAGING,11601 SO. CENTRAL AVENUE ,4/25/2001,,150,REO DIRECT PACKAGING,ALSIP,IL,60803
1985,AMERICAN EXPRESS,300 SOUTH RIVERSIDE PLAZA ,4/20/2001,,132,AMERICAN EXPRESS TRAVEL,CHICAGO,IL,60606
1986,AMERICAN EXPRESS,300 SOUTH RIVERSIDE PLAZA ,10/29/2002,,320,AMERICAN EXPRESS TRAVEL,CHICAGO,IL,60606
1987,AMERICAN EXPRESS,300 SOUTH RIVERSIDE PLAZA ,10/29/2002,,320,AMERICAN EXPRESS TRAVEL,CHICAGO,IL,60606
1988,AMERICAN EXPRESS,300 SOUTH RIVERSIDE PLAZA ,12/27/2002,,306,AMERICAN EXPRESS TRAVEL,CHICAGO,IL,60606
1989,FIRST DATA FINANCIAL SERVICES,21780 S. CICERO AVENUE ,4/30/2001,,598,FIRST DATA RESOURCES,MATTESON,IL,60443
1990,NORTH AMERICAN SPRING & STAMPING,345 CRISS CIRCLE ,4/20/2001,,125,NORTH AMERICAN SPRING & STAMPING,ELK GROVE VILLAGE,IL,60007
1991,SENIOR AUTOMOTIVE,300 EAST DEVON AVENUE ,4/25/2001,,50,SENIOR AUTOMOTIVE,BARTLETT,IL,60103
1992,"ABC-NACO, INC.",1400 SOUTH LARAMIE AVENUE ,4/2/2001,1999-04-07 00:00:00,300,CHICAGO HEIGHTS RAIL MILL AND WASHINGTON,CICERO,IL,60804
1993,TENEX CORPORATION,2400 ARTHUR AVENUE ,4/24/2001,,138,TENEX CORPORATION,ELK GROVE VILLAGE,IL,60007
1994,"QPF, LLC",601 EAST LAKE STREET ,5/3/2001,,203,"QUALEX, INC.",STREAMWOOD,IL,60103
1995,"W.W. Grainger, Inc.",Material Logic Digital Unit 455 Knightsbridge Parkway,4/30/2001,,178,"Grainger, Inc.",Lincolnshire,IL,60069-3620
1996,"W.W. Grainger, Inc.",Material Logic Digital Unit 455 Knightsbridge Parkway,7/23/2015,2014-06-05 00:00:00,130,"Grainger, Inc.",Lincolnshire,IL,60069-3620
1997,EXELON CORPORATION,3500 NORTH CALIFORNIA AVENUE ,6/13/2001,,50,EXELON CORPORATION,CHICAGO,IL,60680-5398
1998,BOYE NEEDLE,4343 N RAVENSWOOD ,5/3/2001,,81,WM WRIGHT COMPANY,CHICAGO,IL,60602
1999,GERRARD & COMPANY,400 EAST TOUHY AVENUE ,5/1/2001,,112,GERRARD & COMPANY,DES PLAINES,IL,60018
2000,NEWELL WINDOW FASHIONS,524 WEST STEPHENSON STREET ,5/7/2001,,100,Levolor Home Fashions,FREEPORT,IL,61032
2001,MCGRAW-HILL COMPANIES,5623 WEST 115TH STREET ,5/1/2001,,60,MCGRAW-HILL COMPANIES,ALSIP,IL,60658
2002,Liberty Federal Bank,One Grant Square ,5/5/2001,,132,CHARTER ONE BANK,Hinsdale,IL,60521
2003,"Advanced Data-Comm, Inc.",4300 44TH AVENUE ,5/11/2001,,47,"Advanced Data-Comm, Inc.",MOLINE,IL,61265-6577
2004,MARRIOTT VACATION CLUB INTERNATIONAL,CHICAGO CALL CENTER 2625 BUTTERFIELD ROAD #208e,5/10/2001,,260,MARRIOTT DISTRIBUTION SERVICE CENTER,OAK BROOK,IL,60521
2005,JC PENNEY,3500 COURT STREET ,6/19/2002,,56,JCPENNEY COMPANY CREDIT SERVICE CENTER,PEKIN,IL,61554
2006,UNITED HEALTHCARE SERVICES INC,"1900 EAST GOLF ROAD, ROOM 400 ",3/31/2001,,80,METROPOLITAN LIFE INSURANCE COMPANY,SCHAMBURG,IL,60173
2007,MARIAH BOATS,10231 SUGAR CREEK P O BOX 1300,5/23/2001,,300,MARIAH BOATS,BENTON,IL,62812-4332
2008,"PSW INDUSTRIES, INC.",3912 WEST MCLEAN AVENUE ,5/25/2001,,200,"PSW INDUSTRIES, INC.",CHICAGO,IL,60647
2009,JC PENNEY CATALOG CUSTOMER SERVICE,1120 LAKE COOK ROAD ,5/4/2001,,346,JCPENNEY COMPANY CREDIT SERVICE CENTER,BUFFALO GROVE,IL,60089
2010,"CHAMPION TECHNOLOGIES, INC.",2553 N. EDGINGTON STREET ,5/24/2001,,111,"CHAMPION TECHNOLOGIES, INC.",FRANKLIN PARK,IL,60131
2011,AKZO NOBEL COATINGS INC.,1915 INDUSTRIAL AVENUE ,6/9/2001,,89,AKZO NOBEL COATINGS INC.,ZION,IL,60099-1494
2012,DRY STORAGE CORPORATION,5000 PROVISO DRIVE ,6/7/2001,,60,DRY STORAGE CORPORATION,MELROSE PARK,IL,60163
2013,DYNEGY GLOBAL COMMUNICATIONS/MANTISS,"200 WEST MONROE, SUITE 1200 ",7/10/2001,,115,MANTISS LLP,CHICAGO,IL,60606
2014,MIDLAND CHICAGO COMPANY/BUTCHERS,5300 WEST 127TH STREET ,7/5/2001,,57,BUTCHERS,ALSIP,IL,60803
2015,DISNEYQUEST,55 EAST OHIO STREET ,7/2/2001,,281,DISNEYQUEST,CHICAGO,IL,60611
2016,WEBVAN GROUP INC.,720 CENTER STREET ,7/10/2001,,305,WEBVAN GROUP INC.,CAROL STREAM,IL,60188
2017,AT&T BROADBAND,2001 YORK ROAD ,7/12/2001,,110,AT&T - CENTRALIA TSPS,OAK BROOK,IL,60523
2018,WORLD KITCHEN INC.,441 WEST BONNER ROAD ,7/13/2001,,73,WORLD KITCHEN INC.,WAUCONDA,IL,60084
2019,"R. LAVIN & SONS, INC.",2028 SHERIDAN ROAD ,7/19/2001,,132,"R. LAVIN & SONS, INC.",NORTH CHICAGO,IL,60064
2020,"CHEESECAKE FACTORY EXPRESS, THE",55 EAST OHIO STREET ,7/13/2001,,60,"CHEESECAKE FACTORY EXPRESS, THE",CHICAGO,IL,60612
2021,"OMNI-CIRCUITS, INC.",1851 ELMDALE AVENUE ,7/20/2001,,90,"OMNI-CIRCUITS, INC.",GLENDALE,IL,60025
2022,CUSTOMER FIRST,3450 W PRATT ,7/20/2001,,120,BELL & HOWELL,LINCOLNWOOD,IL,60712
2023,VAPOR CORPORATION,6420 W HOWARD ,7/20/2001,2000-05-08 00:00:00,200,VAPOR CORPORATION,NILES,IL,60714
2024,"GSI GROUP, INC.",501 S LINE STREET ,6/15/2001,,60,,DUQUOIN,IL,62832
2025,PACTIV CORPORATION,1100 TAYLOR ROAD ,7/19/2001,,132,STANDARD CORPORATION,ROMEOVILLE,IL,60446
2026,"ZEXEL VALEO COMPRESSOR USA, INC.",625 SOUTHSIDE DRIVE ,7/23/2001,,100,"ZEXEL VALEO COMPRESSORS USA, INC.",DECATUR,IL,62521
2027,LACLEDE STEEL COMPANY,1201 JANETTE DRIVE ,7/27/2001,,54,LACLEDE STEEL COMPANY WIRE MILL OPERATIO,VANDALIA,IL,62471
2028,BALDWIN ENKEL CORPORATION,8155 BURDEN ROAD ,7/24/2001,,66,BALDWIN ENKEL CORPORATION,MACHESNEY PARK,IL,61132
2029,"BURKART FOAM, INC.",36TH & SYCAMORE ,8/1/2001,,101,"BURKART FOAM, INC.",CAIRO,IL,62914
2030,"TD WATERHOUSE HOLDINGS, INC.",550 WEST VAN BUREN STREET ,7/27/2001,,317,"TD WATERHOUSE HOLDINGS, INC.",CHICAGO,IL,60607
2031,"HOWARD DELIVERY SERVICE, INC.",1900 WEST 16TH STREET ,7/18/2001,,50,"HOWARD DELIVERY SERVICE, INC.",BROADVIEW,IL,60153
2032,TWA AIRLINES LLC RESERVATIONS,122 SOUTH MICHIGAN AVENUE ,7/31/2001,,238,TWA AIRLINES LLC,CHICAGO,IL,60666
2033,"T.T.C., ILLINOIS, INC.",50 MEADOWVIEW CENTER ,8/6/2001,,168,"T.T.C., ILLINOIS, INC.",KANKAKEE,IL,60901
2034,Wabash National Parts,2597 Highway 61 ,7/30/2001,,250,Wabash National Parts,Fort Madison,IA,52627
2035,MELLON LEASING MANUFACTURER,AND DEALER SERVICES UNIT 3000 LAKESIDE DRIVE,8/6/2001,,72,MELLON LEASING MANUFACTURER,BANNOCKBURN,IL,60015
2036,Methode Technical Components,7401 WILSON AVENUE ,8/10/2001,,64,TECHNICAL COMPONENTS COMPANY,HARWOOD HEIGHTS,IL,60706-4548
2037,J C PENNEY COMPANY INC.,"3333 WEST TOUHY AVENUE, UNIT J9 ",8/9/2001,,147,JCPENNEY COMPANY CREDIT SERVICE CENTER,LINCOLNWOOD,IL,60712
2038,CONSECO MEDICAL INSURANCE COMPANY,1750 EAST GOLF ROAD ,8/13/2001,,57,CONSECO MEDICAL INSURANCE COMPANY,SCHAUMBURG,IL,60173
2039,BIRMINGHAM STEEL CORPORATION,927 COLLINS STREET ,8/8/2001,,82,BIRMINGHAM STEEL CORPORATION,JOLIET,IL,60432
2040,"DIAMOND COMIC DISTRIBUTORS, INC",801 BRADBURY LANE ,8/31/2001,,79,"DIAMOND COMIC DISTRIBUTORS, INC",SPARTA,IL,62286
2041,"ROWECOM, INC./FAXON ILLINOIS",101 WEST PINE ROAD ,8/29/2001,,62,"ROWECOM, INC./FAXON ILLINOIS",OREGON,IL,61061
2042,CONVERTER CONCEPTS,1400 NORTH 30TH STREET ,8/27/2001,,83,CONVERTER CONCEPTS,QUINCY,IL,62301
2043,"PINNACLE GROUP ASSOICATES, INC.",901 & 1011 WARRENVILLE ROAD ,8/31/2001,,62,"PINNACLE GROUP ASSOICATES, INC.",LISLE,IL,60532
2044,"KEWANEE BOILER MANUFACTURING, LLC",101 FRANKLIN STREET ,9/12/2001,,118,"KEWANEE BOILER MANUFACTURING, LLC",KEWANEE,IL,61443
2045,"UNEXT, INC.","500 LAKE COOK ROAD, SUITE 150 ",9/14/2001,,88,"UNEXT, INC.",DEERFIELD,IL,60015
2046,"UNEXT, INC.","500 LAKE COOK ROAD, SUITE 150 ",1/3/2002,,55,"UNEXT, INC.",DEERFIELD,IL,60015
2047,Precision Coating Inc,6 Wolfer Industrial Park ,9/6/2001,,74,Precision Coating Inc,Spring Valley,IL,61362
2048,CRANE PUMPS & SYSTEMS,1434 NORTH 22ND STREET ,9/19/2001,,82,CRANE PUMPS & SYSTEMS,DECATUR,IL,45356-0603
2049,SIMON MARKETING INC.,1 TRANS AM PLAZA DRIVE ,9/19/2001,,78,SIMON MARKETING INC.,DOWNERS GROVE,IL,60181
2050,SIMON MARKETING INC.,1 TRANS AM PLAZA DRIVE ,11/15/2001,,66,SIMON MARKETING INC.,DOWNERS GROVE,IL,60181
2051,DYNACIRCUITS LLC,11230 ADDISON STREET ,9/13/2001,,201,DYNACIRCUITS LLC,FRANKLIN PARK,IL,60131-1180
2052,AMERICAN AIRLINES,OHARE INTERNATIONAL AIRPORT ,5/1/2003,,543,AMERICAN AIRLINES,CHICAGO,IL,60666
2053,AMERICAN AIRLINES,OHARE INTERNATIONAL AIRPORT ,9/19/2001,,1000,AMERICAN AIRLINES,CHICAGO,IL,60666
2054,TWA AIRLINES LLC,OHARE INTERNATIONAL AIRPORT ,9/19/2001,,0,TWA AIRLINES LLC,CHICAGO,IL,60665
2055,MARRIOTT INTERNATIONAL,CHICAGO RESERVATIONS 3150 RIVER ROAD SUITE 200,9/24/2001,,205,MARRIOTT INTERNATIONAL,DES PLAINES,IL,60018
2056,CLASSIC CUSTOM VACATIONS,2211 BUTTERFIELD ROAD ,9/24/2001,,92,CLASSIC CUSTOM VACATIONS,DOWNERS GROVE,IL,60515
2057,PRUDENTIAL REAL ESTATE & RELOCATION SERVICES,1700 GOLF ROAD SUITE 700 ,9/30/2001,,75,PRUDENTIAL REAL ESTATE & RELOCATION SERV,SCHAUMBURG,IL,60173
2058,TUTHILL CORPORATION,NOT PROVIDED ,9/27/2001,,63,TUTHILL CORPORATION,ELK  GROVE VILLAGE,IL,60007
2059,NORTHWEST AIRLINES,MIDWAY AIRPORT & OHARE INTRNL 5700 S CICERO & TERMINAL 2,9/25/2001,,79,NORTHWEST AIRLINES,CHICAGO,IL,60638
2060,NORTHWEST AIRLINES,MIDWAY AIRPORT & OHARE INTRNL 5700 S CICERO & TERMINAL 2,7/29/2005,,119,NORTHWEST AIRLINES,CHICAGO,IL,60638
2061,"EATON HYDRAULICS, INC.",4950 MARLIN DRIVE ,10/4/2001,,145,EATON CORPORATION,MACHESNEY PARK,IL,61115
2062,CARLSON WAGONLIT TRAVEL,3601 ALGONGUIN ROAD ,10/5/2001,,121,CARLSON WAGONLIT TRAVEL,ROLLING MEADOWS,IL,60008
2063,CARLSON WAGONLIT TRAVEL,3601 ALGONGUIN ROAD ,4/23/2002,,52,CARLSON WAGONLIT TRAVEL,ROLLING MEADOWS,IL,60008
2064,JOHN CRANE INC.,29-31 BUR DENT DRIVE ,10/8/2001,2000-06-21 00:00:00,97,JOHN CRANE INC.,CRYSTAL LAKE,IL,60039
2065,"EVERPURE, INC.",660 NORTH BLACKHAWK DRIVE ,10/10/2001,,75,"EVERPURE, INC.",WESTMONT,IL,60559
2066,QUEBECOR WORLD,1201 KIRK STREET ,10/10/2001,,126,QUEBECOR WORLD,ELK GROVE VILLAGE,IL,60007
2067,POWERS PROCESS CONTROLS,3400 WEST OAKTON STREET ,10/15/2001,,68,POWERS PROCESS CONTROLS,SKOKIE,IL,60076
2068,JUMERS CONTINENTAL INN,I-74 AND EAST MAIN STREET ,10/12/2001,,86,JUMERS CONTINENTAL INN,GALESBURG,IL,61401
2069,AT&T SERVICE OPERATIONS GROUP,PROVISIONING & MAINTENANCE 1000 COMMERCE DRIVE,10/12/2001,,68,AT&T BUSINESS COMMUNICATION SERVICES,OAK BROOK,IL,60521
2070,AT&T SERVICE OPERATIONS GROUP,PROVISIONING & MAINTENANCE 10 S CANAL STREET,10/12/2001,,123,AT&T BUSINESS COMMUNICATION SERVICES,CHICAGO,IL,60606-5307
2071,NOLATO SHIELDMATE,750 ROWHLING ROAD 761 DISTRICT DRIVE,10/11/2001,,110,NOLATO SHIELDMATE,ITASCA,IL,60143
2072,"PROMOTION SUPPORT SERVICES, INC.",477 EAST MAIN STREET ,10/17/2001,,60,"PROMOTION SUPPORT SERVICES, INC.",GALESBURG,IL,61241
2073,"DAN HOWARD INDUSTRIES, INC.",4245 NORTH KNOX AVENUE ,10/18/2001,,64,"DAN HOWARD INDUSTRIES, INC.",CHICAGO,IL,60614
2074,Spherion Corporation,4531 Maine St Ste B ,10/17/2001,,86,SPHERION PACIFIC ENTERPRISES LLC,Quincy,IL,62305-5877
2075,SOFT SHEEN/CARSON PRODUCTS,8522 SOUTH LAFAYETTE AVENUE ,10/26/2001,,126,SOFT SHEEN/CARSON PRODUCTS,CHICAGO,IL,60620
2076,SOFT SHEEN/CARSON PRODUCTS,8522 SOUTH LAFAYETTE AVENUE ,7/22/2004,,63,SOFT SHEEN/CARSON PRODUCTS,CHICAGO,IL,60620
2077,AMCO CORP,901 NORTH KILPATRICK AVENUE ,10/25/2001,,70,LEGGETT & PLATT INC.,CHICAGO,IL,60651
2078,NUSSBAUM TRUCKING INC. LTL DIVISION,2200 NORTH MAIN STREET ,10/29/2001,,130,NUSSBAUM TRUCKING INC. LTL DIVISION,NORMAL,IL,61761-4741
2079,AMERITECH ADVANCED DATA SERVICES,95 WEST ALGONQUIN ,10/29/2001,,66,AMERITECH,ARLINGTON HEIGHTS,IL,60005
2080,Sears Holdings Mgmt. Corporation,3333 Beverly Road ,10/26/2001,,500,,Hoffman Estates,IL,60179
2081,Sears Holdings Mgmt. Corporation,3333 Beverly Road ,4/16/2008,,250,,Hoffman Estates,IL,60179
2082,Sears Holdings Mgmt. Corporation,3333 Beverly Road ,2/23/2017,,870,,Hoffman Estates,IL,60179
2083,Sears Holdings Mgmt. Corporation,3333 Beverly Road ,2/23/2012,,100,,Hoffman Estates,IL,60179
2084,Sears Holdings Mgmt. Corporation,3333 Beverly Road ,3/24/2005,,250,,Hoffman Estates,IL,60179
2085,GE FINANCIAL ASSURANCE,5523 N CUMBERLAND ,11/1/2001,,133,GE FINANCIAL ASSURANCE,CHIAGO,IL,60656
2086,Chemetco,3576 Chemetco Ln. ,10/30/2001,,157,Chemetco,Hartford,IL,62048
2087,E.G. Home Center,110 E. North Ave. ,7/17/2001,,65,E.G. Home Center,Carol Stream,IL,60188
2088,Loparex,1400 Harvester Road ,8/1/2001,,85,Loparex,West Chicago,IL,60185
2089,WTC,150 E. St. Charles Rd. ,7/9/2001,,112,WTC,Carol Stream,IL,60188
2090,Tellabs,1000 Remington Blvd. ,8/20/2001,,600,Tellabs,Bolingbrook,IL,60440
2091,SARA LEE BRANDED FOODS,900 N. NORTH BRANCH STREET ,11/9/2001,,194,SARA LEE HOSIERY/CHAMPAIGN DISTRIBUTION,CHICAGO,IL,60622
2092,SEABURY & SMITH,1440 N. NORTHWEST HIGHWAY ,11/8/2001,,74,SEABURY & SMITH INC.,CHICAGO,IL,60068
2093,Exide Corporation,2475 W. Station ,11/7/2001,,82,Exide Corporation,Kankakee,IL,60901
2094,Exide Corporation,2475 W. Station ,9/6/2005,,62,Exide Corporation,Kankakee,IL,60901
2095,"LITTELFUSE, INC.",100 WEST JOHNSON ,11/15/2001,2003-08-22 00:00:00,165,"LITTELFUSE, INC",CENTRALIA,IL,62801
2096,ACCO NORTH AMERICA,770 SOUTH ACCO PLAZA ,11/13/2001,,93,ACCO NORTH AMERICA,WHEELING,IL,60090
2097,ACCO NORTH AMERICA,770 SOUTH ACCO PLAZA ,5/1/2002,,110,ACCO NORTH AMERICA,WHEELING,IL,60090
2098,"Wallace Computer Services, Inc.",1750 WALLACE AVENUE ,11/14/2001,,53,"Wallace Computer Services, Inc.",ST. CHARLES,IL,60174
2099,KEMMER PRAZISION,5740 N. TRIPP AVENUE ,11/14/2001,,115,KEMMER PRAZISION,CHICAGO,IL,60646
2100,"CORSOLUTIONS, INC.",940 FRONTAGE ROAD SUITE 400,11/14/2001,,74,"CORSOLUTIONS, INC.",WOODRIDGE,IL,60517
2101,Motorola Solutions Inc.,1301 EAST ALGONQUIN ROAD ,6/26/2006,,253,MOTOROLA WIRELESS DATA GROUP,SCHAUMBURG,IL,60196
2102,Motorola Solutions Inc.,1301 EAST ALGONQUIN ROAD ,11/14/2008,,74,MOTOROLA WIRELESS DATA GROUP,SCHAUMBURG,IL,60196
2103,Motorola Solutions Inc.,1301 EAST ALGONQUIN ROAD ,4/3/2006,2007-12-10 00:00:00,52,MOTOROLA WIRELESS DATA GROUP,SCHAUMBURG,IL,60196
2104,Motorola Solutions Inc.,1301 EAST ALGONQUIN ROAD ,11/16/2001,2000-09-08 00:00:00,100,MOTOROLA WIRELESS DATA GROUP,SCHAUMBURG,IL,60196
2105,Williamette Industries,430 Industrial Drive ,11/19/2001,,70,"Willamette Industries, Inc.",West Chicago,IL,61805
2106,LTV STEEL COMPANY,RTS. I-80 AND 71 ,11/20/2001,,583,LTV STEEL COMPANY,HENNEPIN,IL,61327
2107,LTV STEEL COMPANY,11600 S. BURLEY AVENUE ,11/20/2001,,222,LTV STEEL COMPANY,CHICAGO,IL,60617
2108,METRIS COMPANIES,2202 FOX DRIVE ,11/20/2001,,60,METRIS COMPANIES,CHAMPAIGN,IL,61820
2109,PRECOAT METALS,4800 SOUTH KILBOURN AVENUE ,11/30/2001,,71,SEQUA,CHICAGO,IL,60632
2110,Mail-Well Envelope,5445 NORTH ELSTON AVENUE ,12/3/2001,,70,Mail-Well Envelope,CHICAGO,IL,60630
2111,"ALLIANT FOODSERVICE, INC.",1 PARKWAY NORTH ,12/3/2001,,337,"ALLIANT FOODSERVICE, INC.",DEERFIELD,IL,60015
2112,"Wilcox, Inc.",I-70 & I-57 AT STATE ROUTES 32 & 33 P.O. BOX 989,11/30/2001,,85,"Wilcox, Inc.",EFFINGHAM,IL,62401
2113,CANDLE CORPORATION OF AMERICA,141 WEST 62ND STREET ,11/28/2001,,155,Candle Corporation of America,CHICAGO,IL,60621
2114,Chicago Specialties LLC,735 E 115TH St ,11/30/2001,,71,"CHICAGO SPECIALTIES, LLC.",Chicago,IL,60628-5706
2115,"COMDISCO, INC.",800 ALBION ,12/4/2001,,57,COMDISCO HOLDING COMPANY INC.,SCHAUMBURG,IL,60193
2116,"Developmental Services Center of Champaign County, Inc.",1304 W Bradley Ave ,11/14/2001,,79,Dvlpmntl Svcs Ctr-champaign Cty.,Champaign,IL,61821-2099
2117,CITICORP DINERS CLUB INC.,8430 WEST BRYN MAWR AVENUE ,12/7/2001,,61,CITICORP DINERS CLUB INC.,CHICAGO,IL,60631
2118,ALLSTATE INSURANCE COMPANY,536 ATRIUM DRIVE ,12/10/2001,,121,ALLSTATE INSURANCE COMPANY'S (SUBROGATIO,VERNON HILLS,IL,60061
2119,BAPTIST RETIREMENT HOME,316 RANDOLPH STREET ,11/30/2001,,111,AMERICAN BAPTIST HOMES OF THE MIDWEST,MAYWOOD,IL,60153
2120,A.B. Dick Company,6330 West Touhy Avenue ,12/17/2001,,120,A.B. Dick Company,Niles,IL,60714
2121,MCCOOK METALS,4900 FIRST AVENUE ,12/18/2001,,483,MCCOOK METALS,MCCOOK,IL,60525
2122,BERGNER'S LINCOLN SQUARE STORE,100 LINCOLN SQUARE ,12/28/2001,,83,SAKS INCORPORATED CREDIT FACILITY,URBANA,IL,61801
2123,Rudolf Express,1650 Armour Rd. ,1/3/2002,,250,Rudolf Express,Kankakee,IL,60914
2124,UNION PLANTER BANK CREDIT SOLUTION CENTER,4820 WEST MAIN STREET ,12/31/2001,,114,UNION PLANTERS DIRECT CALL CENTER,BELLEVILLE,IL,62226
2125,ROHN INDUSTRIES INC.,6718 WEST PLANK ROAD ,1/4/2002,,500,ROHN INDUSTRIES INC.,PEORIA,IL,61604
2126,AMERICAN MEAT PACKING CO,3946 S. HALSTED ,12/28/2001,,300,AMERICAN MEAT PACKING CO,CHICAGO,IL,60606
2127,SOLO CUP COMPANY,1500 EAST 97TH STREET ,1/11/2002,,89,SOLO CUP COMPANY,CHICAGO,IL,60628
2128,BANKFINANCIAL F.S.B.,100 TRI-STATE INTERNATIONAL PARKWAY ,1/9/2002,,53,BANKFINANCIAL F.S.B.,LINCOLNSHIRE,IL,60069
2129,SAKS INCORPORATED CREDIT FACILITY,140 INDUSTRIAL DRIVE ,1/14/2002,,209,SAKS INCORPORATED CREDIT FACILITY,ELMHURST,IL,60126
2130,SANFORD CORPORATION,2711 WASHINGTON BOULEVARD ,1/4/2002,,100,SANFORD CORP.,BELLWOOD,IL,60104
2131,Millward Brown USA Inc.,1999 W. Wabash Ave. Suite 100,3/15/2002,,150,MILLWARD BROWN,Springfield,IL,62704
2132,CINTAS INTEGRITY UNIFORMS,3801 WEST LAWRENCE ,1/14/2002,,59,INTEGRITY UNIFORMS,CHICAGO,IL,60625
2133,"DFG FOODS, LLC",550 W 14TH & 111 N CANAL STREET ,1/18/2002,,273,"DFG FOODS, LLC",CHICAGO,IL,60607
2134,S-B POWER TOOL COMPANY,2791 KATHERINE WAY ,1/8/2002,,115,S-B POWER TOOL COMPANY,ELK GROVE VILLAGE,IL,60646
2135,TECHNICAL COATINGS CO.,NORTH & 25TH AVENUE ,1/30/2002,,87,TECHNICAL COATINGS CO.,MELROSE PARK,IL,60160
2136,KROGER,"RT 4, 1300 N MARKET STREET ",1/26/2002,,60,Kroger,SPARTA,IL,62286
2137,NORGREN ACTUATOR,1330 ANVIL ROAD ,1/25/2002,,65,NORGREN ACTUATOR,ROCKFORD,IL,61111
2138,"APAC CUSTOMER SERVICES, INC.",SIX PARKWAY NORTH ,2/1/2002,,73,"APAC CUSTOMER SERVICES, INC.",DEERFIELD,IL,60015
2139,CERRO Flow,3000 MISSISSIPPI AVENUE ,1/25/2002,2001-05-07 00:00:00,105,CERRO COPPER PRODUCTS CO,EAST ST. LOUIS,IL,62206
2140,CERRO Flow,3000 MISSISSIPPI AVENUE ,11/7/2006,2005-08-08 00:00:00,128,CERRO COPPER PRODUCTS CO,EAST ST. LOUIS,IL,62206
2141,UNIPRISE & UNITEDHEALTH CARE,600 HOLIDAY PLAZA ,2/5/2002,,211,UNIPRISE & UNITEDHEALTH CARE,MATTESON,IL,60443
2142,SCHUMACHER ELECTRIC CORPORATION,1025 E THOMPSON AVENUE 405 W ORANGE STREET,2/4/2002,2003-09-14 00:00:00,52,SCHUMACHER ELECTRIC CORPORATION,HOOPESTON,IL,60942
2143,VALEO CLIMATE CONTROL,625 SOUTHSIDE DRIVE ,2/7/2002,,63,VALEO CLIMATE CONTROL,DECATUR,IL,62521
2144,GENCO DISTRIBUTION SYSTEM,875 DEVON AVENUE SUITE A,2/18/2002,,85,,ELK GROVE VILLAGE,IL,60007
2145,TSI INCORPORATED,7555 NORTH LINDER AVENUE ,2/22/2002,,52,TSI INCORPORATED,SKOKIE,IL,60011
2146,"GENERAL MILLS, INC.",2089 PILLSBURY DRIVE ,2/13/2002,,119,"GENERAL MILLS, INC.",GENEVA,IL,60134
2147,SKY CHEFS,"511 CARGO RD, O'HARE AIRPORT ",10/1/2001,,200,SKY CHEFS,CHICAGO,IL,60666
2148,SKY CHEFS,"511 CARGO RD, O'HARE AIRPORT ",11/14/2003,,650,SKY CHEFS,CHICAGO,IL,60666
2149,DEAN FOODS ROCKFORD TECHNICAL CENTER,5555 COLEMAN CENTER DRIVE ,2/28/2002,,70,DEAN FOODS ROCKFORD TECHNICAL CENTER,ROCKFORD,IL,61108
