,company_name,location,notice_date,layoff_date,employees_affected,Notice ID
114,Dream Nashville Hotel,Davidson,2020/8/10,"August 1, 2020",95.0,#202000246
115,PSA Airlines #2,Blount,2020/8/10,"October 1, 2020",20.0,#202000248
116,RMS Surgical,Shelby,2020/8/5,"December 31, 2020",58.0,#202000244
117,Kennametal Inc.,Washington,2020/8/5,"October 15, 2020",141.0,#202000245
118,Auto Exchange Dealers of Memphis - East Tennessee,Washington,2020/8/5,"October 3, 2020",36.0,#202000243
119,Embassy Suites Memphis,Shelby,2020/8/4,"March 20, 2020",41.0,#202000242
120,Remington Arms & Outdoor Company,Loudon,2020/8/4,"September 29, 2020",7.0,#202000241
121,AKI Inc. dba Arcade Beauty,Hamilton,2020/7/31,"April 1, 2020",53.0,#202000240
122,Airport Management Services and Hudson Group,Davidson,2020/7/31,"July 31, 2020",54.0,#202000239
123,Tennessee Valley Authority #2,Hamilton,2020/7/30,"July 24, 2020",38.0,#202000238
124,CoreCivic Metro-Davidson County Detention Facility,Davidson,2020/7/29,"October 4, 2020",202.0,#202000237
125,PSA Airlines,Blount,2020/7/29,"October 1, 2020",103.0,#202000235
126,Community Development Institute Head Start,"Cannon, Robertson, Rutherford, Sumner, Trousdale, Williamson, and Wilson",2020/7/24,"August 31, 2020",175.0,#202000233
127,White Lodging Services Corp. dba Hyatt Place Knoxville,Knox,2020/7/22,"March 20, 2020",33.0,#202000231
128,SFI of Tennessee,Shelby,2020/7/22,"August 27, 2020",21.0,#20200232
129,White Lodging Services Corp. dba Marriott Nashville,Davidson,2020/7/22,"March 20, 2020",75.0,#202000230
130,Delaware North Companies Inc.,Davidson and Shelby,2020/7/14,"March 23, 2020",583.0,#202000229
131,Hilton Nashville Downtown,Davidson,2020/7/13,"July 7, 2020",139.0,#202000228
132,"Central Research, Inc.",Sumner,2020/7/10,"June 15, 2020",111.0,#202000227
133,KHRG Aerston LLC dba Kimpton Aerston Hotel,Davidson,2020/7/9,"March 19, 2020",70.0,#202000226
134,HRI Properties dba Holston House Nashville,Davidson,2020/7/8,"June 4, 2020",23.0,#202000225
135,Key Safety Systems dba Joyson Safety Systems,Knox,2020/7/1,"October 30, 2020",95.0,#202000224
136,Auto Dealers Exchange of Memphis (ADESA),Washington,2020/7/1,"August 1, 2020",35.0,#202000223
137,ABM Industries Inc.,Knox,2020/6/30,"August 29, 2020",136.0,#202000222
138,General Motors LLC - Spring Hill,Maury,2020/6/30,"June 17 - June 30, 2020",680.0,#202000221
139,FLSmidth Inc.,Washington,2020/6/22,"August 18, 2020",113.0,#202000219
140,City Winery Nashville,Davidson,2020/6/17,"March 15, 2020",117.0,#202000218
141,"Poplar Healthcare Management, LLC",Shelby,2020/6/15,"May 29, 2020",24.0,#202000217
142,"Partners Central Business Office, LLC",Shelby,2020/6/12,"September 30, 2020",67.0,#202000216
143,"Marriott Hotel Services, Inc., dba The Inn at Opryland",Davidson,2020/6/11,"March 21, 2020",107.0,#202000215
144,"Marriott Hotel Services, Inc., dba Gaylord Opryland Resort & Convention Center & Gaylord Springs Golf Links",Davidson,2020/6/11,"March 21, 2020",2325.0,#202000214
145,"Marriott Hotel Services, Inc., dba Wildhorse",Davidson,2020/6/11,"March 21, 2020",123.0,#202000213
146,"Marriott Hotel Services, Inc., dba General Jackson",Davidson,2020/6/11,"March 21, 2020",104.0,#202000212
147,Akebono Brake Corporation,Montgomery,2020/6/9,"August 1, 2020",257.0,#202000208
148,Marriott Hotel Services dba Meadowview Conference and Resort Convention Center,Sullivan,2020/6/9,"March 17, 2020",164.0,#202000210
149,Marriott Hotel Services dba Marriott Nashville,Davidson,2020/6/9,"March 21, 2020",240.0,#202000209
150,The Hertz Corporation,Davidson,2020/6/8,"April 14, 2020",79.0,#202000207
151,Tennessee Valley Authority,Hamilton,2020/6/8,"June 3, 2020",108.0,#202000206
152,Jordan Aluminum Company,Shelby,2020/6/8,"May 7, 2020",42.0,#202000204
153,Advance Financial 2,Davidson,2020/6/8,"June 1, 2020",8.0,#202000205
154,LAZ Parking LLC,Davidson,2020/6/8,"March 18, 2020",196.0,#202000203
155,National Guard Products,Shelby,2020/6/5,"May 20, 2020",78.0,#202000202
156,Loews Vanderbilt Hotel,Davidson,2020/6/3,"May 27, 2020",149.0,#202000200
157,Results Physiotherapy 2,Williamson,2020/6/3,"May 31, 2020",3.0,#202000199
158,Continental Inns of American,Davidson,2020/6/2,"May 29, 2020",16.0,#202000198
159,Sheraton Music City Hotel,Davidson,2020/6/2,"May 22, 2020",121.0,#202000197
160,Hutton Hotel #2,Davidson,2020/6/1,"May 29, 2020",137.0,#202000195
161,Union Station Hotel,Davidson,2020/6/1,"July 27, 2020",108.0,#202000194
162,Nashville Symphony Association,Davidson,2020/6/1,"May 1, 2020",131.0,#202000192
163,Wegmann Automotive USA Inc.,Rutherford,2020/6/1,"May 10, 2020",55.0,#202000193
164,Barcelona Wine Bar,Davidson,2020/5/29,"March 18, 2020",70.0,#202000191
165,Worley Field Services,Sullivan,2020/5/28,"May 29, 2020",257.0,#202000190
166,Holiday Inn Knoxville Downtown 2,Knox,2020/5/27,"March 24, 2020",10.0,#202000189
167,Holiday Inn Express Nashville Downtown 2,Davidson,2020/5/27,"March 25, 2020",8.0,#202000188
168,Sheraton Grand Nashville Downtown,Davidson,2020/5/27,"May 7, 2020",140.0,#202000187
169,Mrs. Grissom's Salads Inc.,Davidson,2020/5/22,"June 21, 2020",98.0,#202000186
170,Johns Manville,McMinn,2020/5/22,"May 21, 2020",25.0,#202000185
171,21c Museum Hotels Nashville,Davidson,2020/5/22,"May 22, 2020",103.0,#202000184
172,Goodman Manufacturing Company L.P.,Lincoln,2020/5/21,"July 19, 2020",51.0,#202000183
173,Ryder,Madison,2020/5/20,"July 17, 2020",50.0,#202000182
174,Atrium Hospitality dba Embassy Suites Murfreesboro,Rutherford,2020/5/20,"March 12, 2020",119.0,#202000181
175,Atrium Hospitality dba Embassy Suites Franklin,Williamson,2020/5/20,"March 12, 2020",111.0,#202000180
176,Allison Transmission dba Walker Die Casting,Marshall,2020/5/20,"May 18, 2020",49.0,#202000179
177,Crossroads Sports Bar LLC dba Donks,Davidson,2020/5/19,"April 5, 2020",16.0,#202000178
178,TECT Aerospace Nashville,Davidson,2020/5/14,"May 8, 2020",85.0,#202000174
179,Park Vista - DoubleTree Hotel,Sevier,2020/5/14,"May 7, 2020",112.0,#202000173
180,"GCA Educational Services, Inc",Davidson,2020/5/14,"June 30, 2020",301.0,#202000175
181,Brunswick Corp . - Sea Ray Facility,Greene,2020/5/14,"July 13, 2020",97.0,#202000176
182,Margaritaville Hotel Nashville,Davidson,2020/5/12,"May 17, 2020",98.0,#202000172
183,Cox Automotive,Wilson,2020/5/12,"May 17, 2020",359.0,#202000171
184,"Town & Country Grocers of Fredericktown, Inc",Dyer,2020/5/12,"June 26, 2020",43.0,#202000170
185,"Dentsply Sirona dba JCM International, Inc",Sullivan,2020/5/12,"May 4, 2020",52.0,#202000169
186,Hampton Inn and Suites Nashville,Davidson,2020/5/12,"March 19, 2020",15.0,#202000168
187,"EnTrans International, LLC dba Athens Trailer Operations",McMinn,2020/5/12,"May 15, 2020",80.0,#202000167
188,KIPP Memphis Collegiate Schools,Shelby,2020/5/11,"June 30, 2020",65.0,#202000166
189,Lyft,Davidson,2020/5/7,"May 8, 2020",143.0,#202000165
190,Regal Cinemas,Knox,2020/5/7,"March 17, 2020",442.0,#202000164
191,HRI Properties dba Holston House Nashville,Davidson,2020/5/7,"March 20, 2020",48.0,#202000163
192,ArcelorMitall USA LLC,Williamson,2020/5/7,"April 26, 2020",1.0,#202000162
193,"Enterprise Holdings, LLC",Blount,2020/5/7,"April 30, 2020",6.0,#202000160
194,"Enterprise Holdings, LLC",Knox,2020/5/7,"March 23, 2020",122.0,#202000161
195,"Enterprise Holdings, LLC",Shelby,2020/5/7,"April 30, 2020",18.0,#202000159
196,"Enterprise Holdings, LLC",Shelby,2020/5/7,"April 30, 2020",2.0,#202000158
197,OS Restaurant,"Anderson, Bradley, Davidson, Hamilton, Knox, Montgomery, Putnam, Rutherford, Sevier, Shelby, Sullivan, Sumner, Washington, Williamson, and Wilson",2020/5/6,"March 15, 2020",2406.0,#202000157
198,Southern Specialty Finance Inc,Cocke and Shelby,2020/5/5,"May 1, 2020",3.0,#202000156
199,Enterprise Holdings,Shelby,2020/5/5,"April 14, 2020",32.0,#202000101
200,Enterprise Holdings,Shelby,2020/5/5,"March 23, 2020",84.0,#202000154
201,Wegmann Automotive USA Inc,Rutherford,2020/5/5,"April 27, 2020",142.0,#202000153
202,"HCFS Health Care Financial Services, LLC",Knox,2020/5/5,"April 14, 2020",32.0,#202000101
203,"Hendrickson, USA",Montgomery,2020/5/4,"April 27, 2020",122.0,#202000151
204,"NP 5th, LLC",Davidson,2020/5/4,"March 20, 2020",109.0,#202000150
205,"HCFS Health Care Financial Services, LLC",Knox,2020/5/4,"April 14, 2020",143.0,#202000149
206,Visionworks,Williamson,2020/5/4,"April 4, 2020",252.0,#202000148
207,Hard Rock Cafe - Nashville,Davidson,2020/5/1,"April 13, 2020",89.0,#202000147
208,Hard Rock Cafe - Pigeon Forge,Sevier,2020/5/1,"April 13, 2020",58.0,#202000146
209,Hard Rock Cafe - Memphis,Shelby,2020/5/1,"April 13, 2020",48.0,#202000145
210,Advance Financial,Davidson,2020/4/30,"March 21, 2020",170.0,#202000144
211,Houzz Inc.,Davidson,2020/4/30,"May 1, 2020",58.0,#202000143
212,Holiday Inn Nashville Vanderbilt,Davidson,2020/4/30,"April 3, 2020",70.0,#202000207
213,"Dura Automotive Systems, LLC",Lawrence,2020/4/30,"May 1, 2020",254.0,#202000142
214,"Maines Paper and Food Service, Inc.",Shelby,2020/4/29,April 18. 2020,131.0,#202000139
215,Fast Pace Health Urgent Care #2,Williamson,2020/4/29,"March 23, 2020",141.0,#202000138
216,Fast Pace Health Urgent Care #1,Williamson,2020/4/29,"March 23, 2020",141.0,#202000137
217,Texas Roadhouse,Sevier,2020/4/28,"April 2, 2020",84.0,#202000136
218,Aptim Services,Humphreys,2020/4/28,"April 20, 2020",101.0,#202000135
219,Virgin Hotels,Davidson,2020/4/28,"April 5, 2020",21.0,#202000135
220,Millers Ale House Franklin,Williamson,2020/4/28,"March 21, 2020",59.0,#202000134
221,Millers Ale House Murfreesboro,Rutherford,2020/4/28,"March 21, 2020",76.0,#202000132
222,Millers Ale House Chattanooga,Hamilton,2020/4/28,"March 21, 2020",77.0,#202000131
223,Poplar Healthcare Management LLC,Shelby,2020/4/28,"March 20, 2020",50.0,#202000130
224,"OMS Nashville, PLLC","Davidson, Sumner, Williamson, and Wilson",2020/4/27,"April 2, 2020",64.0,#202000128
225,Eventbrite,Davidson,2020/4/27,"April 8, 2020",161.0,#202000127
226,National Pen Company LLC,Bedford,2020/4/27,"April 1, 2020",133.0,#202000125
227,Airxcel Inc. dba Suburban Manufacturing Company,Rhea,2020/4/27,"April 2, 2020",300.0,#202000126
228,"KA Display Solutions, Inc.",Bedford,2020/4/27,"April 3, 2020",25.0,#202000124
229,iQor,Shelby,2020/4/27,"April 6, 2020",29.0,#202000123
230,Hankook Tire Manufacturing Tennessee,Montgomery,2020/4/24,"March 23, 2020",840.0,#202000122
231,"Dentsply Sirona dba JCM International, Inc.",Sullivan,2020/4/24,"April 6, 2020",107.0,#202000120
232,ZF Active Safety and Electronics US LLC,Wilson,2020/4/24,"April 17, 2020",113.0,#202000119
233,Aradani Studios,Davidson,2020/4/24,"April 1, 2020",7.0,#202000118
234,HCFS Health Care Financial Services,Knox,2020/4/24,"April 13, 2020",189.0,#202000117
235,"Yazaki North American, Inc.",Rutherford,2020/4/24,"April 13, 2020",48.0,#202000116
236,Dollywood,Sevier,2020/4/23,"April 20, 2020",630.0,#202000115
237,HCFS Health Care Financial Services,Blount,2020/4/23,"April 14, 2020",220.0,#202000114
238,OPG Holdings,Davidson,2020/4/23,"March 23, 2020",73.0,#202000113
239,Primeritus Financial Services,Davidson,2020/4/23,"April 11, 2020",5.0,#202000112
240,Sunliner Diner,Sevier,2020/4/23,"March 20, 2020",207.0,#202000111
241,Olhausen Billiard Manufacturing Inc.,Sumner,2020/4/23,"March 20, 2020",83.0,#202000110
242,Hutton Hotel,Davidson,2020/4/23,"March 13, 2020",124.0,#202000109
243,The Ruby Slipper Restaurant Group,"Hamilton, Knox, Sevier, Williamson",2020/4/23,"March 20, 2020",103.0,#202000108
244,Allison Transmission dba Walker Die Casting,Marshall,2020/4/22,"March 30, 2020",524.0,#202000107
245,Domtar Paper Company,Sullivan,2020/4/22,"April 10, 2020",304.0,#202000106
246,The Wise Company Inc.,Hardin,2020/4/22,"April 6, 2020",75.0,#202000105
247,Uncle Julio's,Williamson,2020/4/21,"March 19, 2020",130.0,#202000104
248,Sports Clips,Blount and Knox,2020/4/21,"March 28, 2020",57.0,#202000103
249,Downtown Sporting Club,Davidson,2020/4/20,"March 19, 2020",121.0,#202000102
250,Pinewood Social,Davidson,2020/4/20,"March 19, 2020",143.0,#202000101
251,Merchants Restaurant,Davidson,2020/4/20,"March 19, 2020",121.0,#202000100
252,"Cinemark, USA Inc. - Tinseltown",Anderson,2020/4/17,"March 26, 2020",35.0,#202000099
253,Under Armour Nashville Distribution House,Wilson,2020/4/17,"April 12, 2020",323.0,#202000098
254,"L&W, Inc., dba Southtec, LLC",Wilson,2020/4/17,124,124.0,#202000097
255,Hooters of America,"Montgomery, Davidson, Rutherford, Sumner, Blount, Hamilton, Washington, Knox, and Shelby",2020/4/17,"March 16, 2020",629.0,#202000096
256,A Services Group,Claiborne and Greene,2020/4/17,"April 6, 2020",147.0,#202000062
257,"EnTrans International, LLC dba Athens Trailer Operations",McMinn,2020/4/16,"April 12, 2020",299.0,#202000094
258,Unique Restorations LLC,Cheatham,2020/4/16,"March 31, 2020",7.0,#202000093
259,Bates Rubber,Perry,2020/4/16,"March 31, 2020",78.0,#202000092
260,Benihana Memphis Ridgelake,Shelby,2020/4/15,"March 20,2020",43.0,#202000091
261,"McFadden Communications, LLC dba Toof American Digital Printing",Shelby,2020/4/15,"April 2, 2020",36.0,#202000090
262,Manchester Learning Center,Coffee,2020/4/15,"March 13, 2020",12.0,#202000089
263,AKI Inc. dba Arcade Beauty,Hamilton,2020/4/15,"April 1, 2020",115.0,#202000088
264,Emily Salem dba Signature Salon,Sumner,2020/4/15,"March 21, 2020",5.0,#202000062
265,Barteca dba Bartaco,Davidson,2020/4/15,"March 21, 2020",108.0,#202000086
266,Assembly Components Group,Henderson,2020/4/15,"March 23, 2020",265.0,#202000085
267,"CKE Restaurants Holdings, Inc.",Williamson,2020/4/15,"April 6, 2020",95.0,#202000084
268,Schulte Companies,Davidson and Shelby,2020/4/14,"March 16, 2020 - June 30, 2020",193.0,#202000083
269,Collegiate Hotel Group,Davidson and Knox,2020/4/14,"March 16, 2020",80.0,#202000082
270,Union Station Hotel Nashville,Davidson,2020/4/14,"March 13, 2020",103.0,#202000081
271,Diplomat Motel Oak Ridge,Anderson,2020/4/14,"March 18, 2020",4.0,#202000080
272,"RLCL Acquisition, LLC d/b/a Gray Line of Tennessee",Davidson,2020/4/13,"March 31, 2020",132.0,#202000079
273,Hampton Inn Oak Ridge,Anderson,2020/4/13,"March 21, 2020",7.0,#202000077
274,Human Development,Davidson,2020/4/13,"April 1, 2020",51.0,#202000076
275,Primeritus Financial Services,Davidson,2020/4/9,"April 2, 2020",148.0,#202000075
276,Famous Five Dining Inc. dba Famous Dave's,"Davidson, Knox, Rutherford",2020/4/9,"March 20, 2020",90.0,#202000074
277,"Team Member Services, LLC",Shelby,2020/4/9,"March 27, 2020",19.0,#202000073
278,Results Physiotherapy,Williamson,2020/4/9,"March 27, 2020",51.0,#202000072
279,Nationwide Studios Inc.,Sumner,2020/4/9,"March 25, 2020",209.0,#202000071
280,Spire Hospitality,Davidson,2020/4/9,"March 20, 2020",70.0,#202000070
281,Ahren Rentals,Rutherford,2020/4/8,"March 30, 2020",2.0,#202000069
282,Powell Endodontics,Knox,2020/4/8,"March 31, 2020",2.0,#202000068
283,United Record Pressing,Davidson,2020/4/7,"March 20, 2020",120.0,#202000067
284,ZF Active Safety and Electronics US LLC,Hawkins,2020/4/7,"March 30, 2020",242.0,#202000066
285,TC Restaurant Group,Davidson,2020/4/7,"March 15, 2020",411.0,#202000065
286,Alsco Linen & Uniform Rental Services Nashville,Davidson,2020/4/7,"March 24, 2020",34.0,#202000064
287,Alsco Linen & Uniform Rental Service - Memphis,Shelby,2020/4/6,"March 20, 2020",35.0,#202000063
288,Alsco Linen & Uniform Services,Knox,2020/4/6,"March 20, 2020",31.0,#202000062
289,ZF Active Safety and Electronics US LLC,Wilson,2020/4/3,"March 30, 2020",34.0,#202000060
290,Holiday Inn Express Nashville Downtown,Davidson,2020/4/3,"March 25, 2020",66.0,#202000059
291,ZF Active Safety and Electronics US LLC,Wilson,2020/4/2,"March 30, 2020",257.0,#202000058
