,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
60,LinkedIn Corporation,Santa Clara County,06/21/2023,06/09/2023,13,Layoff Permanent
61,LinkedIn Corporation,San Francisco County,06/21/2023,06/09/2023,72,Layoff Permanent
62,Wells Fargo,San Francisco County,07/11/2023,07/11/2023,32,Layoff Permanent
63,Wells Fargo,San Francisco County,07/11/2023,07/11/2023,10,Layoff Permanent
64,Wells Fargo,San Francisco County,07/11/2023,07/11/2023,1,Layoff Permanent
65,Wells Fargo,San Francisco County,07/11/2023,07/11/2023,8,Layoff Permanent
66,AMP Printing,Alameda County,06/07/2023,08/06/2023,54,Closure Permanent
67,AMP Printing - Mailing Address,Alameda County,06/07/2023,08/06/2023,35,Closure Permanent
68,Amentum at NAS Lemoore,Kings County,05/19/2023,07/30/2023,32,Layoff Permanent
69,Cotton On La Mirada Distribution Center,Los Angeles County,04/28/2023,06/30/2023,88,Closure Permanent
70,Amentum at NAS North Island,San Diego County,05/22/2023,07/30/2023,73,Layoff Permanent
71,Jabil Inc.,Alameda County,06/22/2023,08/22/2023,85,Layoff Permanent
72,Jabil Inc.,Alameda County,06/22/2023,08/22/2023,28,Layoff Permanent
73,Individualized ABA Services for Families dba IABAS For Families,Alameda County,06/21/2023,08/16/2023,65,Closure Permanent
74,"Amyris, Inc.",Alameda County,06/26/2023,08/25/2023,65,Layoff Permanent
75,Company 3 Method Inc.,Los Angeles County,06/21/2023,08/14/2023,79,Layoff Permanent
76,Lazy Dog Restaurant and Bar,Orange County,06/23/2023,08/23/2023,109,Closure Permanent
77,"TTM Technologies, Inc., subsidiary of TTM Technologies North America, LLC",Orange County,06/28/2023,09/01/2023,102,Closure Permanent
78,"Headspace, Inc.",Los Angeles County,06/29/2023,07/03/2023,158,Layoff Permanent
79,"Scenario-Cockram USA, Inc.",Los Angeles County,06/28/2023,08/31/2023,43,Layoff Permanent
80,"Scenario-Cockram USA, Inc.",Los Angeles County,06/28/2023,10/27/2023,10,Layoff Permanent
81,"Proterra Operating Company, Inc.",San Mateo County,06/27/2023,07/28/2023,48,Layoff Permanent
82,"RSN Co., LLC dba Bally Sports San Diego",San Diego County,06/28/2023,07/29/2023,5,Closure Permanent
83,"Ginger.io,. Inc.",San Francisco County,06/29/2023,07/03/2023,19,Layoff Permanent
84,Active Wellness LLC,Alameda County,06/29/2023,08/31/2023,80,Layoff Permanent
85,Comprehensive Autism Center,San Diego County,06/29/2023,09/30/2023,9,Closure Permanent
86,Thermo Fisher Scientific,Alameda County,06/22/2023,08/22/2023,38,Layoff Permanent
87,Thermo Fisher Scientific,San Mateo County,06/22/2023,08/22/2023,64,Layoff Permanent
88,"Gillette Citrus, Inc.",Tulare County,06/23/2023,09/01/2023,93,Layoff Permanent
89,Thermo Fisher Scientific,San Diego County,06/29/2023,08/27/2023,66,Layoff Permanent
90,Thermo Fisher Scientific,San Diego County,06/29/2023,08/27/2023,5,Layoff Permanent
91,Thermo Fisher Scientific,San Diego County,06/29/2023,08/27/2023,27,Layoff Permanent
92,Thermo Fisher Scientific,San Diego County,06/22/2023,08/22/2023,6,Layoff Permanent
93,Thermo Fisher Scientific,San Diego County,06/22/2023,08/22/2023,2,Layoff Permanent
94,"Surgalign Spine Technologies, Inc.",San Diego County,06/22/2023,08/21/2023,99,Closure Permanent
95,"Circle C Ranch, Inc.",San Joaquin County,06/15/2023,06/30/2023,14,Layoff Permanent
96,"Tattooed Chef, Inc., wholly owned subsidiary Ittella International, LLC",Los Angeles County,06/29/2023,08/28/2023,20,Closure Permanent
97,G&C Staffing (The Parent Company - TPCO),Santa Clara County,06/30/2023,06/30/2023,54,Layoff Permanent
98,Tattooed Chef - 6304,Los Angeles County,06/29/2023,08/28/2023,1,Closure Permanent
99,Tattooed Chef - 6305,Los Angeles County,06/29/2023,08/28/2023,97,Closure Permanent
100,Tattooed Chef - 6309,Los Angeles County,06/29/2023,08/28/2023,1,Closure Permanent
101,Tattooed Chef - 6325,Los Angeles County,06/29/2023,08/28/2023,46,Closure Permanent
102,Tattooed Chef - 6403,Los Angeles County,06/29/2023,08/28/2023,36,Closure Permanent
103,Tattooed Chef - 6409,Los Angeles County,06/29/2023,08/28/2023,17,Closure Permanent
104,Tattooed Chef - 6411,Los Angeles County,06/29/2023,08/28/2023,16,Closure Permanent
105,"Niantic, Inc.",Los Angeles County,06/28/2023,07/01/2023,107,Closure Permanent
106,"Niantic, Inc.",San Francisco County,06/28/2023,07/01/2023,57,Layoff Permanent
107,Hyatt Centric,Sacramento County,07/03/2023,09/04/2023,111,Layoff Temporary
108,"GXO Logistics Supply Chain, Inc.",San Bernardino County,07/03/2023,09/03/2023,61,Closure Permanent
109,Valiant Integrated Services,Solano County,06/27/2023,08/31/2023,137,Layoff Permanent
110,Crunchbase,San Francisco County,07/06/2023,09/04/2023,63,Layoff Permanent
111,"Perfect Day, Inc.",Alameda County,07/06/2023,09/04/2023,75,Layoff Permanent
112,"Hyperloop Technologies, Inc. dba Hyperloop One",Los Angeles County,07/06/2023,06/30/2023,3,Layoff Permanent
113,Accesso,Los Angeles County,07/09/2023,08/25/2023,111,Layoff Permanent
114,"NRI USA, LLC",San Bernardino County,06/29/2023,09/30/2023,164,Closure Permanent
115,Bank of the West,Contra Costa County,07/10/2023,09/15/2023,203,Layoff Permanent
116,Macy's Eagle Rock Plaza Store,Los Angeles County,07/12/2023,09/18/2023,74,Closure Permanent
117,Microsoft,Santa Clara County,07/10/2023,09/08/2023,40,Layoff Permanent
118,Bank of the West,San Francisco County,07/10/2023,09/15/2023,45,Layoff Permanent
119,Intel Corporation,Sacramento County,06/29/2023,08/31/2023,89,Layoff Permanent
120,Intel Corporation,Santa Clara County,06/29/2023,08/31/2023,51,Layoff Permanent
121,"Illumina, Inc.",Alameda County,07/13/2023,08/14/2023,3,Layoff Permanent
122,Yellow Corporation,Shasta County,08/01/2023,07/30/2023,48,Closure Permanent
123,Yellow Corporation,Glenn County,08/01/2023,07/30/2023,2,Closure Permanent
124,Yellow Corporation,San Mateo County,08/01/2023,07/30/2023,30,Closure Permanent
125,"Illumina, Inc.",San Mateo County,07/13/2023,08/14/2023,14,Layoff Permanent
126,"Alto Operations California, LLC",San Mateo County,07/14/2023,09/15/2023,34,Closure Permanent
127,Yellow Corporation,Santa Clara County,08/01/2023,07/30/2023,39,Closure Permanent
128,Yellow Corporation-Batavia St.,Orange County,08/01/2023,07/30/2023,83,Closure Permanent
129,Yellow Corporation-Eckhoff,Orange County,08/01/2023,07/30/2023,94,Closure Permanent
130,Yellow Corporation,Sacramento County,08/01/2023,07/30/2023,60,Closure Permanent
131,Yellow Corporation,San Bernardino County,08/01/2023,07/30/2023,15,Closure Permanent
132,Yellow Corporation,San Bernardino County,08/01/2023,07/30/2023,709,Closure Permanent
133,Yellow Corporation,San Bernardino County,08/01/2023,07/30/2023,240,Closure Permanent
134,"Illumina, Inc. Worldwide Headquarters",San Diego County,07/13/2023,08/14/2023,75,Layoff Permanent
135,"Illumina, Inc.",San Diego County,07/13/2023,08/14/2023,76,Layoff Permanent
136,Yellow Corporation,Santa Barbara County,08/01/2023,07/30/2023,11,Closure Permanent
137,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,145,Closure Permanent
138,Intel Corporation,Santa Clara County,06/29/2023,08/31/2023,67,Layoff Permanent
139,Intel Corporation,Santa Clara County,06/29/2023,08/31/2023,5,Layoff Permanent
140,Intel Corporation,Santa Clara County,06/29/2023,08/31/2023,98,Layoff Permanent
141,Intel Corporation,Santa Clara County,06/29/2023,08/31/2023,5,Layoff Permanent
142,Yellow Corporation,San Diego County,08/01/2023,07/30/2023,58,Closure Permanent
143,Yellow Corporation,San Diego County,08/01/2023,07/30/2023,43,Closure Permanent
144,Yellow Corporation,San Diego County,08/01/2023,07/30/2023,2,Closure Permanent
145,Yellow Corporation,San Joaquin County,08/01/2023,07/30/2023,257,Closure Permanent
146,Yellow Corporation,Santa Clara County,08/01/2023,07/30/2023,1,Closure Permanent
147,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,120,Closure Permanent
148,Yellow Corporation,Solano County,08/01/2023,07/30/2023,1,Closure Permanent
149,Yellow Corporation,Alameda County,08/01/2023,07/30/2023,99,Closure Permanent
150,Yellow Corporation,Fresno County,08/01/2023,07/30/2023,66,Closure Permanent
151,Yellow Corporation,Humboldt County,08/01/2023,07/30/2023,4,Closure Permanent
152,Yellow Corporation,Imperial County,08/01/2023,07/30/2023,15,Closure Permanent
153,Yellow Corporation,Kern County,08/01/2023,07/30/2023,27,Closure Permanent
154,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,102,Closure Permanent
155,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,2,Closure Permanent
156,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,169,Closure Permanent
157,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,70,Closure Permanent
158,Yellow Corporation,Los Angeles County,08/01/2023,07/30/2023,22,Closure Permanent
159,Yellow Corporation,Monterey County,08/01/2023,07/30/2023,4,Closure Permanent
160,Yellow Corporation,Sonoma County,08/01/2023,07/30/2023,29,Closure Permanent
161,Yellow Corporation,Tulare County,08/01/2023,07/30/2023,23,Closure Permanent
162,Yellow Corporation,Ventura County,08/01/2023,07/30/2023,23,Closure Permanent
163,Yellow Corporation,Yolo County,08/01/2023,07/30/2023,58,Closure Permanent
164,"Cardinal Glass Industries, Inc.",Los Angeles County,07/10/2023,09/10/2023,29,Closure Permanent
165,Peloton Interactive Inc.,Riverside County,07/12/2023,09/15/2023,21,Closure Permanent
166,"Tempo Automation Holdings, Inc.",San Francisco County,07/14/2023,07/14/2023,58,Closure Permanent
167,"SPT Microtechnologies USA, Inc.",Santa Clara County,08/01/2023,11/20/2023,67,Closure Temporary
168,Corteva Agriscience LLC,Contra Costa County,07/17/2023,10/27/2023,31,Layoff Permanent
169,"Fish Market Restaurants, Inc.",Santa Clara County,07/14/2023,09/14/2023,49,Closure Permanent
170,"Fish Market Restaurants, Inc.",Santa Clara County,07/14/2023,09/14/2023,85,Closure Permanent
171,"Fish Market Restaurants, Inc.",Santa Clara County,07/14/2023,09/14/2023,6,Closure Permanent
172,"FibroGen, Inc.",San Francisco County,07/17/2023,09/15/2023,104,Layoff Permanent
173,Vionic Consumer Care Operations,Marin County,07/19/2023,09/17/2023,6,Closure Permanent
174,Accenture,Alameda County,07/21/2023,11/10/2023,100,Closure Permanent
175,Accenture,Alameda County,07/21/2023,11/10/2023,140,Closure Permanent
176,"Intense Lighting, LLC",Orange County,07/24/2023,09/29/2023,90,Closure Permanent
177,Blowfish,Los Angeles County,07/18/2023,09/15/2023,20,Closure Permanent
178,"Charles River Laboratories, Inc.",San Mateo County,07/19/2023,09/19/2023,55,Closure Permanent
179,"Gemological Institute of America, Inc. (GIA)",San Diego County,07/24/2023,09/22/2023,151,Layoff Permanent
180,Petco Animal Supplies Stores,San Diego County,07/24/2023,07/28/2023,47,Layoff Permanent
181,Petco Animal Supplies Stores,San Diego County,07/24/2023,10/27/2023,9,Layoff Permanent
182,"Codexis, Inc.",San Mateo County,07/20/2023,09/30/2023,28,Layoff Permanent
183,"Codexis, Inc.",San Mateo County,07/20/2023,09/30/2023,31,Layoff Permanent
184,CSL Vifor,San Mateo County,08/21/2023,10/25/2023,85,Layoff Permanent
185,Headway Technologies Inc.,Santa Clara County,07/20/2023,09/22/2023,2,Layoff Permanent
186,Headway Technologies Inc.,Santa Clara County,07/20/2023,09/22/2023,59,Layoff Permanent
187,Headway Technologies Inc.,Santa Clara County,07/20/2023,09/22/2023,2,Layoff Permanent
188,Headway Technologies Inc.,Santa Clara County,07/20/2023,09/22/2023,24,Layoff Permanent
189,Headway Technologies Inc.,Santa Clara County,07/20/2023,09/22/2023,3,Layoff Permanent
190,"Langmuir Systems, LLC",San Diego County,07/26/2023,09/30/2023,16,Closure Permanent
191,Pizza Antica Mill Valley,Marin County,07/26/2023,09/22/2023,43,Closure Permanent
192,Alstom Mass Transit Corp.,Contra Costa County,07/27/2023,09/28/2023,41,Closure Permanent
193,"Point Digital Finance, Inc.",Santa Clara County,07/27/2023,07/28/2023,61,Layoff Permanent
194,SP+ Corporation at Hollywood Burbank Airport,Los Angeles County,07/27/2023,09/30/2023,84,Closure Permanent
195,Tri-City Medical Center,San Diego County,07/31/2023,09/30/2023,96,Layoff Permanent
196,"Herbalife International of America, Inc.",Los Angeles County,07/28/2023,09/29/2023,12,Layoff Permanent
197,"Alchemee, LLC",Los Angeles County,07/27/2023,09/29/2023,12,Closure Permanent
198,"Herbalife International of America, Inc.",Los Angeles County,07/28/2023,09/29/2023,26,Layoff Permanent
199,"Herbalife International of America, Inc.",Los Angeles County,07/28/2023,09/29/2023,59,Layoff Permanent
200,"Visalia Citrus Packing Group, Inc.",Fresno County,07/27/2023,09/30/2023,34,Closure Permanent
201,"Dabico Airport Solutions, Inc.",Orange County,06/30/2023,09/01/2023,25,Closure Permanent
202,"Visalia Citrus Packing Group, Inc.",Tulare County,07/27/2023,09/30/2023,31,Closure Permanent
203,"Mercy Medical Transportation, Inc.",San Diego County,08/01/2023,09/30/2023,58,Layoff Permanent
204,Planet Labs PBC,San Francisco County,08/01/2023,10/02/2023,85,Layoff Permanent
205,Johns Manville,Glenn County,07/21/2023,09/25/2023,54,Closure Temporary
206,ContextLogic Inc.,San Francisco County,08/01/2023,09/30/2023,152,Layoff Permanent
207,Sunrun Inc.,Los Angeles County,08/02/2023,10/02/2023,53,Layoff Permanent
208,"Cisco Systems, Inc.",Santa Clara County,07/17/2023,10/16/2023,123,Layoff Permanent
209,"Cisco Systems, Inc.",Santa Clara County,07/17/2023,10/16/2023,227,Layoff Permanent
210,Company 3/Method Inc,Los Angeles County,08/04/2023,10/01/2023,19,Layoff Temporary
211,"Beyond Hello CA, LLC",San Luis Obispo County,08/04/2023,09/08/2023,2,Closure Permanent
212,"ATI Restoration, LLC",Sonoma County,08/03/2023,10/06/2023,18,Closure Permanent
213,"Rodan & Fields, LLC",Contra Costa County,08/15/2023,10/14/2023,76,Layoff Permanent
214,"Illumina, Inc.",San Mateo County,08/07/2023,09/06/2023,1,Layoff Permanent
215,Sunrun Inc.,Sacramento County,08/02/2023,10/02/2023,50,Layoff Permanent
216,"L3 Technologies, Inc., a wholly owned subsidiary of L3Harris Technologies",San Diego County,08/09/2023,11/17/2023,134,Closure Permanent
217,dnata US Inflight Caterin,Los Angeles County,08/11/2023,10/10/2023,73,Layoff Permanent
218,dnata US Inflight Catering,Los Angeles County,08/11/2023,11/10/2023,1,Layoff Permanent
219,dnata US Inflight Caterin,Los Angeles County,08/11/2023,11/17/2023,2,Layoff Permanent
220,"J.B. Hunt Transport, Inc.",Alameda County,08/04/2023,10/03/2023,127,Closure Permanent
221,Ericsson Inc.,Orange County,07/28/2023,09/29/2023,76,Layoff Permanent
222,Ericsson Inc.,Sacramento County,07/28/2023,09/29/2023,94,Layoff Permanent
223,"Amyris, Inc.",Alameda County,08/07/2023,08/08/2023,62,Layoff Permanent
224,"URS Midwest, Inc dba United Road Services",Kern County,08/09/2023,10/13/2023,4,Closure Permanent
225,Joy Signal Technology,Butte County,09/11/2023,08/11/2023,127,Closure Permanent
226,"ImmunityBio, Inc.",Los Angeles County,08/18/2023,10/17/2023,48,Layoff Permanent
227,Morrison Healthcare at Adventist Health Bakersfield,Kern County,08/25/2023,10/28/2023,74,Layoff Permanent
228,U.S. Bank,Alameda County,07/05/2023,06/30/2023,30,Layoff Permanent
229,U.S. Bank,Alameda County,07/05/2023,07/28/2023,4,Layoff Permanent
230,U.S. Bank,Alameda County,07/05/2023,09/08/2023,23,Layoff Permanent
231,U.S. Bank,San Diego County,07/05/2023,09/08/2023,68,Layoff Permanent
232,U. S. Bank,San Diego County,07/05/2023,09/08/2023,1,Layoff Permanent
233,"Certified Freight Logistics, Inc.",San Joaquin County,08/22/2023,10/21/2023,4,Closure Permanent
234,"Wolfspeed, Inc.",Santa Clara County,08/22/2023,10/20/2023,50,Layoff Permanent
235,"Certified Freight Logistics, Inc.",Santa Barbara County,08/22/2023,10/21/2023,150,Closure Permanent
236,"Universal Protection Service, LP dba Allied Universal Security Services",San Mateo County,07/27/2023,09/01/2023,9,Layoff Permanent
237,"Universal Protection Service, LP dba Allied Universal Security Services",San Mateo County,07/27/2023,09/01/2023,13,Layoff Permanent
238,"Universal Protection Service, LP dba Allied Universal Security Services",San Mateo County,07/27/2023,09/01/2023,3,Layoff Permanent
239,"Universal Protection Service, LP dba Allied Universal Security Services",San Mateo County,07/27/2023,09/01/2023,12,Layoff Permanent
240,"MV Transportation, Inc.",Los Angeles County,08/03/2023,09/30/2023,20,Layoff Permanent
241,REACH Medical Holdings,Contra Costa County,07/29/2023,09/30/2023,10,Closure Permanent
242,"TTM Technologies, Inc., subsidiary of TTM Technologies North America, LLC",Santa Clara County,08/11/2023,10/16/2023,240,Closure Permanent
243,Clari Inc.,Santa Clara County,08/14/2023,10/15/2023,139,Layoff Permanent
244,REACH Medical Holdings,Riverside County,07/29/2023,09/30/2023,13,Closure Permanent
245,U.S. Bank,San Diego County,08/22/2023,09/08/2023,34,Layoff Permanent
246,U.S. Bank,San Diego County,08/22/2023,09/29/2023,11,Layoff Permanent
247,U.S. Bank,San Diego County,08/22/2023,09/22/2023,1,Layoff Permanent
248,U.S. Bank,San Diego County,08/22/2023,10/06/2023,8,Layoff Permanent
249,"BlackLine Systems, Inc.",Alameda County,08/23/2023,10/22/2023,21,Layoff Permanent
250,The Vons Companies Inc.,Los Angeles County,08/15/2023,09/16/2023,53,Closure Permanent
251,"BlackLine Systems, Inc.",Los Angeles County,08/23/2023,10/22/2023,95,Layoff Permanent
252,"Robinhood Markets, Inc.",San Mateo County,08/17/2023,10/16/2023,2,Layoff Permanent
253,"Robinhood Markets, Inc.",San Mateo County,09/20/2023,11/20/2023,1,Layoff Permanent
254,Burke Williams,Orange County,08/18/2023,08/12/2023,110,Closure Temporary
255,"KeHE Distributors, Inc.",San Bernardino County,08/23/2023,11/03/2023,80,Layoff Permanent
256,Natural Alternatives International,San Diego County,08/16/2023,10/01/2023,44,Closure Temporary
257,Natural Alternatives International,San Diego County,08/16/2023,10/01/2023,22,Closure Temporary
258,Farmers Insurance Exchange,Los Angeles County,08/28/2023,10/30/2023,124,Layoff Permanent
259,Farmers Insurance Exchange - 6303,Los Angeles County,08/28/2023,10/30/2023,2,Layoff Permanent
260,"Farmers Group, Inc. - 6301",Los Angeles County,08/28/2023,10/30/2023,64,Layoff Permanent
261,"Farmers Group, Inc.",Los Angeles County,08/28/2023,10/30/2023,135,Layoff Permanent
262,"Farmers Group, Inc. - 6301",Los Angeles County,08/28/2023,11/27/2023,3,Layoff Permanent
263,"Farmers Group, Inc. - 6301",Los Angeles County,08/28/2023,11/28/2023,1,Layoff Permanent
264,"Farmers Group, Inc.",Los Angeles County,08/28/2023,12/26/2023,1,Layoff Permanent
265,"Farmers Group, Inc.",Los Angeles County,08/28/2023,11/17/2023,1,Layoff Permanent
266,DazPak Flexible Packaging,Orange County,08/14/2023,10/15/2023,19,Closure Permanent
267,Legacy Supply Chain Services II,Riverside County,08/28/2023,10/29/2023,39,Closure Permanent
268,Legacy Supply Chain Services II,Riverside County,08/28/2023,10/29/2023,14,Closure Permanent
269,Intel Corporation,Sacramento County,08/25/2023,10/15/2023,58,Layoff Permanent
270,"Juul Labs, Inc.",San Francisco County,08/24/2023,09/08/2023,5,Layoff Permanent
271,"Juul Labs, Inc. - 270",San Francisco County,08/24/2023,09/08/2023,26,Layoff Permanent
272,JUUL Labs,San Francisco County,08/24/2023,10/15/2023,1,Layoff Permanent
273,JUUL Labs - 270,San Francisco County,08/24/2023,09/30/2023,3,Layoff Permanent
274,Juul Labs - 270,San Francisco County,08/24/2023,11/30/2023,5,Layoff Permanent
275,JUUl Labs - 270,San Francisco County,08/24/2023,12/31/2023,3,Layoff Permanent
276,JUUl Labs - 270,San Francisco County,08/24/2023,12/15/2023,1,Layoff Permanent
277,JUUL Labs - 270,San Francisco County,08/24/2023,10/31/2023,1,Layoff Permanent
278,JUUL Labs - 271,San Francisco County,08/24/2023,09/08/2023,12,Layoff Permanent
279,JUUL Labs - 271,San Francisco County,08/24/2023,10/15/2023,2,Layoff Permanent
280,JUUL Labs - 271,San Francisco County,08/24/2023,12/01/2023,1,Layoff Permanent
281,Del Friscos Grille,Los Angeles County,08/30/2023,10/31/2023,53,Closure Permanent
282,Kraft Heinz Foods Company,Orange County,08/31/2023,10/31/2023,60,Closure Permanent
283,"Splash Cafe, Inc. dba Splash Cafe Artisan Bakery",San Luis Obispo County,08/29/2023,10/31/2023,29,Closure Permanent
284,"PLI Holdings, Inc.",Los Angeles County,09/01/2023,11/14/2023,217,Closure Permanent
285,Peloton Interactive Inc.,Los Angeles County,08/31/2023,11/01/2023,3,Closure Permanent
286,"FUJIFILM Irvine Scientific, Inc.",Orange County,08/02/2023,10/06/2023,6,Layoff Permanent
287,"Kings Garden, Inc.",Riverside County,08/09/2023,10/06/2023,59,Layoff Permanent
288,"Kings Garden, Inc.",Riverside County,08/09/2023,10/06/2023,4,Layoff Permanent
289,"Kings Garden, Inc.",Riverside County,08/09/2023,10/06/2023,3,Layoff Permanent
290,"Kings Garden, Inc.",Riverside County,08/09/2023,10/06/2023,4,Layoff Permanent
291,"FUJIFILM Irvine Scientific, Inc.",Orange County,08/02/2023,10/06/2023,18,Layoff Permanent
292,"FUJIFILM Irvine Scientific, Inc.",Orange County,08/02/2023,10/06/2023,1,Layoff Permanent
293,"FUJIFILM Irvine Scientific, Inc.",Orange County,08/02/2023,10/06/2023,7,Layoff Permanent
294,"FUJIFILM Irvine Scientific, Inc.",Orange County,08/02/2023,10/06/2023,2,Layoff Permanent
295,"FUJIFILM Irvine Scientific, Inc.",Orange County,08/02/2023,10/06/2023,11,Layoff Permanent
