,company_name,location,notice_date,layoff_date,employees_affected,Industry
20,Yellow Corporation dba YRC Freight,Statewide,07/30/2023,07/30/2023,All,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
21,"Franciscan Alliance, Inc","Michigan City, Dyer, Crown Point, Munster, Lafayette, Beech Grove, Indianapolis",07/10/2023,09/30/2023,61,General Medical and Surgical Hospitals
22,Cenveo Worldwide,Indianapolis,07/10/2023,09/08/2023,127,All Other Converted Paper Product Manufacturing
23,"EverQuote, Inc",Evansville,06/30/2023,08/28/2023,98,Insurance Agencies and Brokerages
24,"FedEx Supply Chain, Inc",Indianapolis,06/29/2023,08/30/2023,170,General Warehousing and Storage
25,Pitney Bowes Inc.,Greenwood,6/27/2023,09/04/2023,240,"Process, Physical Distribution, and Logistics Consulting Services"
26,"LSC Communications, Print Solutions",Warsaw,06/06/2023,09/10/2023,525,Commercial Printing (except Screen and Books)
27,"Proterial Cable America, Inc",New Albany,06/01/2023,11/17/2023,109,Other Motor Vehicle Parts Manufacturing
28,"Graphic Packaging International, LLC",Auburn,05/24/2023,08/04/2023,70,Packaging Machinery Manufacturing
29,Enjoy Life Foods,Jeffersonville,05/02/2023,07/03/2023,105,Other Snack Food Manufacturing
30,Parkhurst Dining at Taylor University,Upland,04/17/2023,05/21/2023,178,Food Service Contractors
31,HighPoint Digital,Indianapolis,03/24/2023,05/31/2023,65,Direct Health and Medical Insurance Carriers
32,Walmart Supercenter,South Bend,03/23/2023,04/21/2023,261,Supermarkets and Other Grocery (Except Convenience) Stores
33,RR Donnelley,Plainfield,03/15/2023,05/14/2023,79,Printing and Equipment Manufacturing
34,Kuehne & Nagel,Whitestown,03/10/2023,05/10/2023,294,Freight Transportation Arrangement
35,Catherine Kasper Life Center,Plymouth,02/01/2023,03/31/2023,60,Nursing Care Facilities
36,"Stealth Enterprises, LLC",Bristol,01/27/2023,12/31/2022,53,All Other Miscellaneous Manufacturing
37,"Children’s Factory, LLC",Angola,01/09/2023,03/17/2023,26,Wood Office Furniture Manufacturing
38,Railcrew Xpress,"Lafayette, Avon, Terre Haute, Evansville, and Vincennes",01/05/2023,02/20/2023,70,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
39,Gannett Publishing Services,Indianapolis,01/04/2023,03/13/2023,56,Newspaper Publishers
40,Lincoln Industries,Boonville,01/04/2023,01/02/2022,60,All Other Plastics Product Manufacturing
41,US Steel Corporation Gary Works,Gary,12/27/2022,02/26/2023,244,Site Preparations Contractors
42,Morrison Healthcare,Warsaw and Fort Wayne,12/22/2022,01/25/2023,126,Food Service Contractors
43,GXO Logistics,Fort Wayne,12/20/2022,02/28/2023,85,"Process, Physical Distribution, and Logistics Consulting Services"
44,"FedEx Supply Chain, Inc.",Indianapolis,12/02/2022,06/30/2023,179,General Warehousing and Storage
45,"Wallace Construction, Inc",Martinsville,11/16/2022,11/18/2022,12,"Highway, Street, and Bridge Construction"
46,"Subaru of Indiana Automotive, Inc.",Lafayette,11/07/2022,12/22/2022,Entire Plant,General Automotive Repair
47,J.D. Byrider,Carmel,10/31/2022,12/30/2022,43,Sales Financing
48,Tenneco Automotive,Jeffersonville,10/31/2022,06/30/2022,123,All Other Motor Vehicle Parts Manufacturing
49,Kauffman Engineering,Logansport,10/24/2022,05/26/2023,151,Other Communication and Energy Wire Manufacturing
50,IU Health Ball Memorial Hospital,Muncie,10/07/2022,12/31/2022,64,All Other Miscellaneous Ambulatory Health Care Services
51,Ascension Medical Group St. Vincent,Bedford,09/29/2022,12/23/2022,56,Freestanding Ambulatory Surgical and Emergency Centers
52,Ascension St. Vincent Dunn,Bedford,09/29/2022,12/17/2022,77,General Medical and Surgical Hospitals
53,Masonite Corporation,Walkerton,09/28/2022,11/27/2022,74,All Other Miscellaneous Manufacturing
54,Duke Realty Corporation,Indianapolis,09/16/2022,10/03/2022,120,Offices of Real Estate Agents and Brokers
55,"KGP Telecommunications, LLC",Warsaw,09/08/2022,01/06/2023,189,All Other Miscellaneous Manufacturing
56,goTRG,Whitestown,09/06/2022,11/23/2022,91,"Process, Physical Distribution, and Logistics Consulting Services"
57,"Wittenberg Lutheran Village, Inc.",Crown Point,08/09/2022,10/31/2022,71,Professional Employer Organization
58,Keystone RV Company,Goshen,07/18/2022,09/23/2022,334,Motor Home Manufacturing
59,Penske Logistics LLC,Shelbyville,07/11/2022,09/11/2022,517,Administrative Management and General Management Consulting Services
60,Leed Selling Tools Corp,"Ireland, Evansville",06/01/2022,07/31/2022,81,Other Services Related to Advertising
61,"Miller’s Health Systems, Inc","Indianapolis, Wakarusa, Tipton, Sullivan, Rushville, Peru, LaGrange, and Huntington",05/02/2022,06/30/2022,691,All Other Miscellaneous Ambulatory Health Care Services
62,Frontier Communications,Fort Wayne,04/29/2022,06/30/2022,50,Cable and Other Program Distribution
63,Kuehne & Nagel,Plainfield,04/28/2022,06/30/2022,17,Freight Transportation Arrangement
64,Walmart Fulfillment Center,Plainfield,04/22/22,04/01/2022,"1,132",General Warehousing and Storage
65,CJ Automotive,Butler,04/18/2022,07/01/2022,110,Other Motor Vehicle Parts Manufacturing
66,"McDaniel Technical Services, Inc",Evansville,03/15/2022,05/31/2022,78,Engineering Services
67,Dometic Corporation,Elkhart,03/21/2022,06/03/2022,159,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
68,Little Raymond’s Print Shop,Indianapolis,03/16/2022,03/18/2022,114,Textile and Fabric Finishing Mills
69,Home Products International,Seymour,03/15/2022,05/27/2022,130,All Other Miscellaneous Fabricated Metal Product Manufacturing
70,"Averitt Express, Inc.",Evansville,02/02/2022,02/28/2022,63,"General Freight Trucking, Long-Distance, Truckload"
71,Sony DADC US Inc,Terre Haute,01/13/2022,03/31/2022,80,Wholesale Trade Agents and Brokers
72,PPG Industries,Lafayette,01/11/2022,09/30/2022,54,Industrial Design Services
73,"Nash and Sons Trucking, Inc.","Muncie, Bloomington, Chandler and Indianapolis",12/28/2021,03/01/2022,75,Other Waste Collection
74,"MAP of Easton, Inc",Granger,12/10/2021,02/22/2022,114,Drywall and Insulation Contractors
75,"Alexander Dennis, Inc",Nappanee and Peru,12/01/2021,05/06/2022,192,Automobile and Other Motor Vehicle Merchant Wholesalers
76,Kauffman Engineering,Lebanon,11/18/2021,03/18/2022,63,Engineering Services
77,"IAC Greencastle, LLC dba International Automotive Components",Greencastle,10/30/2021,12/31/2021,125,Motor Vehicle Body Manufacturing
78,CoreCivic,Indianapolis,10/01/2021,12/31/2021,143,Other Individual and Family Services
79,Diamond Chain Company,Indianapolis,09/20/2021,11/26/2021,146,Industrial Supplies Merchant Wholesalers
80,Triumph Hospital NW Indiana LLC DBA Kindred Hospital Northwest Indiana,Hammond,08/10/2021,10/10/2021,110,General Medical and Surgical Hospitals
81,Transdev Inc.,Indianapolis,08/08/2021,09/30/2021,86,All Other Transit and Ground Passenger Transportation
82,Franciscan Health,Hammond,06/17/2021,08/21/2021,83,General Medical and Surgical Hospitals
83,"DFA Dairy Brands Ice Cream, LLC",Decatur,06/11/2021,12/31/2021,176,Ice Cream and Frozen Dessert Manufacturing
84,"DFA Dairy Brands Ice Cream, LLC-Revised (9/15/21)",Decatur,,,,
85,"IAC Greencastle, LLC dba International Automotive Components",Greencastle,05/25/2021,07/23/2021,93,Motor Vehicle Body Manufacturing
86,"Steel Parts Manufacturing, Inc.",Tipton,05/28/2021,08/13/2021,107,Automobile Manufacturing
87,"Steel Parts Manufacturing, Inc.-Revised (7/22/21)",Tipton,,,,
88,Five Star Senior Living  Inc. Meadwood,Indianapolis,04/20/2021,05/1/2021,96,Homes for the Elderly
89,"Rose Acre Farms, Inc.",Monon,04/15/2021,06/14/2021,94,Chicken Egg production
90,Hubbell/RACO,South Bend,03/31/2021,06/01/2021,75,All Other Miscellaneous Electrical Equipment and Component Manufacturing
91,Crestview Management dba Hyatt Regency Indianapolis,Indianapolis,03/18/2021,03/16/2020,78,Hotels (except Casino Hotels) and Motels
92,Crestview Management dba Indianapolis Marriott North,Indianapolis,03/18/2021,03/16/2020,73,Hotels (except Casino Hotels) and Motels
93,"Performant Recovery, Inc.",Indianapolis,02/26/2021,05/07/2021,115,Collection Agencies
94,"Coca-Cola Consolidated, Inc.",Lafayette,02/15/2021,04/18/2021,52,Soft Drink Manufacturing
95,Mitsubishi Heavy Industries Climate Control,Franklin,01/29/2021,12/31/2021,82,Other Motor Vehicle Parts Manufacturing
96,"Dana Light Axle Products, LLC",Albion,01/20/2021,05/31/2021,73,Vehicular Lighting Equipment Manufacturing
97,Avery Dennison Corporation,Fort Wayne,12/18/2020,12/31/2021,154,Office Supplies and Stationery Stores
98,Universal Protection Service LLC dba Allied Universal Security Services,Roanoke,12/08/2020,02/01/2021,57,Security Guards and Patrol Services
99,"White Stallion Energy, LLC",Evansville and Illinois,12/02/2020,12/02/2020,338,Coal Mining
100,"SMI Division of DCX-CHOL Enterprises, INC.",Fort Wayne,12/01/2020,01/31/2021,52,Other General Government Support
101,Vibracoustic,Ligonier,11/22/2020,06/30/2021,84,Rubber Product Manufacturing for Mechanical Use
102,"Acuity Brands Lighting, Inc.",Fishers,11/20/2020,04/30/2021,150,All Other Home Furnishings Stores
103,Wabash Valley,Silver Lake,11/11/2020,03/19/2021,80,Furniture and Related Product Manufacturing
104,Manchester Tank & Equipment,Elkhart,11/10/2020,07/30/2021,128,Metal Tank (Heavy Gauge) Manufacturing
105,Eaton Corporation,Auburn,11/05/2020,05/31/2021,108,All Other Miscellaneous Electrical Equipment and Component Manufacturing
106,Signature HealthCARE of Bluffton,Plainfield,10/30/2020,12/31/2020,250,Other Electronic and Precision Equipment Repair and Maintenance
107,Bell Techlogix,Plainfield,10/30/2020,12/31/2020,250,Other Electronic and Precision Equipment Repair and Maintenance
108,Bell Techlogix-Revised (11/9/20),Plainfield,,,,
109,Metaldyne BSM LLC - AAM Fremont Manufacturing Facility,Fremont,10/23/2020,06/30/2021,62,Other Motor Vehicle Parts Manufacturing
110,Metaldyne BSM LLC - AAM Fremont Manufacturing Facility-Revised (12/17/20),Fremont,,,,
111,Tenneco (formerly Federal Mogul),South Bend,10/21/2020,December 2020,271,Motor Vehicle Transmission and Power Train Parts Manufacturing
112,Aramark,Indianapolis,10/16/2020,03/20/2020,66,Other Performing Arts Companies
113,"Monarch Beverage Co., EF Transit, Inc. &Monarch Beverage Co., EF Transit, Inc. & Monarch Medical Center, LLC",EvansvilleIndianapolis,10/05/2020,12/11/2020,633,Beer and Ale Merchant Wholesalers
114,AAA Sales & Engineering Inc.,Angola,10/08/2020,01/31/2021,53,Machine Shops
115,Leidos,Indianapolis,09/30/2020,11/30/2020,61,Mortgage and Nonmortgage Loan Brokers
116,Acument Global Technology,Rochester,09/30/2020,03/26/2021,59,Hardware Merchant Wholesalers
117,Omni Severin Hotel,Indianapolis,09/17/2020,03/18/2020,69,Hotels Except Casino Hotels and Motels
118,"PF Chang's China Bistro(Indianapolis 1, Indianapolis 2, Fort Wayne)",Indianapolis & Fort Wayne,09/18/2020,03/01/2020,225,Full Service Restaurants
119,Howmet Aerospace La Porte,La Porte,09/15/2020,11/09/2020,150,Nonferrous Metal (except Aluminum) Smelting and Refining
120,"Regal Beloit America, Inc.",Valparaiso,09/08/2020,05/31/2021,63,Ball and Roller Bearing Manufacturing
121,"Regal Beloit America, Inc.-Revised (7/27/21)",Valparaiso,,,,
122,"Regal Beloit America, Inc.-Revised (9/13/21)",Valparaiso,,,,
123,UAW-Chrysler National Training Center,Kokomo,08/31/2020,10/31/2020,97 (in MI)0 (in IN),All Other Miscellaneous Schools and Instruction
124,"LSC Communications US, LLC",Kendallville,09/01/2020,12/23/2020,307,Commercial Gravure Printing
125,"CMR Partners, LLP dba Ponderosa Steakhouse",Anderson & Indianapolis,08/26/2020,08/28/2020,140,Full Service Restaurants
126,"Universal Bearings, LLC",Bremen,08/28/2020,04/13/2020,61,All Other Transportation Equipment Manufacturing
127,"Avis Budget Car Rental, LLC",Fort Wayne & Indianapolis,08/28/2020,April/June 2020,19,Passenger Car Rental
128,HMS Host,Rolling Prairie,08/11/2020,03/20/2020,3,Food Service Contractors
129,The Alexander Hotel,Indianapolis,08/13/2020,03/23/2020,31,Hotels (except Casino Hotels) and Motels
130,Hickory Springs Manufacturing,New Castle,08/05/2020,10/09/2020,59,Institutional Furniture Manufacturing
131,The Arch of Evansville dba Arc Industries Plant 1,Evansville,08/04/2020,09/29/2020,35,Services for the Elderly and Persons with Disabilities
132,Republic Airways,Indianapolis,07/30/2020,11/01/2020,293,Scheduled Passenger Air Transportation
133,"CMR Partners, LLP dba Ponderosa Steakhouse",Greenfield & Goshen,07/20/2020,07/20/2020,192,Full Service Restaurants
134,Embassy Suites Hotel Indianapolis Downtown,Indianapolis,07/17/2020,03/17/2020,26,Hotels (except Casino Hotels) and Motels
135,Embassy Suites by Hilton at Notre Dame,South Bend,07/17/2020,03/20/2020,19,Hotels (except Casino Hotels) and Motels
136,PL Marketing,Statewide,07/27/2020,08/14/2020,225,Marketing Consulting Services
137,"Horton, Inc.  Phase 1 (7/28/20) Phase 2 (7/28/20) Phase 3 (8/13/20)Phase 4 (10/23/20)",Carmel,07/14/2020,01/31/2021,65,Other Motor Vehicle Parts Manufacturing
138,American Queen Steamboat Company,New Albany,07/22/2020,09/24/2020,250,All Other Traveler Accommodation
139,Indianapolis Symphony Orchestra,Indianapolis,07/24/2020,06/08/2020,111,Musical Instrument and Supplies Stores
140,Hilton Conrad Domestic Employer LLC,Indianapolis,07/17/2020,03/20/2020,86,Hotels (except Casino Hotels) and Motels
141,"Fiserv, Inc.",Indianapolis & Plainfield,07/15/2020,11/09/2020,119,Paper Bag and Coated and Treated Paper Manufacturing
142,"United Airlines, Inc.",Indianapolis,07/08/2020,10/01/2020,70,Scheduled Passenger Air Transportation
143,"United Airlines, Inc.-Revised (7/31/20)",Indianapolis,,,,
144,"Heritage Food Service Group, LLC",Fort Wayne,07/02/2020,12/31/2020,86,Other Commercial Equipment Merchant Wholesalers
145,"Toll Brothers, Inc.",Knox,07/06/2020,09/04/2020,35,Lessors of Other Real Estate Property
146,White Lodging Services Corporation dba Courtyard Fort Wayne Downtown,Fort Wayne,07/02/2020,07/02/2020,75,Hotels (except Casino Hotels) and Motels
147,White Lodging Services Corporation dba JW Indianapolis,Indianapolis,07/02/2020,07/02/2020,559,Hotels (except Casino Hotels) and Motels
148,White Lodging Services Corporation dba JW Indianapolis-Revised (8/31/20),Indianapolis,,,,
149,White Lodging Services Corporation dba Marriot Indianapolis,Indianapolis,07/02/2020,07/02/2020,324,Hotels (except Casino Hotels) and Motels
150,White Lodging Services Corporation dba Marriot Indianapolis-Revised (8/31/20),Indianapolis,,,,
151,"Universal Protection Service, LLC dba Allied Universal Security Services",Indianapolis,06/30/2020,07/10/2020,48,Security Systems Services (except Locksmiths)
152,Medline,Plainfield,06/24/2020,12/15/2020,129,Advertising Material Distribution Services
153,Iron Mountain,Indianapolis,06/29/2020,09/25/2020,68,All Other Information Services
154,"Howard Regional Specialty Care, LLC dba Howard Regional Health  System-West Campus Specialty Hospital dba Community Howard Specialty Hospital and Replay Physical Therapy",Kokomo,06/25/2020,08/30/2020,121,Specialty (except Psychiatric and Substance Abuse) Hospitals
155,Levy Premium Foodservice Limited Partnership,Indianapolis,06/24/2020,08/01/2020,21,Food Service Contactors
156,"ADESA Indianapolis, LLC and Automotive Finance Corporation",Plainfield,06/24/2020,08/01/2020,48,Automobile and Other Motor Vehicle Merchant Wholesalers
157,Royal Crown Bottling Corp,Evansville,06/18/2020,10/03/2020,85,Soft Drink Manufacturing
158,Hollywood Casino Lawrenceburg,Lawrenceburg,06/11/2020,08/05/2020,98,Casinos (except Casino Hotels)
159,Hollywood Casino Lawrenceburg-Revised (8/19/20),Lawrenceburg,,,,
160,Integrity EDM LLC,Tipton,04/24/2020,04/26/2020,47,All Other Transportation Equipment Manufacturing
161,Ameristar Casino Hotel East Chicago,East Chicago,06/12/2020,10/15/2020,274,Casinos (except Casino Hotels)
162,Ameristar Casino Hotel East Chicago-Revised (7/16/20),East Chicago,,,,
163,Ameristar Casino Hotel East Chicago-Revised (9/15/20),East Chicago,,,,
164,"Horizon Terra, Incorporated dba idX Louisville",Jeffersonville,06/02/2020,08/03/2020,114,Industrial Machinery and Equipment Merchant Wholesalers
165,Vitro Automotive / Pittsburgh Glass Works,Evansville,06/01/2020,12/31/2020,306,Miscellaneous Manufacturing
166,Vitro Automotive / Pittsburgh Glass Works-Revised (8/6/20),Evansville,,,,
167,Sodexo,Westfield,05/27/2020,07/01/2020,66,Janitorial Services
168,The Westin Hotel Indianapolis,Indianapolis,05/07/2020,08/20/2020,95,Hotels (except Casino Hotels) and Motels
169,The Westin Hotel Indianapolis-Revised (9/9/20),Indianapolis,,,,
170,"Daramic, LLC",Corydon,06/01/2020,06/30/2021,74,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
171,"Strick Trailers, LLC",Monroe,05/06/2020,07/06/2020,174,All Other Transportation Equipment Manufacturing
172,Boyd Gaming Corporation dba Belterra Casino Resort,Florence,05/22/2020,07/14/2020,516,Casinos (except Casino Hotels)
173,Boyd Gaming Casino dba Blue Chip Casino Hotel Spa,Michigan City,05/22/2020,07/14/2020,606,Casinos (except Casino Hotels)
174,Exide Technologies,Muncie,05/19/2020,07/21/2020,179,Nonferrous Metal (except Aluminum) Smelting and Refining
175,Exide Technologies-Revised (7/29/20),Muncie,,,,
176,White Lodging Services Corporation,Merrillville,05/20/2020,05/29/2020,83,Hotels (except Casino Hotels) and Motels
177,White Lodging Services Corporation-Revised (7/8/20),Merrillville,,,,
178,"COX Automotive(Carmel, Clarksville and Indianapolis)","Carmel, Clarksville and Indianapolis",05/08/2020,05/17/2020,263,Automotive and Other Motor Vehicle Merchant Wholesale
179,KM Plant Services,Highland,04/24/2020,04/24/2020,67,Warehousing and Storage
180,American Woodmark Corporation,Gas City,05/01/2020,05/01/2020,5,Wood Kitchen Cabinet and Countertop Manufacturing
181,United States Steel CorporationGary and Portage,Gary and Portage,05/01/2020,05/03/2020,"3,765",Site Preparations Contractors
182,"Caesars Riverboat Casino, LLC",Elizabeth,04/29/2020,03/30/2020,"1,161",Casinos (except Casino Hotels)
183,ArcelorMittal USA LLC dba I/N Tek LP,New Carlisle,04/29/2020,04/26/2020,18,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
184,"Allison Transmission, Inc.",Indianapolis,04/23/2020,05/04/2020,427,Motor Vehicle Transmission and Power Train Parts Manufacturing
185,"Allison Transmission, Inc.Revised (5/21/20)",Indianapolis,,,,
186,"Allison Transmission, Inc. Revised (6/4/20)",Indianapolis,,,,
187,"Hoosier Park, LLC dba Harrah’s Hoosier Park Racing and Casino",Anderson,04/29/2020,03/16/2020,998,Casinos (except Casino Hotels)
188,ArcelorMittal USA LLC dba North America Segment,East Chicago,04/28/2020,05/08/2020,3,Iron and Steel Mills and Ferroalloy Manufacturing
189,Parkhurst Dining Services,"Valparaiso, Franklin and Hanover",04/17/2020,03/30/2020,365,Food Service Contractors
190,"Horseshoe Hammond, LLC",Hammond,04/28/2020,03/16/2020,"1,693","Hobby, Toy, and Game Stores"
191,Hendrickson USA,Lebanon,04/27/2020,05/01/2020,129,Other Motor Vehicle Parts Manufacturing
192,"Dental Arts Laboratories, Inc.Additional Documents (Locations and Positions)",Lafayette and Indianapolis,04/27/2020,03/31/2020,14,Dental Laboratories
193,"OS Restaurant Services, LLC","Merrillville, Mishawaka, Fort Wayne, Kokomo, Greenwood, Muncie, Terre Haute, Bloomington, Clarksville, Evansville and Indianapolis",04/27/2020,04/27/2020,"1,448",Full Service Restaurants
194,VisionworksLocation List,"Highland, Merrillville, Lafayette, Avon, Carmel, Fishers, Greenwood, Terre Haute, Bloomington, Clarksville, New Albany, Evansville and Indianapolis",04/24/2020,04/04/2020,125,Optical Goods Store
195,"Centaur Acquisition, LLC dba Indiana Grand Racing & Casino",Shelbyville,04/24/2020,04/01/2020,"1,126",Casinos (except Casino Hotels)
196,"Enterprise HoldingsAdditional Documents (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, & Doc 6)",Mishawaka and Indianapolis,04/23/2020,03/23/2020,452,Passenger Car Rental
197,Kosciusko Community YMCA,Warsaw,04/23/2020,04/23/2020,300,Child and Youth Services
198,"PK USA, Inc.",Shelbyville,04/20/2020,04/27/2020,483,Motor Vehicle Metal Stamping
199,Adelta Logis Inc.,Indianapolis,04/22/2020,04/22/2020,114,"Process, Physical Distribution, and Logistics Consulting Services"
200,SMC Acquisition Corp,Bristol,04/20/2020,04/17/2020,30,Travel Trailer and Camper Manufacturing
201,Lakota Corporation,Bristol,04/20/2020,04/17/2020,37,Automobile and Other Motor Vehicle Merchant Wholesalers
202,Leggett & Platt dba No-Sag Products,Kendallville,04/14/2020,04/17/2020,95,Spring Manufacturing
203,Leggett & Platt dba Merit Steel Company,Kouts,04/13/2020,03/26/2020,81,Other Fabricated Wire Product Manufacturing
204,ArcelorMittal dba Mittal Steel Railways,Burns Harbor,04/19/2020,04/19/2020,5,Iron and Steel Mills and Ferroalloy Manufacturing
205,Klipsch Group Inc.,Indianapolis,04/16/2020,04/06/2020,18,Other Electronic Parts and Equipment Merchant Wholesalers
206,ArcelorMittal USA dba ArcelorMittal Indiana Harbor,East Chicago,04/18/2020,04/12/2020,877,Iron and Steel Mills and Ferroalloy Manufacturing
207,ArcelorMittal USA dba ArcelorMittal Indiana HarborRevised (4/27/20),East Chicago,,,,
208,ArcelorMittal USA dba ArcelorMittal Indiana HarborRevised (5/28/20),East Chicago,,,,
209,ArcelorMittal USA dba ArcelorMittal Indiana Harbor Revised (7/28/20),East Chicago,,,,
210,Westfield Steel Inc.,Westfield and Terre Haute,04/17/2020,04/15/2020,40,Metal Service Centers and Other Metal Merchant - US Industry
211,Pokagon Gaming Authority dba Four Winds Casinos,South Bend,04/13/2020,04/13/2020,414,Casinos (except Casino Hotels)
212,"Gibson County Coal, LLC",Owensville,04/15/2020,04/26/2020,117,Bituminous Coal Underground Mining
213,Flex-N-Gate Corporation,Covington,04/02/2020,04/13/2020,43,Automobile Manufacturing
214,Flex-N-Gate CorporationRevised (6/24/20),Covington,,,,
215,"ArcelorMittal USA, Inc.",East Chicago,04/13/2020,04/12/2020,33,Iron and Steel Mills and Ferroalloy Manufacturing
216,"ArcelorMittal USA, LLC dba ArcelorMittal Burns Harbor",Burns Harbor,04/13/2020,04/12/2020,715,Iron and Steel Mills and Ferroalloy Manufacturing
217,"ArcelorMittal USA, LLC dba ArcelorMittal Burns HarborRevised (4/21/20)",Burns Harbor,,,,
218,"ArcelorMittal USA, LLC dba ArcelorMittal Burns Harbor Revised (4/29/20)",Burns Harbor,,,,
219,"ArcelorMittal USA, LLC dba ArcelorMittal Burns Harbor Revised (7/29/20)",Burns Harbor,,,,
220,"Polaris Boats, LLC",Syracuse,04/13/2020,07/14/2020,100+,Ship Building and Repairing
221,Agrati,Valparaiso,04/08/2020,04/13/2020,51,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
222,Wildman Business Group,Warsaw,04/10/2020,04/13/2020,48,Linen Supply
223,Hendrickson,Kendallville,04/09/2020,04/13/2020,103,Fabricated Metal Product Manufacturing
224,"Leggett & Platt, Inc dba L&P Springs Manufacturing, LLC",Rensselaer,04/02/2020,04/03/2020,139,Mattress Manufacturing
225,"Jim’s Formal Wear, LLC",Anderson,03/31/2020,03/20/2020,,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
226,"Jim’s Formal Wear, LLCRevised (5/27/20)",Anderson,,,,
227,"Fire King Commercial Services, LLC & Fire King Security Products, LLC",New Albany,03/24/2020,03/26/2020,39,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
228,"Aztar Indiana Gaming Co., LLC dba Tropicana Evansville",Evansville,04/07/2020,04/11/2020,529,Casinos (except Casino Hotels)
229,Manchester Tank & Equipment Company,Bedford,04/07/2020,09/30/2020,117,Metal Tank (Heavy Guage) Manufacturing
230,"Hooters of America, LLC","Merrillville, Schererville, Portage, Mishawaka, Lafayette, Clarksville, Jeffersonville, Evansville and Indianapolis",03/23/2020,03/20/2020,502,Full Service Restaurants
231,Master Guard,Veedersburg,04/02/2020,04/02/2020,680,Motor Vehicle Body Manufacturing
232,"Asbury Automotive GroupAdditional Documents (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, Doc 6, &  Doc 7  )","Avon, Brownsburg, Indianapolis, Lebanon and Noblesville",04/03/2020,04/03/2020,254,Automobile and Other Moter Vehicle Merchant Wholesalers
233,"Asbury Automotive Group Revised (Doc 1, Doc 2, Doc 3, Doc 4, Doc 5, & Doc 6)","Avon, Brownsburg, Indianapolis, Lebanon and Noblesville",,,,
234,ZF Active Safety & Electronics US LLC,Lafayette,04/03/2020,04/13/2020,326,Other Motor Vehicle Parts Manufacturing
235,ZF Active Safety & Electronics US LLCRevised (4/17/20),Lafayette,,,,
236,Sodexo,Westfield,03/31/2020,06/01/2020,68,Janitorial Services
237,Plycem USA LLA dba Allura,Terre Haute,04/03/2020,06/02/2020,83,Asphalt Shingle and Coating Materials Manufacturing
238,"Areas USA IND, LLC",Indianapolis,04/02/2020,04/02/2020,70,Full- Service Restaurants
239,PSI Molded Plastics,South Bend,04/02/2020,04/02/2020,55,Plastics and Rubber Industry Machinery Manufacturing
240,"Delphi Production, Inc,. dba Group Delphi",Roanoke,4/2/2020,04/01/2020,54,Sign Manufacturing
241,Benihana National Corp,Indianapolis,04/01/2020,03/22/2020,33,Full Service Restaurants
