,company_name,location,notice_date,layoff_date,employees_affected,URL,Closure/Layoff
10,UPS Supply Chain Solutions,Jefferson,2021-05-28 00:00:00,2021-07-30 00:00:00,137.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y2Hd/F7RHwrphXHaMi_iiR2KeT5R5jvBFOGBcLu8e7jNxUSg,Layoff
11,Novitex Government Solutions,Laurel,2021-05-03 00:00:00,2021-06-30 00:00:00,60.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xoID/sPPHhQ8cHcN9xIAce4_ScJq1.nxC9d5yhkigosxnrxw,Closure
12,PULAU Corporation,Jefferson,2021-04-30 00:00:00,2021-07-01 00:00:00,56.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xm2m/co5iz.giYnnM7AEvPWZeqmXVjaeTVD5NX2tdvo0gKAs,Layoff
13,The Forum At Brookside,Jefferson,2021-04-22 00:00:00,2021-05-01 00:00:00,67.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xhc6/si4u3i4GNSzw.bnWbiC8YsqA0F_wbmnzunth2g4dW64,Closure
14,"Sodexo, Inc.",Jefferson,2021-03-19 00:00:00,2021-05-29 00:00:00,263.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xSAv/UAc1x65h0XaDldTkqNMQwKwaOOrGjkfLzhJx1Fw83r0,Closure
15,Quickway Transportation Inc.,Jefferson,2021-02-24 00:00:00,2020-12-09 00:00:00,69.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xIxV/tNJ7v23yl1SNl_6_IEQl5AiOVy5zpPeMnlt6V3HmZBo,Closure
16,Arroweye Solutions,Jefferson,2021-02-23 00:00:00,2021-04-23 00:00:00,60.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xIjJ/YjNdoxwVPmNyVyLUHzpAidJmyOKrWJon4i_I.cnsc8U,Layoff
17,International Automotive Components,Hopkins,2021-02-08 00:00:00,2021-06-27 00:00:00,82.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000xAS0/YFk7Mkv2wElXyqtlBk6kPri.VFw6HNgMRaY56kQdme4,Closure
18,Bluegrass Supply Chain and Services,Bullitt,2021-02-02 00:00:00,2021-04-03 00:00:00,155.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000x8nG/8xNnt4NvQPPFlfzCsC307BQT_S81xBMSQxxOG4XCDxE,Closure
19,Courier-Journal,Jefferson,2021-01-06 00:00:00,2021-03-07 00:00:00,102.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Jr6G/F8iIvvIAmehp5Cyl1cbLZC5DwiFBinbY.M2QsLwsawQ,Closure
20,MCKESSON CORPORATION,,2020-12-14 00:00:00,2021-02-15 00:00:00,52.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001J5hp/HTSYn1Ty0ngEcyklKtQRa1l18uB._PJlDxyEtOIB_bM,Layoff
21,Universal Protection Services,,2020-12-07 00:00:00,2021-02-01 00:00:00,52.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001J4Tf/ofIVhdzEXzuDJNh_P1_HgWkQfJlOhvDOl4biV7PsguI,Layoff
22,"Delta Air Lines, Inc.",,2020-10-26 00:00:00,2020-11-01 00:00:00,19.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001EQiQ/TGgsZJQzSKzsAcVwHx4a0UdHKi7tgaAKbdaPZWm483g,Layoff
23,Campbell Hausfeld,,2020-10-19 00:00:00,2021-01-15 00:00:00,82.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001EJGw/qyoEYfLWj8RKiEhJ.3dddnxJDkM9Nxg..t6OymQ4jr8,Closure
24,Central Bank Center/Lexington Center Corporation/Rupp Arena,,2020-09-25 00:00:00,2020-03-13 00:00:00,100.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Duxy/OQSRyQ_.aYQHhrFXq8Tdiv.MgS0Rz2oZW0hbEdodBXY,Layoff
25,Omni Hotels & Resorts,,2020-09-23 00:00:00,2020-03-17 00:00:00,294.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DsAc/VBX3AB_6wodTw6SXAtFGoYfEaBMIRx8Y1R1QDhgqJho,Layoff
26,Meggitt Polymers and Composites - Erlanger,,2020-09-23 00:00:00,2020-05-22 00:00:00,164.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DsDM/G0wP5hdwHVxpG7glqsx.P.Bu.ufe7zp6pACAhUX6gDA,Layoff
27,ABM c/o The Hertz Corporation - CVG,,2020-09-22 00:00:00,2020-10-04 00:00:00,55.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DqPA/bmdB.BdriuOm7hlJI1HXUxc1R5SCAgVbFzcNW1pbcAQ,Layoff
28,"Eagle Manufacturing, LLC",,2020-09-21 00:00:00,2020-10-31 00:00:00,239.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DoVB/H.QVq0_6zu19zklgpOdXjY9QZmQJ4BM_x9lPfDnecnk,Closure
29,"P.F. CHANG'S CHINA BISTRO, INC.",,2020-09-18 00:00:00,2020-03-15 00:00:00,75.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DnAi/PsQ06rfrLt2A8hC1UKmSPXyLtRhTdP2bt3fWa.P3Mao,Layoff
30,"P.F. CHANG'S CHINA BISTRO, INC.",,2020-09-18 00:00:00,2020-03-15 00:00:00,75.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Dn9p/B92tz6zaPaYm5.lAsW0F6GS2hq_bm.DPaGZFyNbmJNI,Layoff
31,SP+/Standard Parking/Central Parking,,2020-09-18 00:00:00,2020-03-18 00:00:00,133.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Dmuz/FVfq9f.lPAdpQ3QnRCd4yGa1vDq5UJTw6FN4nWQ9jjU,Layoff
32,AJS/Galt House Hotel & Suites,,2020-09-16 00:00:00,2020-09-14 00:00:00,28.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DmUR/W7wNzTrGsPQcC_Whhv4FaDh4d8zrJLgCMZQUuACbuNc,Layoff
33,STEEL CITY POPS LKY LLC,,2020-09-14 00:00:00,2020-10-04 00:00:00,32.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001DmRS/4m5PmoOb2VrPWUWoR3oEnbSMToWcK.6PuVPBgBEaJZ8,Layoff
34,Lexington Hyatt,,2020-09-08 00:00:00,2020-03-15 00:00:00,102.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000001Dt8x/oXzy.LnrHOXhtjB2blGPzrD5O5IVCnG_BQiULZXMYb0,Layoff
35,LEADEC CORP,,2020-09-02 00:00:00,2020-10-31 00:00:00,293.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000nXqL/60wOB.ZYyAFW_S_R8hleRIp7jxvj5pSKHPafgMy.D34,Layoff
36,Vino Volo,,2020-08-07 00:00:00,2020-04-05 00:00:00,5.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000n3UK/pGrkwz.TW4TwVggStmZ08DA7.gkV29a2hXqMxuex7_w,Layoff
37,WestRock Comany,,2020-08-07 00:00:00,2020-09-30 00:00:00,24.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000n28b/Jn1rUm_cAXF2P3ZrPaqixkhcq2ejA4cVozic81IBDBc,Closure
38,Republic Airline Inc.,,2020-07-30 00:00:00,2020-10-01 00:00:00,84.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mqLo/dGM35dcxujzfE8SFBVDNRHw3r93dvt37ykRK1iiwFhA,Layoff
39,P.L. Marketing,,2020-07-27 00:00:00,2020-08-15 00:00:00,50.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mlxQ/pHNoec2wBtOYexXa8EGMWgCwxvpLls6IPT..QCrNpCg,Layoff
40,Paradies Lagardere Travel Retail - CVG,,2020-07-27 00:00:00,2020-03-29 00:00:00,58.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mltJ/rCJCG4m2d6w6fm6RhPJeaJSFlfe1JCUeAu9DyNNja2I,Layoff
41,American Queen Steamboat Company,,2020-07-24 00:00:00,2020-09-24 00:00:00,95.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjW4/G_5.Fi2tenUK8iONlECvyrpM3qeWoSn_lcSPHmqPLhs,Layoff
42,CAM  Mining LLC,,2020-07-23 00:00:00,2020-09-20 00:00:00,194.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjHd/LirRegwEOo6tABsdbsKLD3wZvWNuvAk8O7lo662CRW4,Closure
43,Rhino Energy LLC,,2020-07-23 00:00:00,2020-09-20 00:00:00,16.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjHO/J4gmK3FhqJupdRaSOCMq.CU3rKIt8M2k3PeCmNPgsTk,Closure
44,Rhino Group LLC,,2020-07-23 00:00:00,2020-09-24 00:00:00,5.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjHT/LD5kPxqA490uoPjJTUYgS_DByLIc4TIotUjmADqJaU0,Closure
45,"Kenco Logistic Services, LLC",,2020-07-21 00:00:00,2020-09-27 00:00:00,146.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjJP/n5vRyaG0FubvsRQQIrncYB_AzcOAUOpmLvW3EbJAw0Y,Layoff
46,Valassis,,2020-07-16 00:00:00,2020-09-30 00:00:00,84.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mbmQ/9yrMN2fZ9lM_WFND1MVmz49r2LWQW_YPfme4l9kv7vQ,Closure
47,White Lodging,,2020-07-02 00:00:00,2020-03-20 00:00:00,85.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mQOc/n1sZCwQd4vfgRuAJcoxekQuz3b.06sV.9AeRbOhK1PM,Layoff
48,White Lodging Services Corporation-Marriott Louisville,,2020-07-02 00:00:00,2020-03-20 00:00:00,150.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mQMM/MUcpqh7WMzyqGxAgtNciUI_khMYIUzsdlrg4oaWjGG8,Layoff
49,"Contura Energy - Delbarton, WV",,2020-06-29 00:00:00,2020-01-29 00:00:00,130.0,,Closure
50,CC Metals and Alloys,,2020-06-26 00:00:00,2020-07-01 00:00:00,106.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000m9mw/21IOaKZ0fQN7I_0htevT67jrlbdgU5ztBLIozhCwP3A,Layoff
51,Spire Hospitality -Cincinnati Marriott at RiverCenter,,2020-06-26 00:00:00,2020-07-01 00:00:00,75.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mAhx/.2lCf.uRSatgBcStWGGo8QoTPc.NdxS6jEu1s79MthU,Layoff
52,Stemco Products Inc,,2020-06-25 00:00:00,2020-08-28 00:00:00,52.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000m8UX/Uiufi7Qid3OOGDALwqXmeeV4WDkOm7rq6Rc_jkBZhao,Layoff
53,T-Mobile,,2020-06-16 00:00:00,2020-06-16 00:00:00,127.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000m0hj/ncG1LQqkdvtnvX2of3ZE2UcNY2sAzm5C4kUOomgoTLg,Layoff
54,RYDER TRUCK-Burlington KY,,2020-06-15 00:00:00,2020-08-12 00:00:00,99.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lzgt/.fnaoiWvrbSTrYPyqxB2Zx0lRhBdDvaC7xBQN7Eds7w,Layoff
55,Jacobsen|Daniel’s Enterprise Inc.-SDF,,2020-06-15 00:00:00,2020-06-12 00:00:00,5.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lzgA/7J0V94vN.WBDIApE.ddY6W3JupaPtqsO0Sm4yOKqVIs,Layoff
56,Jacobsen|Daniels Enterprise - CVG,,2020-06-12 00:00:00,2020-06-12 00:00:00,17.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lyUD/xjoH5J7lvixV8k5XWXFfDFMAzFEvMzhjkUBc_NOcDE4,Layoff
57,Arandell (CLOSED),,2020-06-09 00:00:00,2020-06-19 00:00:00,112.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ltK5/mGmdMJ4AfYW7QNxF0_AREOqZ4XVSkN57abNCXyHGpKc,Closure
58,AMERICAN WOODMARK CORPORATION,,2020-06-04 00:00:00,2020-05-29 00:00:00,3.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ltW1/1Gjh.OP07QUFroiRZN.1sVjms.JilaC.s.WJwa8ObsE,Layoff
59,Global Experience Specialists  Exposition Services Inc,,2020-06-01 00:00:00,2020-03-15 00:00:00,47.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lmSQ/XqF6EXHQEfBQ3sORf9uGJUQxnqu_fexBAMJzFYhhsN8,Layoff
60,21c Museum Hotel Louisville - MGallery,,2020-05-23 00:00:00,2020-05-15 00:00:00,117.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000leL1/SnG3sVRdWjFQMCr8LETwNOCbLpaaGRlfQEhLqrDI3L8,Layoff
61,21c Museum Hotel Lexington,,2020-05-22 00:00:00,2020-05-28 00:00:00,121.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000leLV/SG3RH__XeMSmDA.BzF5J9gLLQ9R0VtgAocKowWhdEL4,Layoff
62,"MSSC US, INC",,2020-05-22 00:00:00,2020-09-30 00:00:00,170.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ltac/RzIOWPGwYHCFP6cxNIWDpNwrH4SL6H5XqNJy0KCDiO8,Layoff
63,Enterprise Holdings,,2020-05-20 00:00:00,2020-03-23 00:00:00,70.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000leKh/SSZJfI9pwOfVY9dgPxch0cuGIwNULpzjIEoy89uZupQ,Layoff
64,Enterprise,,2020-05-15 00:00:00,,,,Layoff
65,Dal-Tile Corporation,,2020-05-14 00:00:00,2020-07-17 00:00:00,67.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lUmV/WmkCtQ7Tij4dzZuY9OVvKUbUx2rR1K0Yc9Q1.WzSgic,Closure
66,Redhawk Mining LLC,,2020-05-11 00:00:00,2020-05-14 00:00:00,182.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lR01/cXvdF7z2a0tlF1RKuhux5pdFseZlVtoZeyMbXrNxjh0,Layoff
67,ATRIUM HOSPITALITY LP,,2020-04-30 00:00:00,2020-03-12 00:00:00,100.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lJaY/K6yN0iaD8yyexg6I04aZX81EefVbzH8Lf2JoojdubY4,Layoff
68,Fruit of the Loom,,2020-04-28 00:00:00,2020-05-03 00:00:00,541.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lHSh/K0STGdn5RioZCNnefjssHgRYhvyegfO5stZN_W4HKGc,Layoff
69,Bloomin' Brands Inc.,,2020-04-27 00:00:00,2020-03-15 00:00:00,1134.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFnJ/4P1OqyziA7PB0Bwl_6nFu_TYtWbVZmItGG0ajc_A4io,Layoff
70,Hendrickson,,2020-04-27 00:00:00,2020-04-27 00:00:00,179.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFy7/Yv5x__FLS4A2m1cTlMmbBkJ72jQVKesqE4aS843KqbM,Layoff
71,Copart,,2020-04-27 00:00:00,2020-04-27 00:00:00,50.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFvN/E_nV4ZiPQXnnjdzptfU3GYUGocuIOqaU.Y9H1GQf.O0,Closure
72,Domtar Paper Company LLC,,2020-04-27 00:00:00,2020-05-04 00:00:00,398.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lG1B/4Fd5SUVur4FncgJi63EeLKzz9wTruSFuhn9yeHQp8b0,Layoff
73,"EAN Holdings, LLC dba/Enterprise Rent-A-Car/Alamo/National",,2020-04-24 00:00:00,2020-03-20 00:00:00,102.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFDB/kRPBe.4UKGSTGSllBCkX9k7zMUm.j5e7.dzfx1Or6tU,Layoff
74,Enterprise Rent-A-Car,,2020-04-24 00:00:00,2020-03-20 00:00:00,118.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFQo/Dd0iim4d5jjd4TYBWh2lMYNeVGc37N7hRYP1WAOvxGA,Layoff
75,"Leggett & Platt, Inc",,2020-04-24 00:00:00,2020-04-14 00:00:00,210.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFhk/YXvfnj9glnybML0caPMSROnboavSXn.klKEWtkrTQy8,Layoff
76,Enterprise Rent-A-Car,,2020-04-24 00:00:00,2020-04-30 00:00:00,104.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFRh/UszfPVKKroq1QAKiNquy4pybhgj_l.wWTgrzPpPoae0,Layoff
77,"Visionworks, Inc.",,2020-04-23 00:00:00,2020-04-04 00:00:00,269.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000lFAl/oO700mhoM_QHeowhHaKcjxvMIWN0lrbxd1SLp.he9w8,Layoff
78,BOGE Rubber & Plastics USA LLC,,2020-04-20 00:00:00,2020-03-30 00:00:00,117.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owme/I70OYWW_BMsm.L1gecTbBndG80GLYaujN7Bys19qF0E,Layoff
79,AVIS BUDGET CAR RENTAL LLC,,2020-04-17 00:00:00,2020-03-13 00:00:00,51.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owlM/.Zk80i_XFS7aZoaHWgUxXaHRiKaZbtC_7AhdxqU6wug,Layoff
80,AVIS BUDGET CAR RENTAL LLC-Louisville,,2020-04-17 00:00:00,2020-03-13 00:00:00,39.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owlW/CYo8uyV1lqLUe_XJLwXgKKbMGcUSOnm2YuFWlCcEjao,Layoff
81,Clark Material Handling Company,,2020-04-17 00:00:00,2020-04-15 00:00:00,55.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owlC/hEdK2CiuQJ0bVuYeIRqwIFPEy53bOvrnmZtKCFG3OTk,Layoff
82,"Leggett & Platt, Inc.",,2020-04-15 00:00:00,2020-03-27 00:00:00,151.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owfY/PmJV_yGxFZQyYhZo1Z3JUNNKeymCbhxmj4tTRLPEQdQ,Layoff
83,Jacobsen|Daniels Enterprise - CVG,,2020-04-15 00:00:00,2020-03-27 00:00:00,17.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owe1/_JzvIyNP00OZFCdiwLq50NqX4Pv5uhASRmnOON4x7JM,Layoff
84,"Leggett & Platt, Inc.",,2020-04-15 00:00:00,2020-03-27 00:00:00,271.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owe6/AOd4ALEemb0aAShUt5dhhnJlPDFohiL8zcc9JttELyY,Layoff
85,GUESS Distribution Center,,2020-04-14 00:00:00,2020-04-02 00:00:00,230.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owbq/UyrAEX7r.ENTpYJbgJLT8Cg7CPlnvxwl2yKnTp7J72s,Layoff
86,Newport Aquarium LLC,,2020-04-14 00:00:00,2020-04-20 00:00:00,88.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owce/l.sHHNbu0GPlyDLBohqkTc6rmr3iMKC.C7bGdM4pAc0,Layoff
87,Bedding Acquisition LLC-Hollander Sleep Products,,2020-04-14 00:00:00,2020-04-03 00:00:00,234.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owc0/YfonXN9YuzXLk_UAXU4_FKNeT7YOIM6p5kka_JgwN0Y,Closure
88,Glidewell Laboratories-Crown World Dental Lab,,2020-04-14 00:00:00,2020-03-27 00:00:00,151.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owc5/NegKIAQd.3f3pmcw73INUcvkRVIbZTkujR6EIS0ot58,Layoff
89,Vitro Automotive/Pittsburgh Glass Works,,2020-04-13 00:00:00,2020-03-23 00:00:00,63.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owbl/PeliEutZZle1HuohBNOUPeWObAPJ6.IxcJLQM0pFF0o,Layoff
90,Ephraim McDowell Health,,2020-04-10 00:00:00,2020-04-10 00:00:00,510.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owax/gIoDc8Xv49xawkTE2lbcXgud5nCNoJANhlFRxiXKV8c,Layoff
91,Jennie Stuart Medical Center,,2020-04-08 00:00:00,2020-04-07 00:00:00,248.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owai/euBMynNBZ1XxY9GZsxqub51sfACbr_edi4z8.BvNzk8,Layoff
92,Groupon Goods KY Fulfillment Center,,2020-04-08 00:00:00,2020-06-07 00:00:00,92.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owaO/GWTBVMydk_wwkETRK9Ra861k.S_1Cpifx9oY_o5DE2Y,Layoff
93,"Safran Landing Systems Kentucky, LLC",,2020-04-07 00:00:00,2020-04-12 00:00:00,181.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owYS/48f5c5_B5wyiPJ9Uy_H1cNlwWBdNMLD_pYAS8WUMQM8,Layoff
94,HMS Host - CVG,,2020-04-07 00:00:00,2020-03-17 00:00:00,260.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owXZ/yTHs5XelOkz__Ev_3i058NYLPt39FknT235h9rtta.I,Layoff
95,Communicare Professional Counselling and Treatment Service,,2020-04-06 00:00:00,2020-03-20 00:00:00,63.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owW2/m6.18mqxu4V91wnL7oO6sVnlaLN8Ty2M97cFVaRMbUI,Layoff
96,Communicare Services - Springfield,,2020-04-06 00:00:00,2020-03-20 00:00:00,16.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owWC/G1vvtarZYPJdOhvrIz1yR8EPnXsOq0_BH2dWoGiRDP4,Layoff
97,Hendrickson Trailer Commercial Vehicle Systems,,2020-04-06 00:00:00,2020-04-13 00:00:00,117.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owX0/V6hwrqZ0Qlr_eFlMYEYrZXlE5AKDheKuIEjfBsUaPdQ,Layoff
98,Communicare Clinic - Lebanon,,2020-04-06 00:00:00,2020-03-20 00:00:00,16.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owWW/6KnRleJzURSaBY_6FARK03ypKCpBzXNzxwnFAWGUcwk,Layoff
99,Communicare Services - Radcliff,,2020-04-06 00:00:00,2020-03-20 00:00:00,17.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owWq/Vfpl8UYl0gbX_iFIJoUfIBUwxuS8TiJTC_7F4sKJFYw,Layoff
100,Communicare Services - Lebanon,,2020-04-06 00:00:00,2020-03-20 00:00:00,16.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owWg/9p9FS.JQp0PTPMhD3HxrAxxsoxTEr_upxaagBfFMogM,Layoff
101,Communicare  Services - Brandenburg,,2020-04-06 00:00:00,2020-03-20 00:00:00,14.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owXA/mAUPSS8QJjeTFI7E27u8VQgWHFFi6LRZfcfzfkHq1Jo,Layoff
102,Communicare Clinic LLC - Hardinsburg,,2020-04-06 00:00:00,2020-03-20 00:00:00,14.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owWR/145nfIPWN0_U_cemfoWJlEEcFSVIRIo8wdyDtysKwiE,Layoff
103,Communicare Clinic - Radcliff,,2020-04-06 00:00:00,2020-03-20 00:00:00,17.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owWl/rS8vJCQrLNj0CL7FyoK6cd2Ubo0vr1icry6WlMYbX7U,Layoff
104,Communicare Services - Bardstown,,2020-04-06 00:00:00,2020-03-20 00:00:00,27.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owW7/vxvDkskTDW8u8rCe_lHYjJe3ywqVHolgywHu7LkriIg,Layoff
105,Communicare Services - Leitchfield,,2020-04-06 00:00:00,2020-03-20 00:00:00,16.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owX5/hqgTkrEKeD2diZgwtvYubxlNzxik77T983Z_rFk92oU,Layoff
